,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_intratumor_area,685.0,-1.4051524501513626,0.8452974114167952,0.5307840828997274,0.8688660833238228
Tumor non-proliferating_stromal_area,501.0,11.992458972118683,0.1392485580961628,0.13429246746495205,0.312254342397456
Tumor non-proliferating_tumorfront_area,456.0,8.116275038702355,0.04104282046292429,0.04599495819627521,0.1670129595769344
Tumor proliferating_intratumor_area,610.0,-7.472603519193996,0.4827055996084473,0.8224642204693557,0.6869271994427903
Tumor proliferating_tumorfront_area,530.0,7.903621556912142,0.16686661219956375,0.2524749006197339,0.3528036943647919
Vessel_stromal_area,618.0,1.4946105266916803,0.6049253981902428,0.894776615569568,0.7514557748310398
Vessel_tumorfront_area,644.0,1.2454372088106638,0.6645619419188702,0.8766115771588661,0.7683997453436936
Fibroblasts_stromal_area,598.0,1.6000308780807444,0.5789319318152073,0.7171395005923142,0.7514557748310398
Fibroblasts_tumorfront_area,568.0,4.556160552346789,0.16666536272013574,0.47936938015165176,0.3528036943647919
CD4 T cells naive_stromal_area,914.0,-12.877677452940297,0.0013909062761026036,0.0011081781634417922,0.034309021477197554
CD4 T cells naive_tumorfront_area,820.0,-11.971158414522385,0.027702001104051927,0.029135153216471553,0.13898512053342077
CD4 T cells memory_stromal_area,840.0,-7.95686716207647,0.021684343490294505,0.015966476756712505,0.13285930903492763
CD4 T cells memory_tumorfront_area,742.0,-4.072034538031694,0.2860043768434872,0.19968962259494694,0.5569558917478434
CD4 T cells regulatory_stromal_area,744.5,-7.109111141911086,0.12339393243408142,0.18960397524878703,0.312254342397456
CD4 T cells regulatory_tumorfront_area,795.0,-17.61619540829257,0.00659925912862549,0.057729575169031384,0.07474164383866255
B cells_stromal_area,805.5,-11.576575430935009,0.017722505941801067,0.04363976338701413,0.1311465439693279
B cells_tumorfront_area,793.0,-12.848103884371149,0.08004607885909021,0.057780548820643464,0.21938554946565464
CD8 T cells_intratumor_area,787.5,-20.351466472722343,0.023340148884514314,0.06619076893073031,0.13285930903492763
CD8 T cells_stromal_area,705.5,-3.4195556045890427,0.4037124768742373,0.388327580184584,0.6356324103977353
CD8 T cells_tumorfront_area,701.0,-4.433152545749849,0.4033167782502791,0.417328312044125,0.6356324103977353
Myeloid M1 macrophages_stromal_area,744.5,-5.310725840796849,0.13183992776631834,0.1897971177501091,0.312254342397456
Myeloid M1 macrophages_tumorfront_area,638.0,-1.7390053424634004,0.6189610105024625,0.9312611701868386,0.7514557748310398
Myeloid M2 macrophages_stromal_area,751.0,-1.5489338605098837,0.7131026798397524,0.16578304030436286,0.7867975301591896
