,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor proliferating_tumorfront_aggregatedNeighbors.B.cells,618.5,0.001283534338945895,0.38669221550275845,0.9268909199739774,0.8189717204363388
Tumor proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,702.0,-0.035418654572393564,0.12668371157904024,0.3597748960143883,0.5190021243804648
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,506.5,0.005526453424985207,0.0668573967580958,0.12141758113199314,0.39689946646869567
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,598.5,0.0010611361934714744,0.4355931976290822,0.7281896047470531,0.8484776167884218
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,572.0,0.0047201269031271935,0.20033215283442174,0.4043532765489578,0.6392543063938666
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.DCs,592.5,0.0007004959194537872,0.5811356913557062,0.5354333814620301,0.8835152380773745
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,653.5,-0.0012687173478307355,0.7195571163680538,0.7091862554117723,0.9214613110017585
Vessel_stromal_aggregatedNeighbors.Tumor.non.proliferating,693.5,-0.008073289320773776,0.05737573441045677,0.4199944003528252,0.3912728869353226
Vessel_stromal_aggregatedNeighbors.Vessel,463.0,0.057404852703590914,0.05862962325217067,0.06362782331588263,0.3912728869353226
Vessel_stromal_aggregatedNeighbors.Fibroblasts,632.0,0.00820276816969423,0.6897328949679005,0.9309323083947778,0.9094245826209824
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.naive,605.0,-0.002664161607355893,0.8297565548783582,0.8307102771275143,0.9557785670121102
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.memory,664.5,-0.011772104658677396,0.25118948319827,0.6438991549905047,0.6958879016011332
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,484.0,0.000589003866001222,0.5670445940271176,0.09926458938624207,0.8835152380773745
Vessel_stromal_aggregatedNeighbors.B.cells,583.0,0.004081921506196719,0.5413197240984287,0.6391454642802573,0.8615045821821802
Vessel_stromal_aggregatedNeighbors.CD8.T.cells,647.0,-0.011133995549590013,0.406039229353895,0.7948499685668717,0.8282673714758595
Vessel_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,404.0,0.01882127734815676,0.001805111615839714,0.011190828765748563,0.07501241603600589
Vessel_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,645.0,-3.427175967519319e-05,0.9926563051195874,0.8127257169292774,0.9926563051195874
Vessel_stromal_aggregatedNeighbors.Myeloid.Granulocytes,433.0,0.025445258679590094,0.05377781209068108,0.027545236718170864,0.3912728869353226
Vessel_stromal_aggregatedNeighbors.Myeloid.DCs,502.0,0.00029047228334579296,0.8072082355074215,0.15313817386043338,0.9443710938017805
Vessel_stromal_aggregatedNeighbors.Myeloid.Monocytes,458.0,0.011601106886492827,0.015996743599074742,0.05580234355029851,0.2848943860025692
Vessel_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,601.0,0.0028260436530150035,0.8777892114740917,0.7948482870271981,0.9799795972874934
Vessel_tumorfront_aggregatedNeighbors.Tumor.proliferating,586.5,0.004045659291738252,0.6393163548344801,0.6663972083994938,0.8941579201324403
Vessel_tumorfront_aggregatedNeighbors.Vessel,477.0,0.05657473273961389,0.03724280802126987,0.09045713770989285,0.3676111213448991
Vessel_tumorfront_aggregatedNeighbors.Fibroblasts,638.5,0.003620309999449345,0.8439040261083124,0.8714720836724679,0.9622564200137464
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,546.0,0.005181891258553548,0.6653585796021932,0.37022846247287555,0.9076422027724933
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,674.5,-0.01238695092911319,0.18325048010937045,0.5633218730104791,0.6100703084708414
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,551.5,-0.00048056739990097984,0.7366645724233734,0.38687565769552157,0.9277160670967923
Vessel_tumorfront_aggregatedNeighbors.B.cells,575.0,0.00284701271499937,0.28375166475443797,0.5545833220030354,0.7219260042051687
Vessel_tumorfront_aggregatedNeighbors.CD8.T.cells,720.0,-0.033718395621090455,0.04768904670363301,0.269748997990074,0.3877326840686684
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,338.0,0.017215122390347202,0.005708132931122922,0.000968271478916486,0.1334276072649983
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,716.0,-0.004827439998226761,0.13158542743298443,0.28984457604173985,0.5291715038702814
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,589.5,0.011778614979442721,0.08922269852342248,0.6910908111828771,0.43044094947730743
Vessel_tumorfront_aggregatedNeighbors.Myeloid.DCs,570.0,0.002433435850641222,0.24951971148137583,0.5123011355621747,0.6958879016011332
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,438.5,0.01106753182995528,0.05589950937368144,0.032439934730684176,0.3912728869353226
Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating,544.0,-0.001147072661856532,0.8305562413875289,0.35359918723830397,0.9557785670121102
Fibroblasts_stromal_aggregatedNeighbors.Vessel,502.0,0.021518295703533113,0.36725436424605573,0.16029357795454868,0.8079596013413226
Fibroblasts_stromal_aggregatedNeighbors.Fibroblasts,623.0,0.00041527456270407104,0.9919024380402085,0.9953897472947997,0.9926563051195874
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.naive,604.0,0.002582717598535289,0.9016222317661882,0.821709374303958,0.9830202530737064
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.memory,651.0,-0.009268698559367475,0.47925861435668515,0.7594194058573628,0.8533182727117745
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,556.0,0.00013266888850409653,0.9300997995232735,0.4301744951523505,0.9830202530737064
Fibroblasts_stromal_aggregatedNeighbors.B.cells,694.5,-0.00725278802646084,0.12766897177273465,0.41822296677828275,0.5190021243804648
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells,711.0,-0.015089725975810327,0.25029909149935836,0.31748015811660435,0.6958879016011332
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,328.5,0.018061272013919577,0.0003727696808044453,0.0006511052529704038,0.02788317212417251
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,667.0,0.0022820662652460917,0.7541646015478345,0.6232977433436484,0.9370683088999671
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Granulocytes,516.0,0.02219610659155693,0.06877938145521074,0.21328067175251875,0.4019295103788878
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.DCs,522.0,0.001551948112345567,0.24272192097160047,0.22904348279259545,0.6928669040433886
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Monocytes,566.0,0.008876037569368622,0.17539873708165638,0.5063695024046069,0.5982465119750584
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,687.5,-0.01622952658815696,0.4900236653743404,0.46656796562081415,0.8570434321511224
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.proliferating,645.5,0.010250435760650496,0.41835468904114703,0.8022195500607884,0.8367093780822941
