,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.DCs,646.0,0.0013371270963937493,0.7369923080077401,0.8557304013530751
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,742.5,-0.007668339373001182,0.16849798829100487,0.1959850485597343
Vessel_stromal_aggregatedNeighbors.Tumor.non.proliferating,385.0,0.018109262610704547,0.08872105128116012,0.003451438166169698
Vessel_stromal_aggregatedNeighbors.Vessel,508.0,0.04405966415343021,0.12557219999430685,0.1622985013257089
Vessel_stromal_aggregatedNeighbors.Fibroblasts,548.0,0.016199149205797153,0.3356169953320358,0.34858418135457314
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.naive,989.0,-0.028065978435099313,0.00011818666187528137,3.670537741888249e-05
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.memory,995.0,-0.029492206114022305,1.8731443399129723e-05,2.754699508241388e-05
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,905.0,-0.009012709069712473,0.0031262205769955207,0.0015814747412971947
Vessel_stromal_aggregatedNeighbors.B.cells,778.5,-0.003068935653396384,0.693883743168062,0.08750800002318143
Vessel_stromal_aggregatedNeighbors.CD8.T.cells,807.0,-0.019240425835098995,0.09595911715396885,0.04234504849260915
Vessel_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,729.0,-0.005297059844692104,0.2755506722572744,0.2572341536191777
Vessel_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,799.0,-0.007608998894047998,0.16587511786685913,0.052631261500107655
Vessel_stromal_aggregatedNeighbors.Myeloid.Granulocytes,642.0,-0.0009386758141280739,0.9208321655503675,0.8947274678979291
Vessel_stromal_aggregatedNeighbors.Myeloid.DCs,605.5,0.0004510680998841858,0.7438130509782843,0.7801247763350552
Vessel_stromal_aggregatedNeighbors.Myeloid.Monocytes,603.0,-0.0013787597359296508,0.5662019427539211,0.7605325644002211
Vessel_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,333.0,0.06796660003471411,0.0007840117751991888,0.000649452619438952
Vessel_tumorfront_aggregatedNeighbors.Tumor.proliferating,806.0,-0.015626479392561482,0.08947764279466422,0.043536470052960935
Vessel_tumorfront_aggregatedNeighbors.Vessel,571.0,0.015986207251249107,0.4586325638650216,0.5010656805974567
Vessel_tumorfront_aggregatedNeighbors.Fibroblasts,435.0,0.04183309121838996,0.018949798855479337,0.025287563850704856
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,1001.0,-0.016304999161167538,2.628864019729437e-05,1.7818446629506424e-05
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,1007.0,-0.02936812991752375,3.5238284982429903e-06,1.4873009334600041e-05
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,975.0,-0.010743772574067556,0.00010197878547534391,6.476381938208661e-05
Vessel_tumorfront_aggregatedNeighbors.B.cells,682.0,-0.0055113384703059775,0.6040879539824354,0.534328595680742
Vessel_tumorfront_aggregatedNeighbors.CD8.T.cells,781.0,-0.02327841842095075,0.0487261148492842,0.08332206460265226
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,916.0,-0.02379476876928863,0.00416617464850248,0.0010230401953370068
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,858.5,-0.014640249201674706,0.01196925232659256,0.008732337941290184
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,668.0,-0.0037695042735213825,0.48033570884093246,0.6644547887533498
Vessel_tumorfront_aggregatedNeighbors.Myeloid.DCs,853.5,-0.0031981314999817287,0.1445021568989712,0.010034828121142007
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,741.0,-0.00757370743390744,0.05103049169555922,0.20363813248699913
Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating,438.0,0.02968472630036119,0.09470078982520792,0.021436646749297076
Fibroblasts_stromal_aggregatedNeighbors.Vessel,496.0,0.05631736828228523,0.06155550232700405,0.12468661770537769
Fibroblasts_stromal_aggregatedNeighbors.Fibroblasts,583.0,0.02023468133685058,0.5334073753294621,0.5927876039372726
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.naive,991.0,-0.03036866055928934,4.241535252700644e-05,3.297390384847471e-05
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.memory,1042.0,-0.04457683908791838,2.7122869819503046e-07,2.2004122630874763e-06
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,900.5,-0.012005453359070684,0.01001551562399619,0.0018734117110953646
Fibroblasts_stromal_aggregatedNeighbors.B.cells,771.5,0.0011337940918588543,0.9108434147787773,0.10355127195460453
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells,794.5,-0.02571052204911231,0.057472263477096316,0.05924950973765624
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,742.0,-0.007139803728408577,0.335856632378576,0.1996971621778052
