,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
Tumor proliferating_tumorfront_E-Cadherin,681.0,-0.028831019584507067,0.6915835783726095,0.5137318699568738
Tumor proliferating_tumorfront_VEGF,566.0,0.027613665142021543,0.2865356070374738,0.5063088938023322
Tumor proliferating_tumorfront_pCREB,579.0,0.09361297440414873,0.48049676938684394,0.6070146114663794
Tumor proliferating_tumorfront_pNFkB,606.0,0.01346305210244847,0.7238270479455966,0.8397069304537974
Tumor proliferating_tumorfront_GranzymeB,629.0,-0.0632561180941843,0.5190061909180699,0.958519239231054
Tumor proliferating_tumorfront_Ki67,522.0,0.08054435593403797,0.14397364369787832,0.2407330474564603
Tumor proliferating_tumorfront_CD44,742.0,-0.1731598517168722,0.10851246052287672,0.1744358929784563
Tumor proliferating_tumorfront_pERK,515.0,0.04261292210963641,0.17060130746720895,0.20981879551609894
Tumor proliferating_tumorfront_pMAPKAPK2,544.0,0.04246493077205982,0.5693720612890337,0.35816028626613694
Tumor proliferating_tumorfront_pS6,607.0,0.05647044581761218,0.7570094066895157,0.8487526688415534
Vessel_stromal_pp38,500.0,0.006507803312704147,0.3808168406289746,0.15352300952725412
Vessel_stromal_pSTAT1,579.0,0.000816848259823727,0.8545959419572943,0.6070749025573434
Vessel_stromal_pSTAT3,432.0,0.017390719850792387,0.03868343399256678,0.02689608358828009
Vessel_stromal_CD36,596.0,0.013166071557344894,0.6813339062026801,0.750638936025578
Vessel_stromal_E-Cadherin,523.0,0.010363465344423312,0.5507516126510394,0.24547783173687754
Vessel_stromal_VEGF,451.0,0.0197323422213541,0.29451764356898213,0.04621177440733643
Vessel_stromal_pCREB,438.0,0.15501234154862986,0.07942222585915716,0.03205812419612794
Vessel_stromal_pNFkB,479.0,0.042677903699422925,0.12916560147408448,0.0949433622451961
Vessel_stromal_GranzymeB,456.0,0.14001373348385937,0.06207082781186037,0.0529078172873177
Vessel_stromal_Ki67,474.0,0.017080117957257418,0.09093644397192242,0.08404920137725867
Vessel_stromal_CD44,705.0,-0.08373580976762651,0.08050988248024342,0.35222693046633524
Vessel_stromal_pERK,407.0,0.06362709685022733,0.011299577243679512,0.01235186895615965
Vessel_stromal_pMAPKAPK2,504.0,0.037048005264259776,0.26551072604775666,0.16728745825983726
Vessel_stromal_pS6,443.0,0.2691108672953887,0.03717763714484006,0.036987332317646546
Vessel_tumorfront_pp38,598.0,-0.000931567300040903,0.9120982992671671,0.7682349207293218
Vessel_tumorfront_pSTAT1,664.0,-0.00279641798024597,0.6189365732293852,0.6480505748555627
Vessel_tumorfront_pSTAT3,506.0,0.01054499421094314,0.19799247320214303,0.1745081578101343
Vessel_tumorfront_CD36,699.0,-0.041730242682887414,0.23673947005968543,0.3892705776682581
Vessel_tumorfront_E-Cadherin,584.0,0.0011764763667425626,0.9524508086371583,0.6480505748555627
Vessel_tumorfront_VEGF,486.0,0.018200802780548572,0.3371480713533326,0.11206379345459697
Vessel_tumorfront_pCREB,461.0,0.12462098687942358,0.16843584947806675,0.06039603825697721
Vessel_tumorfront_pNFkB,567.0,0.01703243061932677,0.5611482781412207,0.5138024673158623
Vessel_tumorfront_GranzymeB,520.0,0.08048910688656813,0.23892653309148412,0.2316683468451184
Vessel_tumorfront_Ki67,554.0,0.005978759582395923,0.5667365058149851,0.4218824588426905
Vessel_tumorfront_CD44,708.0,-0.04575861595447134,0.20919941325258165,0.3345712503307764
Vessel_tumorfront_pERK,451.0,0.0563568082552893,0.05925618210348895,0.04621177440733643
Vessel_tumorfront_pMAPKAPK2,539.0,0.02133798030318984,0.5277990473400835,0.3288150289447912
Vessel_tumorfront_pS6,438.0,0.2154088081841794,0.04306394551799616,0.03205812419612794
Fibroblasts_stromal_pp38,538.0,0.0032340658190690708,0.5110321035934575,0.32312339906531407
Fibroblasts_stromal_pSTAT1,653.0,-0.0004282687266456489,0.8970197812489563,0.7418887058302331
Fibroblasts_stromal_pSTAT3,543.0,0.008624348523139688,0.18392485973721126,0.35222693046633524
Fibroblasts_stromal_CD36,651.0,-0.02362090728307413,0.35077789369742585,0.7594213605382848
Fibroblasts_stromal_E-Cadherin,592.0,0.004595104370774913,0.6740600404000383,0.715841578368051
Fibroblasts_stromal_VEGF,492.0,0.011520256192266903,0.29091379687166846,0.12859961492757466
Fibroblasts_stromal_pCREB,475.0,0.10118869577200046,0.21406469476254433,0.08614305829870078
Fibroblasts_stromal_pNFkB,516.0,0.0324012823411734,0.16611392431637362,0.21412688584938155
Fibroblasts_stromal_GranzymeB,531.0,0.05556074183870252,0.26285697537117225,0.28509062148336317
Fibroblasts_stromal_Ki67,523.0,0.015787101778124986,0.12881000845535098,0.24547783173687754
Fibroblasts_stromal_CD44,780.0,-0.05317746193495476,0.07775325410543973,0.07233601495062854
Fibroblasts_stromal_pERK,433.0,0.05522016876874372,0.019516438898930996,0.027703022551932625
Fibroblasts_stromal_pMAPKAPK2,537.0,0.027441297998686942,0.39366415706886715,0.31749638741282116
Fibroblasts_stromal_pS6,400.0,0.20922113931800546,0.009260822424658435,0.009799564391740576
Fibroblasts_tumorfront_pp38,560.0,0.0028166213788562086,0.7503391616264743,0.46305714837905776
Fibroblasts_tumorfront_pSTAT1,704.0,-0.0025141875803315894,0.6186827020096926,0.3582408949647007
Fibroblasts_tumorfront_pSTAT3,580.0,0.008507951946946167,0.25456874273710217,0.6151772820835655
Fibroblasts_tumorfront_CD36,695.0,-0.012065597484534021,0.46717416964016256,0.4152349423635795
