,Fold selected features,Fold nb of features
Fold 30,"['CCL20', 'CTSH', 'LGALS1', 'MDGA1', 'MUC13', 'MZB1', 'PON3']",7
Fold 31,"['ADAMTS13', 'ADAMTS15', 'AIF1', 'ANGPTL2', 'AOC1', 'APEX1', 'BAIAP2', 'BAX', 'CCL20', 'CD209', 'CD276', 'CD28', 'CD63', 'CHIT1', 'CNTN5', 'COL9A1', 'COLEC12', 'CPE', 'CRTAC1', 'CSF2RA', 'CSTB', 'CTSH', 'DDR1', 'DECR1', 'DKKL1', 'DLL1', 'DPP6', 'DPT', 'EPCAM', 'FABP4', 'FBP1', 'FCAR', 'FCN2', 'FOSB', 'GCG', 'GFAP', 'GFRA2', 'GGH', 'GGT1', 'GGT5', 'GPA33', 'GPC5', 'HBQ1', 'HCLS1', 'HSPG2', 'ICAM1', 'IGF2R', 'IGFBPL1', 'IL13', 'IL16', 'IL17C', 'IL1RAP', 'IL2', 'IL24', 'IL2RA', 'IL33', 'IL5', 'ING1', 'ISLR2', 'JUN', 'KLK12', 'KLRD1', 'L1CAM', 'LAIR2', 'LGALS1', 'LGALS3', 'LILRB1', 'LRPAP1', 'LSP1', 'LY96', 'LYAR', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MILR1', 'MME', 'MMP12', 'MSR1', 'MZB1', 'NCLN', 'NEFL', 'NMNAT1', 'NPM1', 'NPTN', 'NPTXR', 'NTF4', 'PAEP', 'PAG1', 'PDGFC', 'PDGFRA', 'PIGR', 'PLAUR', 'POLR2F', 'PRDX5', 'PRKRA', 'PSIP1', 'PSMA1', 'PSPN', 'PTPRM', 'RANGAP1', 'RARRES1', 'S100A16', 'SCARB1', 'SCP2', 'SEMA3F', 'SERPINB8', 'SEZ6L2', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'THBS2', 'THPO', 'TIE1', 'TMSB10', 'TNFRSF13B', 'TNFRSF8', 'TPT1', 'VTCN1', 'VWF', 'WFIKKN1', 'XPNPEP2']",127
Fold 32,"['ACP5', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AMIGO2', 'AOC1', 'ATP6V1D', 'BAIAP2', 'BRK1', 'CA11', 'CAPG', 'CASP1', 'CCL15', 'CCL20', 'CD177', 'CD300C', 'CD63', 'CDHR1', 'CEACAM3', 'CES2', 'CHIT1', 'CLUL1', 'COL4A1', 'COLEC12', 'CPA2', 'CRTAC1', 'CSTB', 'CTSF', 'CTSH', 'CXCL13', 'CXCL14', 'DDX58', 'DKKL1', 'DNER', 'DSG2', 'DSG3', 'ENPP7', 'FABP4', 'FASLG', 'FBP1', 'FCGR2A', 'FCN2', 'FGF21', 'FUCA1', 'FUS', 'GDF15', 'GDF2', 'GFRA2', 'GGT1', 'GGT5', 'GNLY', 'GRN', 'HDGF', 'HLA-DRA', 'HSP90B1', 'HSPG2', 'IFNGR2', 'IGF2R', 'IGSF3', 'IL11', 'IL17C', 'IL22RA1', 'ILKAP', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'KLK14', 'KRT19', 'LGALS1', 'LGALS9', 'LILRA5', 'LRP11', 'LRRC25', 'LTA', 'LY96', 'MDGA1', 'MET', 'MMP13', 'MSLN', 'MUC13', 'MZB1', 'NBN', 'NCAM2', 'NCLN', 'NDRG1', 'NFATC3', 'NPTN', 'NRP2', 'PCOLCE', 'PCSK9', 'PDGFC', 'PDGFRA', 'PLAUR', 'PM20D1', 'PODXL2', 'POLR2F', 'PPY', 'PRL', 'PRSS8', 'PSIP1', 'PSPN', 'PTH1R', 'PTPRM', 'RANGAP1', 'RETN', 'S100A16', 'SCARB1', 'SERPINB9', 'SKAP1', 'SMOC2', 'SMPDL3A', 'SPINK1', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TFPI2', 'THPO', 'TIGAR', 'TMPRSS5', 'TNFRSF10A', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TNFSF12', 'TSPAN1', 'TXNDC5', 'TYRO3', 'VEGFA', 'XPNPEP2']",135
Fold 33,"['AMY2A', 'AOC1', 'ASAH2', 'BAIAP2', 'C19orf12', 'CASP1', 'CCL15', 'CCL17', 'CCL19', 'CCL20', 'CD5', 'CD63', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'COL9A1', 'CPA2', 'CPVL', 'CRHBP', 'CRTAC1', 'CTSH', 'CXCL8', 'DKKL1', 'DLL1', 'DSG4', 'ENPP7', 'FBP1', 'FCAR', 'FCGR2B', 'FCN2', 'FCRL5', 'FGF21', 'FOSB', 'GAL', 'GFRA2', 'GFRA3', 'GGT5', 'GH2', 'GPA33', 'GUCA2A', 'HCLS1', 'HDGF', 'HLA-DRA', 'ICAM1', 'IFNGR2', 'IGF2R', 'IGSF3', 'IL10', 'IL2', 'IL6', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK12', 'KLK14', 'LAMA4', 'LILRB1', 'MDGA1', 'MSR1', 'MZB1', 'NCLN', 'NCS1', 'NFASC', 'NRP1', 'OXT', 'PCSK9', 'PDGFC', 'PIGR', 'PLA2G10', 'PM20D1', 'PON3', 'PPY', 'RANGAP1', 'RBP2', 'RRM2', 'S100A11', 'SCG2', 'SELPLG', 'SIGLEC7', 'SIGLEC9', 'SPINK6', 'SPINT1', 'SRP14', 'TCN2', 'TDGF1', 'TFRC', 'THBS2', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF8', 'VWA1', 'XPNPEP2']",95
Fold 34,"['CCL7', 'CRTAC1', 'LGALS1', 'MSR1', 'MZB1', 'PIGR']",6
Fold 35,"['ABL1', 'ACP5', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'ALPP', 'AMY2A', 'ANGPTL3', 'AOC1', 'BAIAP2', 'BSG', 'C4BPB', 'CCL20', 'CD109', 'CD164', 'CD276', 'CD38', 'CD63', 'CDH2', 'CDHR1', 'CES1', 'CES2', 'CHIT1', 'CHL1', 'CLEC4C', 'CLPS', 'CLUL1', 'CRTAC1', 'CSF2RA', 'CTSH', 'CTSL', 'CXCL8', 'DKK4', 'DNER', 'DSG2', 'ENPP7', 'ERBB3', 'FABP4', 'FASLG', 'FBP1', 'FCN2', 'FCRL5', 'FCRLB', 'FGF21', 'FOSB', 'GDF15', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'HDGF', 'HLA-DRA', 'ICAM1', 'IGF2R', 'IL11', 'IL17C', 'IL20', 'IL22RA1', 'IL24', 'IL2RB', 'IL33', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK10', 'LAMA4', 'LGALS1', 'LHB', 'LTA', 'LYPD1', 'LYPD8', 'MDGA1', 'MMP13', 'MSLN', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NDUFS6', 'NELL2', 'NINJ1', 'NOMO1', 'NPTN', 'NPY', 'NRP2', 'NRTN', 'NTF4', 'PCOLCE', 'PDGFC', 'PM20D1', 'PNLIPRP2', 'PODXL2', 'POLR2F', 'PON3', 'PPY', 'PRL', 'RANGAP1', 'S100A16', 'SCARB1', 'SELPLG', 'SEZ6L2', 'SIRT5', 'SPINT1', 'SRP14', 'TDGF1', 'TFPI2', 'TFRC', 'THPO', 'TLR3', 'TMPRSS5', 'TNFRSF11A', 'TNFRSF4', 'TNFRSF8', 'WIF1', 'XPNPEP2']",116
Fold 36,"['ANGPTL2', 'CCL20', 'CCL7', 'CRTAC1', 'CTSH', 'FBP1', 'MZB1', 'PON3', 'SPINT1']",9
Fold 37,"['BAIAP2', 'CCL20', 'CNTN5', 'CXCL8', 'DSG4', 'LGALS1', 'LRRC25', 'MZB1', 'PLAUR', 'SPINT1', 'TIMP1']",11
Fold 38,"['ADAM15', 'ADAMTS15', 'ANXA3', 'BAIAP2', 'BST1', 'CASP1', 'CCL19', 'CCL20', 'CD27', 'CEACAM5', 'CELA3A', 'CHIT1', 'CLC', 'CPA2', 'CRISP2', 'CRTAC1', 'CTSH', 'DKKL1', 'EPCAM', 'FOSB', 'GGT1', 'GH2', 'GPA33', 'GZMA', 'HCLS1', 'HLA-DRA', 'ICAM1', 'IFNGR2', 'IGF2R', 'IL12RB1', 'IL15RA', 'IL18RAP', 'IL32', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KLRD1', 'LILRB1', 'LY96', 'MARCO', 'MDGA1', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NRP1', 'PDCD1', 'PDGFC', 'PIGR', 'PON3', 'PPY', 'PRSS8', 'RAB6B', 'RBP2', 'S100A11', 'SDC1', 'SELPLG', 'SIGLEC7', 'SIGLEC9', 'SMOC2', 'SSB', 'SSC5D', 'TDGF1', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TSLP', 'XPNPEP2']",70
Fold 39,"['CCL19', 'CCL20', 'CES2', 'CRTAC1', 'DKKL1', 'DSG4', 'GNLY', 'HDGF', 'IL16', 'KCNIP4', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'PSIP1', 'RANGAP1', 'TMPRSS5', 'XPNPEP2', 'XRCC4']",20
Fold 40,"['ACE2', 'ADAMTS15', 'ANGPTL2', 'ANXA3', 'AOC1', 'ATP6V1D', 'CCL17', 'CCL20', 'CD5', 'CD63', 'CHIT1', 'CHL1', 'COL4A1', 'COLEC12', 'CPPED1', 'CRTAC1', 'CTSF', 'CTSH', 'CXCL14', 'CXCL8', 'DPT', 'ENPP7', 'FCRL5', 'FOSB', 'GFRA2', 'GGT5', 'GNLY', 'HDGF', 'HLA-DRA', 'HSP90B1', 'ICAM1', 'IGF2R', 'IL13', 'IL16', 'IL17C', 'IL17RA', 'IL17RB', 'KCNIP4', 'KLK10', 'LAMA4', 'LGALS1', 'LRIG1', 'LRRC25', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MILR1', 'MSR1', 'MUC13', 'MZB1', 'NINJ1', 'NPTN', 'NTRK3', 'PADI2', 'PCSK9', 'PIGR', 'PM20D1', 'PRKRA', 'PSIP1', 'PSPN', 'PTH1R', 'RANGAP1', 'RASSF2', 'RETN', 'S100A11', 'SH2D1A', 'SIGLEC9', 'SMOC2', 'SPINK1', 'SPINT1', 'SRP14', 'TDGF1', 'TFPI2', 'TFRC', 'THBS2', 'THBS4', 'TIGAR', 'TMPRSS5', 'TNC', 'TNFRSF11B', 'TSPAN1', 'TXLNA', 'XPNPEP2']",85
Fold 41,"['ACE2', 'ACP5', 'ACP6', 'ADAMTS13', 'ADAMTS15', 'AKR1C4', 'AMBP', 'ANXA5', 'AOC1', 'ARNT', 'ATP6V1D', 'BAIAP2', 'BPIFB1', 'BSG', 'BST1', 'CA5A', 'CCL19', 'CCL20', 'CD177', 'CD22', 'CD5', 'CD63', 'CDHR1', 'CEACAM3', 'CES2', 'CHL1', 'CLEC4G', 'CLSPN', 'COLEC12', 'CPA2', 'CPE', 'CRTAC1', 'CRX', 'CTSH', 'CTSL', 'CXCL8', 'DKK1', 'DKKL1', 'DPEP2', 'DPT', 'DSG2', 'DSG4', 'ELOA', 'EPCAM', 'FABP1', 'FABP4', 'FABP9', 'FBP1', 'FCN2', 'FCRL5', 'FCRLB', 'FOSB', 'FST', 'GFAP', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GKN1', 'GLB1', 'GPA33', 'HAVCR2', 'HDGF', 'HLA-DRA', 'IGF2R', 'IL11', 'IL1RAP', 'IL2', 'IL2RA', 'IL2RB', 'IL33', 'INHBC', 'ISM1', 'JCHAIN', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'KLRD1', 'LAIR2', 'LAMA4', 'LEP', 'LILRA5', 'LILRB1', 'LRP11', 'LYPD1', 'LYPD3', 'MDGA1', 'MET', 'MME', 'MUC13', 'MZB1', 'NEFL', 'NINJ1', 'NOMO1', 'NPTN', 'NPY', 'NRP1', 'NRP2', 'NTF4', 'NTRK3', 'PCSK9', 'PDGFC', 'PM20D1', 'PODXL', 'PODXL2', 'PON3', 'PPY', 'PTH1R', 'RANGAP1', 'SCGN', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINK6', 'SPINT1', 'SSB', 'ST3GAL1', 'TDGF1', 'TFRC', 'THPO', 'TMPRSS15', 'TMPRSS5', 'TNC', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPT1', 'TSHB', 'VASN', 'VWC2', 'WIF1', 'XPNPEP2']",136
Fold 42,"['CCL7', 'CRTAC1', 'JUN', 'LGALS1', 'MZB1', 'PON3']",6
Fold 43,"['CCL7', 'GDF15', 'LGALS9', 'MZB1']",4
Fold 44,"['ACE2', 'ACP5', 'ACP6', 'ACTN4', 'ADAMTS13', 'AMY2B', 'AOC1', 'AZU1', 'B4GAT1', 'BAIAP2', 'BSG', 'CALB2', 'CAMKK1', 'CCL19', 'CCL20', 'CD200', 'CD276', 'CD33', 'CD38', 'CD63', 'CDH17', 'CDHR1', 'CES2', 'CHIT1', 'CLEC4C', 'CLPS', 'COLEC12', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSH', 'CXCL8', 'DKKL1', 'DLL1', 'DPT', 'ENPP7', 'ERBB3', 'FABP4', 'FASLG', 'FBP1', 'FCGR2B', 'FCN2', 'FGF21', 'FOSB', 'GDF15', 'GFAP', 'GFOD2', 'GFRA2', 'GGH', 'GGT5', 'GH2', 'GP2', 'GPA33', 'HBQ1', 'HDGF', 'HEBP1', 'HLA-DRA', 'HMBS', 'ICAM1', 'IGF2R', 'IGFBPL1', 'IGSF3', 'IL12RB1', 'IL13', 'IL17RB', 'IL1RAP', 'IL22RA1', 'IL2RA', 'IL33', 'IL5', 'ISLR2', 'ISM1', 'KCNIP4', 'KLK1', 'KLK10', 'KLK12', 'KLRB1', 'KLRD1', 'LAMA4', 'LGALS1', 'LILRB1', 'LRP11', 'LY96', 'MAGED1', 'MAPK9', 'MARCO', 'MDGA1', 'MILR1', 'MMP13', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NECTIN2', 'NGF', 'NINJ1', 'NOS1', 'NPTN', 'NRP2', 'NRTN', 'NTF4', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PLAUR', 'PM20D1', 'PON3', 'PPY', 'PTEN', 'RANGAP1', 'RARRES1', 'S100A16', 'SELPLG', 'SIGLEC9', 'SIRT5', 'SMOC2', 'SPINK6', 'SPINT1', 'SPOCK1', 'SRP14', 'TDGF1', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPSAB1', 'TPT1', 'XPNPEP2']",132
Fold 45,"['ACE2', 'ADAM15', 'ADAMTS15', 'AMBN', 'AMY2A', 'AMY2B', 'ANGPTL3', 'AOC1', 'BAIAP2', 'CA5A', 'CCL15', 'CCL19', 'CCL20', 'CCL7', 'CD27', 'CD38', 'CDH17', 'CDHR2', 'CES2', 'CNTN2', 'COLEC12', 'COPE', 'CPA2', 'CRTAC1', 'CSF1', 'CSTB', 'CTSF', 'CTSL', 'DDX58', 'DKKL1', 'DPT', 'ENPP7', 'FABP4', 'FAM3B', 'FASLG', 'FBP1', 'FCN2', 'FCRL5', 'GFRA2', 'GGT5', 'GH2', 'GNLY', 'GP2', 'GPA33', 'HBQ1', 'HCLS1', 'HDGF', 'HLA-DRA', 'IGF2R', 'IGFBPL1', 'IGSF8', 'IL33', 'KCNIP4', 'KLB', 'KLK10', 'KLRD1', 'LAMA4', 'LGALS1', 'LILRB1', 'LRIG1', 'LTBP3', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MMP13', 'MUC13', 'MZB1', 'NCLN', 'NGF', 'NINJ1', 'NOMO1', 'NOS1', 'NPTN', 'NRP1', 'NRP2', 'NRTN', 'PAPPA', 'PCOLCE', 'PDGFC', 'PLIN1', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'PRTG', 'PSIP1', 'PTPRM', 'RANGAP1', 'S100A16', 'SCP2', 'SMOC2', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'SSC5D', 'TDGF1', 'TFPI2', 'THPO', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF4', 'TNFSF12', 'TPT1', 'TSLP', 'TYMP', 'VWA1', 'WFIKKN1', 'XPNPEP2', 'XRCC4']",115
Fold 46,"['ACE2', 'ACP5', 'ADAMTS13', 'ADAMTS15', 'ADGRG2', 'AHSP', 'ALCAM', 'AMBP', 'ANGPTL2', 'AOC1', 'APOM', 'B4GAT1', 'BAIAP2', 'CALB2', 'CCL20', 'CD164', 'CD209', 'CD276', 'CD38', 'CD5', 'CES2', 'CHIT1', 'CLEC11A', 'CLUL1', 'CNTN5', 'COL4A1', 'CRLF1', 'CRTAC1', 'CTSH', 'CTSL', 'CXCL8', 'DLL1', 'DPT', 'DSG2', 'DSG4', 'ECE1', 'EPCAM', 'ERBB3', 'FABP4', 'FABP5', 'FAP', 'FASLG', 'FBP1', 'FCAR', 'FCGR2B', 'FCN2', 'FCRL5', 'FGF21', 'FGF5', 'FGR', 'FOSB', 'GDF15', 'GFAP', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'GLT8D2', 'GPA33', 'GRN', 'HBQ1', 'ICAM1', 'IGF2R', 'IGFBPL1', 'IL11', 'IL13', 'IL17C', 'IL24', 'IL2RA', 'IL5', 'JUN', 'KCNIP4', 'KLK10', 'KLK12', 'L1CAM', 'LAMA4', 'LEP', 'LGALS1', 'LILRA5', 'LILRB1', 'LRRC25', 'LY9', 'LY96', 'MAGED1', 'MARCO', 'MDGA1', 'MEGF10', 'MET', 'METAP1', 'MILR1', 'MSR1', 'MUC13', 'MZB1', 'NECTIN2', 'NELL2', 'NPTN', 'NRP2', 'PIGR', 'PLA2G7', 'PLAUR', 'PON3', 'PPY', 'PRKRA', 'PSIP1', 'PSPN', 'RANGAP1', 'RASA1', 'S100A16', 'SCARB1', 'SEZ6L2', 'SIGLEC9', 'SIT1', 'SMOC2', 'SPINT1', 'SRP14', 'SSB', 'SSC5D', 'STX6', 'TDGF1', 'TFPI2', 'TFRC', 'THBS2', 'THPO', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNNI3', 'TPT1', 'TRIAP1', 'XPNPEP2']",130
Fold 47,"['ADAMTS13', 'ARNT', 'BAIAP2', 'CCL20', 'CDHR1', 'CES2', 'CHIT1', 'CRTAC1', 'FGF21', 'HDGF', 'IL22RA1', 'LAMA4', 'LGALS1', 'LY96', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NOMO1', 'NPTN', 'PPY', 'XPNPEP2']",22
Fold 48,"['ANGPTL2', 'CASP1', 'CRTAC1', 'CTSH', 'DSG4', 'FOSB', 'IGF2R', 'LGALS1', 'MDGA1', 'MZB1', 'PLAUR', 'SIGLEC9', 'SRP14', 'TNFRSF8']",14
Fold 49,"['ACAN', 'ADAM15', 'ALPP', 'AMY2A', 'AMY2B', 'APBB1IP', 'C19orf12', 'CASP1', 'CCL15', 'CCL20', 'CCL7', 'CD164', 'CD276', 'CD300C', 'CD5', 'CD63', 'CD79B', 'CDHR1', 'CEACAM5', 'CHIT1', 'CHL1', 'CLUL1', 'CPA2', 'CRTAC1', 'CXCL8', 'DDC', 'DKKL1', 'DLL1', 'DPT', 'FCGR2B', 'FCN2', 'FCRL6', 'FGF21', 'FOSB', 'FUCA1', 'GGT5', 'GNLY', 'GPA33', 'GPKOW', 'GZMH', 'HLA-DRA', 'IGF2R', 'IL11', 'IL13', 'IL13RA1', 'IL2', 'IL2RA', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK14', 'LGALS1', 'LRP11', 'LSP1', 'LYPD8', 'MAGED1', 'MDGA1', 'MICB_MICA', 'MILR1', 'MSLN', 'MUC13', 'MZB1', 'NCAM2', 'NPTN', 'NRP1', 'PADI2', 'PCSK9', 'PDCD1LG2', 'PDGFC', 'PILRB', 'PM20D1', 'POLR2F', 'PON3', 'RBP2', 'SCARB1', 'SMOC2', 'SPINK1', 'SRP14', 'SSB', 'TDGF1', 'TFPI2', 'TFRC', 'THBS2', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TNNI3', 'TP53INP1', 'TSHB', 'WISP1', 'XPNPEP2', 'XRCC4']",92
Fold 50,"['CCL20', 'FOSB', 'HDGF', 'MDGA1', 'MZB1', 'PON3', 'SIGLEC9', 'SRP14', 'TMPRSS5', 'TNFRSF8', 'XPNPEP2']",11
Fold 51,"['ACE2', 'ACP5', 'ACP6', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'ANGPTL2', 'AOC1', 'APOH', 'APOM', 'B4GAT1', 'BAIAP2', 'BSG', 'CAPG', 'CCL20', 'CD177', 'CD276', 'CD63', 'CDH17', 'CDHR1', 'CELA3A', 'CES2', 'CHL1', 'CLEC4G', 'CLPS', 'COL4A1', 'CRELD2', 'CRTAC1', 'CTRB1', 'CTSH', 'CXCL8', 'DKKL1', 'DPT', 'ERBB4', 'FABP4', 'FASLG', 'FCGR2B', 'FCN2', 'FOSB', 'FST', 'GFAP', 'GFRA2', 'GFRA3', 'GGT1', 'GGT5', 'GH2', 'GP2', 'GUCA2A', 'HBQ1', 'HDGF', 'HEBP1', 'HLA-DRA', 'ICAM1', 'ICAM5', 'IGF2R', 'IL11', 'IL13', 'IL1RAP', 'IL22RA1', 'IL24', 'IL2RA', 'IL2RB', 'IL33', 'JCHAIN', 'KLK1', 'KLK10', 'KLRB1', 'LAMA4', 'LEP', 'LILRA5', 'LILRB1', 'LRPAP1', 'LY96', 'LYPD1', 'MAGED1', 'MDGA1', 'MET', 'MGMT', 'MSLN', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NEFL', 'NFATC3', 'NINJ1', 'NOMO1', 'NPTN', 'NPTXR', 'NPY', 'NTF4', 'NTRK3', 'PAEP', 'PDGFC', 'PDGFRA', 'PM20D1', 'PNLIPRP2', 'PON3', 'PPY', 'PRKRA', 'PRSS8', 'PSIP1', 'PTH1R', 'RANGAP1', 'RARRES1', 'SCGN', 'SCLY', 'SELPLG', 'SIGLEC9', 'SMOC2', 'SOST', 'SPINT1', 'SRP14', 'SSB', 'ST3GAL1', 'STX8', 'TDGF1', 'THPO', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF11A', 'TNFRSF4', 'TPT1', 'TSHB', 'VSTM2L', 'XPNPEP2', 'XRCC4']",129
Fold 52,"['ADAMTS16', 'ADGRG2', 'AMY2B', 'ANGPTL2', 'ARNT', 'ATP6AP2', 'ATP6V1D', 'BAIAP2', 'BGN', 'C19orf12', 'CA5A', 'CCL15', 'CCL20', 'CD300C', 'CDHR2', 'CEACAM3', 'CEACAM5', 'CHIT1', 'CLEC11A', 'CLUL1', 'CNTN1', 'CNTN2', 'CPA2', 'CRTAC1', 'CST5', 'CTSH', 'CTSL', 'DEFA1_DEFA1B', 'DKKL1', 'DPT', 'EPHA1', 'ERBB4', 'FCAR', 'FCER2', 'FCRL5', 'GHRHR', 'HLA-DRA', 'IFNGR2', 'IGF2R', 'IL24', 'IL32', 'ISM1', 'KCNIP4', 'KLB', 'LAMA4', 'LGALS1', 'LGALS9', 'LHB', 'LRRC25', 'LY9', 'LY96', 'MASP1', 'MDGA1', 'MUC13', 'MZB1', 'NINJ1', 'NOMO1', 'NPTN', 'NRP1', 'NTRK3', 'OMG', 'PDGFC', 'PPY', 'PRTG', 'RANGAP1', 'SIGLEC10', 'TCL1A', 'TCL1B', 'TDGF1', 'TNC', 'TNFRSF11B', 'UMOD', 'XPNPEP2', 'XRCC4']",74
Fold 53,"['ADAM15', 'ADAMTS13', 'ADGRG2', 'AFP', 'AHSP', 'AMBP', 'ANXA5', 'AOC1', 'ATF2', 'B4GAT1', 'BAIAP2', 'BSG', 'CALB2', 'CCL20', 'CD164', 'CD209', 'CD276', 'CD38', 'CD5', 'CDHR1', 'CES2', 'CHIT1', 'CLMP', 'CLPS', 'CLUL1', 'CNTN5', 'CRTAC1', 'CSTB', 'CXCL8', 'DKKL1', 'DPT', 'DSG2', 'DSG4', 'ECE1', 'EPCAM', 'ERBB3', 'FABP4', 'FAP', 'FCAR', 'FCGR2A', 'FCGR2B', 'FCN2', 'FGF21', 'FOSB', 'GFAP', 'GFOD2', 'GFRA2', 'GGT5', 'GLT8D2', 'GPA33', 'GRN', 'HBQ1', 'HDGF', 'HMBS', 'HSPB6', 'IDI2', 'IGF2R', 'IGFBPL1', 'IL11', 'IL13', 'IL17C', 'IL1A', 'IL22RA1', 'IL2RA', 'ILKAP', 'JCHAIN', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KLK14', 'L1CAM', 'LAMA4', 'LGALS1', 'LGALS9', 'LHB', 'LILRA5', 'LILRB1', 'LPO', 'LRPAP1', 'LRRC25', 'LY9', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MILR1', 'MUC13', 'MZB1', 'NCAM2', 'NCLN', 'NDRG1', 'NFKBIE', 'NOS1', 'NPTN', 'NPY', 'NRTN', 'PAEP', 'PDGFC', 'PLA2G7', 'PLAUR', 'PM20D1', 'POLR2F', 'PON3', 'PPP3R1', 'PPY', 'PREB', 'PRL', 'PSIP1', 'PSPN', 'RANGAP1', 'RARRES1', 'RASA1', 'RETN', 'S100A16', 'SCARB1', 'SPINT1', 'SRP14', 'SSB', 'TCL1A', 'TDGF1', 'TFPI2', 'TGM2', 'THBD', 'THBS2', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPT1', 'TRIAP1', 'TXNDC5', 'VEGFA', 'XG', 'XPNPEP2']",136
Fold 54,"['CCL20', 'CCL7', 'FOSB', 'LGALS1', 'MZB1']",5
Fold 55,"['BAIAP2', 'CCL20', 'CDHR1', 'CRTAC1', 'DPT', 'FOSB', 'HDGF', 'IGF2R', 'LGALS1', 'MAGED1', 'MDGA1', 'MUC13', 'MZB1', 'PDGFC', 'SMOC2', 'TNC', 'XPNPEP2']",17
