,Fold selected features,Fold nb of features
Fold 10,"['ACE2', 'ADAM15', 'ALPP', 'AMIGO2', 'AMY2A', 'AMY2B', 'ANGPTL2', 'AOC1', 'BAIAP2', 'CCL15', 'CCL20', 'CCL27', 'CD164', 'CD63', 'CDH17', 'CDHR1', 'CEACAM3', 'CEACAM5', 'CES2', 'CNTNAP2', 'COL4A1', 'CPA2', 'CRTAC1', 'CRX', 'CSF2RA', 'CTSF', 'CTSH', 'CTSV', 'DDR1', 'DKKL1', 'DLL1', 'ENPP7', 'EPCAM', 'FBP1', 'FCGR2A', 'FCGR2B', 'FCN2', 'FCRL5', 'FOSB', 'FUCA1', 'FUS', 'GFAP', 'GFRA2', 'GGT5', 'GNLY', 'GPA33', 'GZMB', 'HCLS1', 'HDGF', 'HLA-DRA', 'ICAM1', 'IFNGR2', 'IGF2R', 'IL16', 'IL17C', 'IL17D', 'IL18RAP', 'IL5RA', 'ING1', 'ITGB6', 'JCHAIN', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KLRD1', 'LEFTY2', 'LRPAP1', 'LYPD1', 'MDGA1', 'MFAP3', 'MME', 'MMP13', 'MSLN', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NFATC3', 'NOMO1', 'NPTN', 'NPY', 'NRP1', 'NRP2', 'NTF4', 'PDGFC', 'PLAU', 'PM20D1', 'PON3', 'PRSS8', 'PSIP1', 'PTH1R', 'RANGAP1', 'SCARB1', 'SCGN', 'SIGLEC10', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINT1', 'SRP14', 'SSB', 'SSC5D', 'TDGF1', 'TEK', 'THPO', 'TIMP3', 'TMPRSS5', 'TNC', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'WISP1', 'XPNPEP2', 'XRCC4']",116
Fold 11,"['CCL7', 'CRTAC1', 'LGALS1', 'MZB1']",4
Fold 12,"['ADAMTS15', 'ADGRG1', 'ADGRG2', 'AFP', 'AKR1C4', 'ANGPTL3', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'BSG', 'BST1', 'C19orf12', 'CALB2', 'CCL15', 'CD5', 'CD63', 'CD74', 'CD79B', 'CDHR1', 'CEACAM21', 'CEACAM5', 'CES2', 'CHIT1', 'CLUL1', 'CNTN5', 'COL6A3', 'COLEC12', 'CPVL', 'CRH', 'CRTAC1', 'CTSH', 'CTSL', 'CXCL8', 'DDX58', 'DKKL1', 'DPT', 'DSG4', 'EPCAM', 'ERBB3', 'ERBB4', 'FABP1', 'FAP', 'FBP1', 'FCGR2B', 'FCN2', 'FCRLB', 'FGF21', 'GCG', 'GDF15', 'GFAP', 'GFOD2', 'GFRA2', 'GGT5', 'GLT8D2', 'GPA33', 'HBQ1', 'HDGF', 'HSPB6', 'ICAM1', 'IGF2R', 'IGFBPL1', 'IL11', 'IL13', 'IL16', 'IL1RAP', 'IL2', 'IL2RA', 'IL33', 'ISLR2', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KRT5', 'LEP', 'LGALS1', 'LGALS9', 'LIF', 'LILRA5', 'LILRB1', 'LILRB2', 'LRIG1', 'LRRN1', 'LTBP2', 'LY9', 'LY96', 'MARCO', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MZB1', 'NEFL', 'NOMO1', 'NPTN', 'NPY', 'NRTN', 'NTRK3', 'PARP1', 'PDCD1LG2', 'PIGR', 'PKLR', 'PLA2G7', 'POLR2F', 'PON3', 'PPY', 'RAB6B', 'RANGAP1', 'REN', 'RETN', 'RRM2', 'S100A16', 'SCARB1', 'SDC1', 'SERPINB8', 'SIGLEC7', 'SIRT5', 'SPINT1', 'SRP14', 'SSB', 'ST3GAL1', 'TAFA5', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TNC', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF8', 'TSLP', 'TYRO3', 'VWF', 'XPNPEP2']",133
Fold 13,"['CCL20', 'CRTAC1', 'FABP4', 'HLA-DRA', 'LGALS1', 'MDGA1', 'MZB1', 'PON3']",8
Fold 14,"['ACE2', 'ACP6', 'ADAMTS13', 'ADAMTS15', 'ADAMTS16', 'ADGRG2', 'AMY2A', 'AMY2B', 'AOC1', 'ARSA', 'BAIAP2', 'CALB2', 'CAMKK1', 'CCL17', 'CCL19', 'CCL20', 'CD109', 'CD22', 'CD276', 'CD40LG', 'CD5', 'CD63', 'CD79B', 'CDHR1', 'CELA3A', 'CES2', 'CHIT1', 'CHL1', 'CNDP1', 'CPA2', 'CRHBP', 'CRTAC1', 'CSF2RA', 'CTSH', 'CXCL8', 'DNAJB1', 'DNER', 'DSG4', 'ECE1', 'ENPP7', 'FASLG', 'FCAR', 'FCN2', 'FCRL5', 'FOSB', 'GDF15', 'GFOD2', 'GFRA2', 'GGH', 'GGT5', 'GH2', 'GPC5', 'HDGF', 'HLA-DRA', 'HSP90B1', 'ICAM1', 'IFNGR1', 'IFNLR1', 'IGF2R', 'IGFBPL1', 'IGSF3', 'IL11', 'IL13', 'IL17RB', 'IL1A', 'IL22RA1', 'IL2RB', 'IL32', 'IL7R', 'ISLR2', 'ISM1', 'KCNIP4', 'KIFBP', 'KLB', 'KLK10', 'KLRD1', 'LAMA4', 'LGALS1', 'LHB', 'LILRB1', 'LY9', 'LY96', 'MAGED1', 'MAPT', 'MARCO', 'MDGA1', 'MET', 'MILR1', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NINJ1', 'NOMO1', 'NRP1', 'NTRK3', 'PDGFC', 'PDGFRA', 'PLA2G10', 'PM20D1', 'PNLIPRP2', 'PON2', 'PPP3R1', 'PPY', 'PRTG', 'RARRES1', 'RELT', 'S100A16', 'SDC1', 'SELPLG', 'SERPINA9', 'SIGLEC7', 'SIGLEC9', 'SMOC2', 'SNX9', 'SOD2', 'SPINT1', 'TDGF1', 'TFRC', 'THBS2', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF4', 'TP53INP1', 'TPSAB1', 'TSHB', 'VWA1', 'WFIKKN1', 'XPNPEP2', 'YES1']",133
Fold 15,"['ANGPTL2', 'CRTAC1', 'FCAR', 'IGF2R', 'LGALS1', 'MZB1', 'PLAUR', 'PON3', 'TNFRSF8']",9
Fold 16,"['CCL20', 'CCL7', 'CES2', 'CRTAC1', 'CXCL8', 'FGF21', 'FOSB', 'GDF15', 'IL22RA1', 'LGALS1', 'MDGA1', 'MSLN', 'MUC13', 'MZB1', 'PON3', 'PRSS8']",16
Fold 17,"['CCL7', 'DSG4', 'MZB1', 'SDC1']",4
Fold 18,"['CCL15', 'CDCP1', 'CEACAM5', 'CRTAC1', 'FBP1', 'FOSB', 'LGALS9', 'MDGA1', 'MZB1', 'PON3']",10
Fold 19,"['CCL20', 'CRTAC1', 'IL2RA', 'JUN', 'LGALS1', 'MAD1L1', 'MZB1']",7
