,ROC AUC,Average Precision,N features,CVS
STABL,"0.842 [0.728, 0.941]","0.699 [0.516, 0.893]","7.000 [5.000, 12.250]","0.222 [0.154, 0.300]"
SS 03,"0.844 [0.738, 0.939] (p=0.513)","0.766 [0.589, 0.913] (p=0.227)","3.000 [2.000, 4.000] (p=6.496e-18)","0.200 [0.111, 0.333] (p=8.104e-12)"
SS 05,"0.491 [0.444, 0.533] (p=0.0)","0.364 [0.242, 0.485] (p=0.0)","0.000 [0.000, 1.000] (p=8.471e-36)","0.000 [0.000, 0.000] (p=0.000e+00)"
SS 08,"0.500 [0.500, 0.500] (p=0.0)","0.368 [0.250, 0.485] (p=0.0)","0.000 [0.000, 0.000] (p=5.151e-39)","0.000 [0.000, 0.000] (p=0.000e+00)"
Lasso,"0.854 [0.749, 0.947] (p=0.38)","0.820 [0.680, 0.928] (p=0.138)","27.000 [8.000, 113.000] (p=2.095e-10)","0.109 [0.043, 0.222] (p=0.000e+00)"
Lasso 1SE,"0.853 [0.739, 0.940] (p=0.404)","0.815 [0.671, 0.927] (p=0.173)","25.500 [5.750, 105.000] (p=5.017e-06)","0.071 [0.014, 0.199] (p=0.000e+00)"
ElasticNet,"0.859 [0.747, 0.954] (p=0.369)","0.811 [0.634, 0.944] (p=0.166)","31.500 [18.750, 844.000] (p=8.096e-26)","0.113 [0.021, 0.286] (p=1.998e-159)"
