,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Vessel_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,35,0.064898801,0.014382837,0.035089116,0.114024556
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,113,-0.023208145,0.014625578,0.01786904,0.114024556
Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.naive,109,-0.034888491,0.014875495,0.035089116,0.114024556
CD8 T cells_tumorfront_aggregatedNeighbors.Tumor.proliferating,111,-0.040780666,0.016139573,0.026099105,0.116050368
Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,117,-0.023874134,0.01614349,0.010029452,0.116050368
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Tumor.non.proliferating,22,0.006672734,0.018116285,0.00333024,0.127820458
CD4 T cells memory_tumorfront_aggregatedNeighbors.Fibroblasts,36,0.115125614,0.020140239,0.04040412,0.138691856
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells,112,-0.060504664,0.020385155,0.022546702,0.138691856
Tumor proliferating_tumorfront_aggregatedNeighbors.Vessel,31,0.032842352,0.022383832,0.019373319,0.140665492
Tumor proliferating_tumorfront_aggregatedNeighbors.Fibroblasts,33,0.045472268,0.021116888,0.026229388,0.140665492
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.naive,104,-0.023056147,0.022521247,0.068964333,0.140665492
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,112,-0.02599217,0.022353304,0.021991534,0.140665492
Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,111.5,-0.031445268,0.022262124,0.023665741,0.140665492
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD8.T.cells,108,-0.056167532,0.023371307,0.040360609,0.143620449
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,109,-0.007012756,0.024148143,0.035089116,0.145523488
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,26,0.082209771,0.02444489,0.008615558,0.145523488
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,112,-0.00306658,0.02524649,0.022576063,0.147983275
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.naive,106,-0.026235304,0.026448176,0.053097957,0.152678107
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Fibroblasts,35,0.030857798,0.028715478,0.035089116,0.156294247
CD4 T cells naive_tumorfront_aggregatedNeighbors.Fibroblasts,39,0.11697445,0.028372934,0.06060197,0.156294247
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,106,-0.017434585,0.027915295,0.053097957,0.156294247
B cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,109,-0.058002251,0.027522841,0.031801456,0.156294247
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,102,-0.00274928,0.030363898,0.084652946,0.162938664
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Vessel,31,0.085284017,0.032721312,0.019373319,0.169123827
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.naive,105,-0.042006072,0.032474714,0.06060197,0.169123827
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.naive,102,-0.048346136,0.033292092,0.087148128,0.169123827
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Fibroblasts,39,0.066837486,0.032977788,0.06060197,0.169123827
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,115,-0.021284187,0.033830807,0.014054199,0.169599179
Fibroblasts_tumorfront_aggregatedNeighbors.CD8.T.cells,108,-0.043831076,0.036794805,0.040360609,0.177286988
B cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,108,-0.023437391,0.036285313,0.040230146,0.177286988
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,117,-0.014052633,0.036298163,0.010127489,0.177286988
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,112.5,-0.030374318,0.037225614,0.020339972,0.177286988
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,103,-0.05904945,0.038469277,0.078252229,0.178741396
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,104,-0.014123459,0.03841177,0.06890398,0.178741396
Tumor non-proliferating_stromal_aggregatedNeighbors.CD8.T.cells,99.5,-0.09726072,0.039469717,0.105507606,0.179523562
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Vessel,36,0.091062709,0.039579998,0.04040412,0.179523562
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,37,0.077127271,0.040818412,0.046386593,0.182962529
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,102,-0.033404584,0.043342463,0.088533772,0.192017191
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Vessel,33,0.025234518,0.045048504,0.026229388,0.195039546
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,100.5,-0.038345571,0.044833953,0.105816976,0.195039546
Vessel_tumorfront_aggregatedNeighbors.CD8.T.cells,104,-0.034159152,0.046543307,0.068964333,0.197033334
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,104,-0.017898924,0.046114157,0.06890398,0.197033334
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,104,-0.084053771,0.047669317,0.068964333,0.197272304
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Fibroblasts,40,0.06339186,0.048153082,0.068964333,0.197272304
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Fibroblasts,38,0.085077526,0.047871072,0.053046278,0.197272304
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.naive,102,-0.041027577,0.049021956,0.088464503,0.198695373
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,106,-0.023157062,0.050594606,0.053046278,0.202910998
B cells_tumorfront_aggregatedNeighbors.Fibroblasts,43,0.105208221,0.052270224,0.09840224,0.205308819
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,107,-0.014247856,0.052089678,0.045438148,0.205308819
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.memory,104.5,-0.062514177,0.054013053,0.064090417,0.209989523
Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,114,-0.040729664,0.054819501,0.016106669,0.21097202
CD4 T cells regulatory_stromal_aggregatedNeighbors.Vessel,39,0.081845703,0.058806957,0.06060197,0.224054504
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Vessel,41,0.056949356,0.062003396,0.078252229,0.233894
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,111,-0.012125456,0.063063088,0.026229388,0.23555918
Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,107.5,-0.009857442,0.066851439,0.039436958,0.247285419
CD4 T cells memory_stromal_aggregatedNeighbors.Vessel,42,0.084058959,0.068214938,0.088533772,0.248296124
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells,94,-0.04327537,0.068428066,0.214394143,0.248296124
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,84.5,-0.034117777,0.073325515,0.439075046,0.254669375
Tumor proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,101,-0.037816505,0.072005587,0.099582516,0.254669375
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,107,-0.011097889,0.072910086,0.044729535,0.254669375
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD8.T.cells,104,-0.039615433,0.071446094,0.068964333,0.254669375
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,115,-0.05308156,0.073526591,0.014137969,0.254669375
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.naive,97,-0.035128755,0.07873258,0.157212753,0.26313257
Myeloid Granulocytes_stromal_aggregatedNeighbors.Vessel,42,0.066042653,0.077583559,0.088533772,0.26313257
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,107.5,-0.016898839,0.078663022,0.041677265,0.26313257
Myeloid Monocytes_stromal_aggregatedNeighbors.Vessel,29,0.063635397,0.077928432,0.014137969,0.26313257
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.naive,112,-0.047959096,0.081281527,0.022546702,0.266025698
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,116,-0.020108411,0.08115309,0.011002544,0.266025698
Myeloid DCs_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,40,0.090478233,0.081692931,0.068964333,0.266025698
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells,103,-0.042490836,0.083600977,0.078187428,0.269931968
CD8 T cells_stromal_aggregatedNeighbors.Vessel,54,0.092140588,0.084361719,0.312321422,0.270099287
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,107,-0.003775361,0.085091494,0.046339075,0.270165493
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,105,-0.009580332,0.087207551,0.06060197,0.274595677
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,100.5,-0.03174763,0.089411688,0.105892895,0.279228304
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,97,-0.014785784,0.092800175,0.157122522,0.287454202
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.naive,99,-0.052415326,0.093673138,0.125939785,0.28781827
CD8 T cells_tumorfront_aggregatedNeighbors.Vessel,43,0.051298786,0.0945659,0.099877403,0.288236862
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,99,-0.015097983,0.098116854,0.126022122,0.289786986
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,99,-0.02097293,0.097864868,0.126022122,0.289786986
CD8 T cells_tumorfront_aggregatedNeighbors.Fibroblasts,47,0.052062791,0.097356355,0.157122522,0.289786986
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,34,0.083263409,0.097867308,0.030382822,0.289786986
B cells_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,97.5,-0.037956398,0.100467589,0.138007997,0.292199629
Myeloid Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,105.5,-0.023776124,0.09970835,0.056477842,0.292199629
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,99,-0.010981875,0.101591753,0.126022122,0.29323074
CD8 T cells_tumorfront_aggregatedNeighbors.CD8.T.cells,98,-0.073831702,0.103306988,0.140868815,0.293731063
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,97,-0.019609151,0.102919267,0.157212753,0.293731063
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,99,-0.020968167,0.104305062,0.121393449,0.294372064
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,101,-0.038818269,0.107619547,0.099877403,0.300575379
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,104,-0.015673753,0.108080911,0.068964333,0.300575379
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,98,-0.019418505,0.109092459,0.140090476,0.30119005
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,105,-0.017882857,0.113395263,0.06060197,0.309853194
B cells_stromal_aggregatedNeighbors.CD4.T.cells.naive,98,-0.036676949,0.113856817,0.140609509,0.309853194
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,103,-0.028070127,0.11485261,0.078252229,0.310346414
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.naive,74.5,-0.030120817,0.123587537,0.89435508,0.329058556
Fibroblasts_stromal_aggregatedNeighbors.Vessel,48,0.0573509,0.12356252,0.174853307,0.329058556
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,102,-0.02925625,0.124368588,0.088464503,0.329058556
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,97,-0.007858975,0.127347423,0.157212753,0.329818582
Vessel_tumorfront_aggregatedNeighbors.Myeloid.DCs,103,-0.004022289,0.127137707,0.078252229,0.329818582
CD4 T cells memory_tumorfront_aggregatedNeighbors.Vessel,47,0.052063103,0.125980705,0.157212753,0.329818582
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD8.T.cells,98,-0.032817279,0.128118504,0.140609509,0.329818582
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,98,-0.02831727,0.129722809,0.140955219,0.331707316
CD4 T cells memory_stromal_aggregatedNeighbors.Tumor.non.proliferating,45,0.004525163,0.131336549,0.116061068,0.333594836
Vessel_tumorfront_aggregatedNeighbors.Fibroblasts,49,0.036925095,0.135133682,0.193930852,0.339781834
Fibroblasts_tumorfront_aggregatedNeighbors.Fibroblasts,47,0.062884802,0.135556007,0.157212753,0.339781834
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,93,-0.007705192,0.139422887,0.236584093,0.347190326
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,84,-0.011285867,0.142275637,0.506720515,0.351807547
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Fibroblasts,39,0.06144391,0.143123805,0.06060197,0.351807547
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,97,-0.000894449,0.14580103,0.156851709,0.356090978
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.DCs,91,-0.009965863,0.147050977,0.285476309,0.356856192
Myeloid Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.naive,99,-0.022441278,0.149989526,0.125939785,0.359408865
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,108,-0.022784356,0.149502094,0.04040412,0.359408865
Tumor non-proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,97,-0.031062528,0.155219698,0.157122522,0.365053735
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD8.T.cells,96,-0.040356381,0.154657887,0.17447813,0.365053735
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,98,-0.020150832,0.15346462,0.140868815,0.365053735
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,94,-0.014517668,0.158367021,0.214394143,0.370170768
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.naive,97,-0.03273418,0.165894112,0.157212753,0.37679019
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,96,-0.020438651,0.162643712,0.174853307,0.37679019
CD4 T cells regulatory_stromal_aggregatedNeighbors.Fibroblasts,55,0.061403053,0.167132656,0.340673625,0.37679019
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Tumor.non.proliferating,45,0.005648248,0.167008553,0.112286565,0.37679019
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,79.5,-0.014627303,0.166737046,0.665744524,0.37679019
Myeloid DCs_tumorfront_aggregatedNeighbors.CD8.T.cells,86,-0.036099371,0.165575345,0.435231116,0.37679019
Myeloid Monocytes_stromal_aggregatedNeighbors.Fibroblasts,50,0.044867781,0.169413977,0.214493808,0.37968662
Vessel_stromal_aggregatedNeighbors.Tumor.non.proliferating,26,0.007484688,0.170725314,0.008471583,0.380387981
Myeloid DCs_stromal_aggregatedNeighbors.Vessel,43.5,0.056156969,0.171903152,0.105816976,0.38078547
Vessel_stromal_aggregatedNeighbors.Vessel,53,0.047636271,0.174171309,0.285476309,0.383579589
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.DCs,52,0.005995245,0.177808791,0.258156075,0.389339939
Vessel_intratumor_aggregatedNeighbors.Vessel,90,-0.064444444,0.188250788,0.208297351,0.409848858
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Monocytes,45,0.01091486,0.19640567,0.078571523,0.420396407
Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating,25,0.017039646,0.195742963,0.007008756,0.420396407
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.DCs,57.5,0.067509826,0.196012252,0.410242208,0.420396407
Myeloid Monocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating,34,0.017440288,0.197778862,0.015634732,0.420970651
Myeloid Monocytes_stromal_aggregatedNeighbors.CD8.T.cells,95,-0.039289066,0.200571824,0.193930852,0.424543695
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells,90,-0.02463286,0.202285155,0.312321422,0.425804663
Tumor non-proliferating_intratumor_aggregatedNeighbors.Vessel,52,0.000916761,0.21074553,0.258156075,0.42663354
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,54,0.058257985,0.210370513,0.312321422,0.42663354
Vessel_stromal_aggregatedNeighbors.CD8.T.cells,94,-0.019755913,0.211125243,0.214493808,0.42663354
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,103,-0.013406642,0.21163711,0.078252229,0.42663354
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.DCs,97.5,-0.007943228,0.205748283,0.137193412,0.42663354
CD8 T cells_stromal_aggregatedNeighbors.CD8.T.cells,94,-0.066991769,0.208609578,0.214394143,0.42663354
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD8.T.cells,92,-0.032780653,0.209445025,0.260236203,0.42663354
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,60,0.028366403,0.205494577,0.50635057,0.42663354
B cells_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,92,-0.03016548,0.213512222,0.257738162,0.428148193
CD4 T cells naive_stromal_aggregatedNeighbors.Vessel,57,0.046966391,0.218926071,0.402503824,0.436705931
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Vessel,55,0.033458769,0.222176479,0.340778614,0.44088145
Vessel_tumorfront_aggregatedNeighbors.Vessel,60,0.030846979,0.226761895,0.506720515,0.447649129
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,90,-0.007205844,0.242078238,0.312321422,0.472983634
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,97,-0.021870447,0.24086997,0.157212753,0.472983634
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,93,-0.02590137,0.24375798,0.236584093,0.473835665
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD8.T.cells,97,-0.040707198,0.255183038,0.157122522,0.491034027
Myeloid DCs_stromal_aggregatedNeighbors.Tumor.non.proliferating,36,0.038486703,0.254708191,0.018450877,0.491034027
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,93,-0.014444483,0.256562778,0.236584093,0.491208133
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,95,-0.004368014,0.259758945,0.193930852,0.49484079
CD8 T cells_intratumor_aggregatedNeighbors.Vessel,84.5,-0.000828707,0.2623913,0.286044782,0.497368583
Myeloid Granulocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating,50.5,0.004917141,0.2654626,0.175713041,0.500699261
CD4 T cells naive_tumorfront_aggregatedNeighbors.Vessel,57,0.03725838,0.269056272,0.402503824,0.502279022
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,95,-0.018798849,0.269675796,0.193930852,0.502279022
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.B.cells,83.5,-0.00908941,0.270255117,0.488687735,0.502279022
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,93,-0.022975537,0.272714804,0.23443629,0.504390002
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.Monocytes,87.5,-0.006973222,0.281011969,0.386372964,0.517224929
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Vessel,53,0.024941581,0.295387136,0.285476309,0.541069705
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.memory,74.5,-0.026680698,0.298443991,0.906917082,0.543449212
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,94,-0.012682246,0.300965312,0.214493808,0.543449212
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,87,-0.012683157,0.300191195,0.402401515,0.543449212
Vessel_tumorfront_aggregatedNeighbors.Tumor.proliferating,89,-0.01228325,0.308193658,0.340778614,0.546147831
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,89,-0.010852416,0.307306254,0.336861941,0.546147831
B cells_tumorfront_aggregatedNeighbors.CD8.T.cells,97.5,-0.045437332,0.307279321,0.147941838,0.546147831
CD8 T cells_stromal_aggregatedNeighbors.Fibroblasts,52,0.035862004,0.305133374,0.260236203,0.546147831
CD4 T cells naive_stromal_aggregatedNeighbors.Tumor.non.proliferating,72,0.002364841,0.314230102,1,0.554266985
B cells_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,72,0.053311393,0.316552235,1,0.555789869
