,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
Tumor proliferating_tumorfront_celldistance,101.0,-1.5183993060190986,0.08272689319029765,0.09987740276926416
Vessel_tumorfront_celldistance,56.0,0.3439919494301851,0.4386910415091613,0.3708443333042212
Fibroblasts_tumorfront_celldistance,49.0,0.6753922391847453,0.18907320636705038,0.1939308522824107
CD4 T cells naive_tumorfront_celldistance,71.0,-0.04114841045714002,0.9605648952876868,0.9769702553219757
CD4 T cells memory_tumorfront_celldistance,40.0,1.058829120910465,0.1103781738950533,0.06896433333905408
CD4 T cells regulatory_tumorfront_celldistance,40.0,1.7721767278937417,0.17008922243656882,0.06896433333905408
B cells_tumorfront_celldistance,54.0,1.9810874272457006,0.1790072761141667,0.3123214216762161
CD8 T cells_tumorfront_celldistance,87.0,-1.7370018725542646,0.2894164554680407,0.40250382378200356
Myeloid M1 macrophages_tumorfront_celldistance,61.0,1.2477629806031092,0.3776214251311367,0.5443701458566098
Myeloid M2 macrophages_tumorfront_celldistance,80.0,-0.284359968294857,0.812619670714829,0.6650055421020291
Myeloid Granulocytes_tumorfront_celldistance,88.0,-2.0712345744457914,0.2799853208394314,0.3708443333042212
Myeloid DCs_tumorfront_celldistance,59.0,1.5227593427026296,0.31933608320222856,0.47048642205878966
Myeloid Monocytes_tumorfront_celldistance,83.0,-0.5460962628375517,0.6950666395243092,0.5443701458566098
