,Statistic,p-value ttest,p-value mannwhitneyu
CD4.T.cells.naive_tumorfront_pERK,495.5,0.22008218546410546,0.13813817676157575
CD4.T.cells.naive_tumorfront_pSTAT1,744.5,0.16492086627998553,0.1645022975827396
CD4.T.cells.naive_tumorfront_pSTAT3,575.5,0.32281378799292215,0.5781869185505752
CD4.T.cells.naive_tumorfront_pp38,637.5,0.5191419465561071,0.8802969284284132
CD4.T.cells.naive_tumorfront_VEGF,575.5,0.8547578431986229,0.5781869185505752
CD4.T.cells.naive_tumorfront_pS6,515.5,0.26082296975898017,0.21090573568220128
CD4.T.cells.naive_tumorfront_CD36,649.5,0.5241474746121019,0.772121065729657
CD4.T.cells.naive_tumorfront_E.Cadherin,599.5,0.9862825984028563,0.7809989195101517
CD4.T.cells.naive_tumorfront_CD44,686.5,0.38044519089357,0.47262664551880684
CD4.T.cells.regulatory_stromal_pMAPKAPK2,537.5,0.3580402477325313,0.3196314713502223
CD4.T.cells.regulatory_stromal_pNFkB,478.5,0.13787261976787255,0.09335108169567764
CD4.T.cells.regulatory_stromal_Ki67,552.5,0.4999192718620007,0.4112867184450155
CD4.T.cells.regulatory_stromal_GranzymeB,523.5,0.5294357836953036,0.24717950279652412
CD4.T.cells.regulatory_stromal_pCREB,466.5,0.07631848288193244,0.06924056282965761
CD4.T.cells.regulatory_stromal_pERK,486.5,0.08220952571313012,0.11287516002015578
CD4.T.cells.regulatory_stromal_pSTAT1,625.5,0.5031413801509345,0.9907668680416016
CD4.T.cells.regulatory_stromal_pSTAT3,640.5,0.6724572862758984,0.853106389354523
CD4.T.cells.regulatory_stromal_pp38,612.5,0.9245959239116918,0.8987069143071639
CD4.T.cells.regulatory_stromal_VEGF,505.5,0.23622498893156516,0.172087087981999
CD4.T.cells.regulatory_stromal_pS6,358.5,0.004485685714588195,0.0021647044778062
CD4.T.cells.regulatory_stromal_CD36,595.5,0.6867044736709219,0.745920131691002
CD4.T.cells.regulatory_stromal_E.Cadherin,593.5,0.5138118101567761,0.7284649648603951
CD4.T.cells.regulatory_stromal_CD44,765.5,0.2519075377554478,0.1027447009036009
CD4.T.cells.regulatory_tumorfront_pMAPKAPK2,648.5,0.7959000832080532,0.7802871210277811
CD4.T.cells.regulatory_tumorfront_pNFkB,685.5,0.39022281723184393,0.4783338357507976
CD4.T.cells.regulatory_tumorfront_Ki67,562.5,0.0965098399678524,0.4783338357507976
CD4.T.cells.regulatory_tumorfront_GranzymeB,633.5,0.909260922034549,0.9166897769161735
CD4.T.cells.regulatory_tumorfront_pCREB,645.5,0.9365740241021432,0.8071713593042218
CD4.T.cells.regulatory_tumorfront_pERK,581.5,0.4108775899553324,0.6254410826373518
CD4.T.cells.regulatory_tumorfront_pSTAT1,690.5,0.44226842061248506,0.4430229913822108
CD4.T.cells.regulatory_tumorfront_pSTAT3,682.5,0.4872280123445869,0.5002370544270323
CD4.T.cells.regulatory_tumorfront_pp38,740.5,0.32836649087389536,0.17758325579581846
CD4.T.cells.regulatory_tumorfront_VEGF,624.5,0.8281776584999724,1.0
CD4.T.cells.regulatory_tumorfront_pS6,569.5,0.647777165152784,0.5302489764329559
CD4.T.cells.regulatory_tumorfront_CD36,735.5,0.23198901647095574,0.1970089627747682
CD4.T.cells.regulatory_tumorfront_E.Cadherin,653.5,0.8856543570845504,0.7360728733161865
CD4.T.cells.regulatory_tumorfront_CD44,766.5,0.060281915905064966,0.09885626431752484
CD8.T.cells.memory_intratumor_pMAPKAPK2,645.0,0.5199404723908172,0.8125467060120566
CD8.T.cells.memory_intratumor_pNFkB,805.0,0.18985804056911101,0.03679733586905377
CD8.T.cells.memory_intratumor_Ki67,669.0,0.7035396474746229,0.606712740557383
CD8.T.cells.memory_intratumor_GranzymeB,735.0,0.5310122795139073,0.20116034229103097
CD8.T.cells.memory_intratumor_pCREB,677.0,0.516637707290479,0.5436421325885747
CD8.T.cells.memory_intratumor_pERK,701.0,0.8611407554659666,0.37618674258970985
CD8.T.cells.memory_intratumor_pSTAT1,750.0,0.1194580425667658,0.14656524607727822
CD8.T.cells.memory_intratumor_pSTAT3,691.0,0.3475219544029807,0.44173589448863804
CD8.T.cells.memory_intratumor_pp38,653.0,0.747686831196551,0.7416379256996988
CD8.T.cells.memory_intratumor_VEGF,728.0,0.2109618064741646,0.23119844669592904
CD8.T.cells.memory_intratumor_pS6,693.0,0.28655806529168,0.42812690204630366
CD8.T.cells.memory_intratumor_CD36,840.0,0.011178541575273284,0.012671096694114642
CD8.T.cells.memory_intratumor_E.Cadherin,783.0,0.10138293569948849,0.06672649820009008
CD8.T.cells.memory_intratumor_CD44,763.0,0.05188876861703504,0.10912159741495886
CD8.T.cells.memory_stromal_pMAPKAPK2,539.5,0.7324354961474955,0.33168101434356345
CD8.T.cells.memory_stromal_pNFkB,467.5,0.256603712488448,0.07142108315905056
CD8.T.cells.memory_stromal_Ki67,545.5,0.3658184065793949,0.36737813914511785
CD8.T.cells.memory_stromal_GranzymeB,516.5,0.15737249270025774,0.21626178715235167
CD8.T.cells.memory_stromal_pCREB,444.5,0.1794774076775642,0.03858487540000813
CD8.T.cells.memory_stromal_pERK,490.5,0.33912251651047354,0.12429461230935514
CD8.T.cells.memory_stromal_pSTAT1,643.5,0.6206665764318928,0.8262055370996483
CD8.T.cells.memory_stromal_pSTAT3,540.5,0.5873708675127929,0.33746951929622904
CD8.T.cells.memory_stromal_pp38,475.5,0.5397443778325911,0.08720302946988782
CD8.T.cells.memory_stromal_VEGF,515.5,0.621243146277852,0.2119995994362568
CD8.T.cells.memory_stromal_pS6,389.5,0.015182440877129291,0.006847192335641476
CD8.T.cells.memory_stromal_CD36,629.5,0.7926547869886378,0.9539224714043301
CD8.T.cells.memory_stromal_E.Cadherin,551.5,0.7661503587741112,0.40537661920428436
CD8.T.cells.memory_stromal_CD44,765.5,0.036812842821074186,0.10321874605857016
CD8.T.cells.memory_tumorfront_pMAPKAPK2,604.0,0.8740601700960644,0.8217079046926491
CD8.T.cells.memory_tumorfront_pNFkB,612.0,0.9647136104213956,0.8942740200249942
CD8.T.cells.memory_tumorfront_Ki67,689.0,0.7614559025351662,0.45603922812102926
CD8.T.cells.memory_tumorfront_GranzymeB,686.0,0.7858321808672211,0.47726050006000365
CD8.T.cells.memory_tumorfront_pCREB,585.0,0.6988619340079778,0.656377921033065
CD8.T.cells.memory_tumorfront_pERK,503.0,0.06268132423890634,0.16375884927339335
CD8.T.cells.memory_tumorfront_pSTAT1,633.0,0.5565707552118404,0.9217504684294561
CD8.T.cells.memory_tumorfront_pSTAT3,529.0,0.8055613821495957,0.2748000635633232
CD8.T.cells.memory_tumorfront_pp38,583.0,0.9208095425847489,0.6397615526878446
CD8.T.cells.memory_tumorfront_VEGF,600.0,0.7402348190570214,0.785949402715697
CD8.T.cells.memory_tumorfront_pS6,594.0,0.7395005853649458,0.7331695644361923
CD8.T.cells.memory_tumorfront_CD36,729.0,0.10543190641484727,0.22718627544446135
CD8.T.cells.memory_tumorfront_E.Cadherin,684.0,0.6580373404417414,0.4917028922879517
CD8.T.cells.memory_tumorfront_CD44,757.0,0.027486336576269806,0.12571589322766727
CD8.T.cells.naive_intratumor_pMAPKAPK2,625.0,0.9289402268211269,0.9953094700665881
CD8.T.cells.naive_intratumor_pNFkB,688.0,0.9451767970932449,0.45530495789281744
CD8.T.cells.naive_intratumor_Ki67,618.0,0.528880376013285,0.9484398110186179
CD8.T.cells.naive_intratumor_GranzymeB,684.0,0.98867127169122,0.4841957462904338
CD8.T.cells.naive_intratumor_pCREB,649.0,0.8249884398155292,0.7733020924881654
CD8.T.cells.naive_intratumor_pERK,583.0,0.23944271634219663,0.6339475369986523
CD8.T.cells.naive_intratumor_pSTAT1,692.0,0.28597329908443087,0.42741081536102843
CD8.T.cells.naive_intratumor_pSTAT3,663.0,0.5955604327270916,0.6507913665016938
CD8.T.cells.naive_intratumor_pp38,658.0,0.7261854445143725,0.6936728341854392
CD8.T.cells.naive_intratumor_VEGF,704.0,0.33839457962251807,0.3499326826548489
CD8.T.cells.naive_intratumor_pS6,680.0,0.47916666666149366,0.5140526913783677
CD8.T.cells.naive_intratumor_CD36,777.0,0.11136321642355874,0.07297034844824864
CD8.T.cells.naive_intratumor_E.Cadherin,680.0,0.505187993805199,0.5140526913783677
CD8.T.cells.naive_intratumor_CD44,699.0,0.3426573033680701,0.3810667522376281
CD8.T.cells.naive_stromal_pMAPKAPK2,525.0,0.5526645324076618,0.2549830447589795
CD8.T.cells.naive_stromal_pNFkB,472.0,0.2538451369260111,0.07997498910470784
CD8.T.cells.naive_stromal_Ki67,503.0,0.07196465347537595,0.16374825113833957
CD8.T.cells.naive_stromal_GranzymeB,473.0,0.020249403271819587,0.08198647870728881
CD8.T.cells.naive_stromal_pCREB,412.0,0.03645109653116593,0.014516180779119245
CD8.T.cells.naive_stromal_pERK,489.0,0.09791901286923414,0.1200965900387217
CD8.T.cells.naive_stromal_pSTAT1,623.0,0.9985711584995537,0.9953895926860368
CD8.T.cells.naive_stromal_pSTAT3,467.0,0.3297587666715468,0.07051092715569188
CD8.T.cells.naive_stromal_pp38,528.0,0.70461499881345,0.26974096715158324
CD8.T.cells.naive_stromal_VEGF,493.0,0.41736519668386485,0.13151825585127846
CD8.T.cells.naive_stromal_pS6,403.0,0.03129317576771635,0.010826811878321367
CD8.T.cells.naive_stromal_CD36,506.0,0.18667504373606122,0.174493705964463
CD8.T.cells.naive_stromal_E.Cadherin,445.0,0.08957583112003628,0.039125880813493205
CD8.T.cells.naive_stromal_CD44,719.0,0.08115282117209037,0.2747879913346336
CD8.T.cells.naive_tumorfront_pMAPKAPK2,629.0,0.7728359987567827,0.9584687506187631
