,Statistic,p-value ttest,p-value mannwhitneyu
CD4.T.cells.naive_tumorfront_pERK,817.5,0.0353788015688757,0.030853615841577975
CD4.T.cells.naive_tumorfront_pSTAT1,804.5,0.020117423683624052,0.044551163239022015
CD4.T.cells.naive_tumorfront_pSTAT3,840.5,0.08832108928370921,0.015329671891579615
CD4.T.cells.naive_tumorfront_pp38,856.5,0.006554747710390632,0.009074914312891947
CD4.T.cells.naive_tumorfront_VEGF,804.5,0.04636556350798386,0.044551163239022015
CD4.T.cells.naive_tumorfront_pS6,677.5,0.4069131144450028,0.587387891005158
CD4.T.cells.naive_tumorfront_CD36,848.5,0.03891168138291226,0.01184067857501134
CD4.T.cells.naive_tumorfront_E.Cadherin,790.5,0.06837164552437683,0.06471313341674155
CD4.T.cells.naive_tumorfront_CD44,884.5,0.002034070258488947,0.0033626108557541345
CD4.T.cells.regulatory_stromal_pMAPKAPK2,771.0,0.024508906793984833,0.1060858799599204
CD4.T.cells.regulatory_stromal_pNFkB,694.0,0.12380473444521731,0.46515756194146163
CD4.T.cells.regulatory_stromal_Ki67,605.0,0.4180615792563437,0.7780965671365969
CD4.T.cells.regulatory_stromal_GranzymeB,800.0,0.12828867166811764,0.05122397333542666
CD4.T.cells.regulatory_stromal_pCREB,795.0,0.0390641681538656,0.05847920703436474
CD4.T.cells.regulatory_stromal_pERK,708.0,0.22829343406495756,0.372709567839273
CD4.T.cells.regulatory_stromal_pSTAT1,623.0,0.7903394713176555,0.9404029863945123
CD4.T.cells.regulatory_stromal_pSTAT3,853.0,0.08322425279560142,0.010491104627995651
CD4.T.cells.regulatory_stromal_pp38,725.0,0.23321158170369602,0.2770613889561919
CD4.T.cells.regulatory_stromal_VEGF,874.0,0.001536654670199548,0.005098386100116556
CD4.T.cells.regulatory_stromal_pS6,694.0,0.4187133719570969,0.46515756194146163
CD4.T.cells.regulatory_stromal_CD36,739.0,0.16995363827745516,0.21204087804333904
CD4.T.cells.regulatory_stromal_E.Cadherin,786.0,0.04383885838653531,0.07368411523833701
CD4.T.cells.regulatory_stromal_CD44,995.0,1.5171369982765887e-06,2.758973601835943e-05
CD4.T.cells.regulatory_tumorfront_pMAPKAPK2,755.0,0.10223317850793992,0.1514198382127195
CD4.T.cells.regulatory_tumorfront_pNFkB,831.0,0.009895468744688744,0.020875202141733273
CD4.T.cells.regulatory_tumorfront_Ki67,677.0,0.8911890581741538,0.5921037409596335
CD4.T.cells.regulatory_tumorfront_GranzymeB,780.0,0.20891422363322404,0.08496207243900653
CD4.T.cells.regulatory_tumorfront_pCREB,817.0,0.02519137262804878,0.03164066986210173
CD4.T.cells.regulatory_tumorfront_pERK,756.0,0.1880616064969417,0.14816129946743115
CD4.T.cells.regulatory_tumorfront_pSTAT1,790.0,0.08525872321771685,0.06608936399700432
CD4.T.cells.regulatory_tumorfront_pSTAT3,915.0,0.0013899732461849098,0.001045037013507499
CD4.T.cells.regulatory_tumorfront_pp38,799.0,0.04369462538316815,0.05219543503359777
CD4.T.cells.regulatory_tumorfront_VEGF,799.0,0.03760378311539844,0.05219543503359777
CD4.T.cells.regulatory_tumorfront_pS6,714.0,0.24193079806674872,0.3359906319509436
CD4.T.cells.regulatory_tumorfront_CD36,792.0,0.05337078806466925,0.0627636943862083
CD4.T.cells.regulatory_tumorfront_E.Cadherin,795.0,0.0479883104417717,0.05803560292123847
CD4.T.cells.regulatory_tumorfront_CD44,886.0,0.0016542161491589994,0.0032403765071384355
CD8.T.cells.memory_intratumor_pMAPKAPK2,778.0,0.8871344581745157,0.08566050712438888
CD8.T.cells.memory_intratumor_pNFkB,803.0,0.39035665999851055,0.044424872430368606
CD8.T.cells.memory_intratumor_Ki67,839.0,0.21150504069914183,0.015117562886518289
CD8.T.cells.memory_intratumor_GranzymeB,809.0,0.033200880069978615,0.03752784406216015
CD8.T.cells.memory_intratumor_pCREB,833.0,0.029762599688801007,0.018292909798566376
CD8.T.cells.memory_intratumor_pERK,773.0,0.1466469767084217,0.09681710667866389
CD8.T.cells.memory_intratumor_pSTAT1,824.0,0.02319628526980688,0.02414823389226546
CD8.T.cells.memory_intratumor_pSTAT3,877.0,0.0034738105682084225,0.004074364042311669
CD8.T.cells.memory_intratumor_pp38,811.0,0.14651711902322384,0.03544131441955901
CD8.T.cells.memory_intratumor_VEGF,850.0,0.005677304049230073,0.010535842954500755
CD8.T.cells.memory_intratumor_pS6,816.0,0.05038339021761581,0.03065346212622286
CD8.T.cells.memory_intratumor_CD36,768.0,0.49567901508719714,0.10910664025088922
CD8.T.cells.memory_intratumor_E.Cadherin,754.0,0.21116899247114748,0.15012609912205968
CD8.T.cells.memory_intratumor_CD44,737.0,0.3162836096002178,0.21460819818811927
CD8.T.cells.memory_stromal_pMAPKAPK2,814.0,0.05707500051409267,0.03476629225719983
CD8.T.cells.memory_stromal_pNFkB,775.0,0.03597050226165471,0.0964334499986097
CD8.T.cells.memory_stromal_Ki67,739.0,0.10865609293680274,0.2119450565306632
CD8.T.cells.memory_stromal_GranzymeB,698.0,0.6266042176213087,0.4374233373203048
CD8.T.cells.memory_stromal_pCREB,797.0,0.053609238350093076,0.05542952496018469
CD8.T.cells.memory_stromal_pERK,735.0,0.32929378327943404,0.22927946546487554
CD8.T.cells.memory_stromal_pSTAT1,774.0,0.04475128330943097,0.09876077595947025
CD8.T.cells.memory_stromal_pSTAT3,865.0,0.007582498620174636,0.006979979085713646
CD8.T.cells.memory_stromal_pp38,785.0,0.12096398100652682,0.07549580191059725
CD8.T.cells.memory_stromal_VEGF,857.0,0.006260235034618749,0.009167008077128324
CD8.T.cells.memory_stromal_pS6,708.0,0.19529746025096253,0.3726093337721764
CD8.T.cells.memory_stromal_CD36,770.0,0.19418051016038992,0.10852166673307229
CD8.T.cells.memory_stromal_E.Cadherin,820.0,0.02987562649620802,0.02925028308202485
CD8.T.cells.memory_stromal_CD44,905.0,0.0008045040002626375,0.0015886825173795013
CD8.T.cells.memory_tumorfront_pMAPKAPK2,781.0,0.40403371277839994,0.08341525340458061
CD8.T.cells.memory_tumorfront_pNFkB,863.0,0.008229734267058853,0.007485137611887898
CD8.T.cells.memory_tumorfront_Ki67,830.0,0.06732459709569884,0.021741561482124337
CD8.T.cells.memory_tumorfront_GranzymeB,895.0,0.001734825365483426,0.00234583463718391
CD8.T.cells.memory_tumorfront_pCREB,840.0,0.019390203092449893,0.015957636299580722
CD8.T.cells.memory_tumorfront_pERK,873.0,0.05565694265122693,0.005279231220240122
CD8.T.cells.memory_tumorfront_pSTAT1,815.0,0.06563067113710111,0.033811925941081004
CD8.T.cells.memory_tumorfront_pSTAT3,874.0,0.0038295681119067705,0.005094676868534631
CD8.T.cells.memory_tumorfront_pp38,854.0,0.019378421530967152,0.010142719658765231
CD8.T.cells.memory_tumorfront_VEGF,898.0,0.00156790881868026,0.002090544321118255
CD8.T.cells.memory_tumorfront_pS6,819.0,0.029004184856762486,0.030134380906243572
CD8.T.cells.memory_tumorfront_CD36,823.0,0.020731638953592462,0.026805972910386104
CD8.T.cells.memory_tumorfront_E.Cadherin,820.0,0.06217504571878136,0.0292706150798013
CD8.T.cells.memory_tumorfront_CD44,826.0,0.013019890445075554,0.024522631957607444
CD8.T.cells.naive_intratumor_pMAPKAPK2,903.5,0.023797395197264898,0.0007605624139417833
CD8.T.cells.naive_intratumor_pNFkB,933.5,0.01721097357036019,0.00018642442335293236
CD8.T.cells.naive_intratumor_Ki67,879.5,0.12115225582932264,0.002134981776305371
CD8.T.cells.naive_intratumor_GranzymeB,902.5,0.0007049759911818554,0.0007952874703986902
CD8.T.cells.naive_intratumor_pCREB,939.5,5.8415429633964577e-05,0.00013855656064471595
CD8.T.cells.naive_intratumor_pERK,905.5,0.0004979085312880898,0.0006952965075377945
CD8.T.cells.naive_intratumor_pSTAT1,936.5,7.85732819066425e-05,0.0001608225833082313
CD8.T.cells.naive_intratumor_pSTAT3,932.5,0.00042917941268250597,0.00019577749789373764
CD8.T.cells.naive_intratumor_pp38,908.5,0.0032181366444654653,0.0006070953420293676
CD8.T.cells.naive_intratumor_VEGF,904.5,0.0004679235357756815,0.0007272496184278213
