,Statistic,p-value ttest,p-value mannwhitneyu
CD4.T.cells.naive_stromal_aggregatedNeighbors.CD4.T.cells.naive,873.0,0.0020610225017148307,0.0035821382666470997
CD4.T.cells.naive_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,885.0,0.17425353921930362,0.0030706357669610575
CD4.T.cells.naive_stromal_aggregatedNeighbors.CD8.T.cells.memory,779.0,0.1422664730525505,0.08546786497749376
CD4.T.cells.naive_stromal_aggregatedNeighbors.CD8.T.cells.naive,900.0,0.0066151425971986985,0.001429900065358321
CD4.T.cells.naive_stromal_aggregatedNeighbors.Fibroblasts,531.5,0.06773969925768313,0.25929745402964177
CD4.T.cells.naive_stromal_aggregatedNeighbors.Granulocytes,709.5,0.7161137705161973,0.3267904137522234
CD4.T.cells.naive_stromal_aggregatedNeighbors.M1.macrophages,842.0,0.13449008883377858,0.01404502273367713
CD4.T.cells.naive_stromal_aggregatedNeighbors.M2.macrophages,865.0,0.012263313464055995,0.005949257580100999
CD4.T.cells.naive_stromal_aggregatedNeighbors.Tumor.non.proliferating,619.0,0.25793274821691203,0.8417541296379238
CD4.T.cells.naive_stromal_aggregatedNeighbors.Vessel,684.5,0.888934908967415,0.534248752710985
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Bcells,683.5,0.5091564089516791,0.40470652368637416
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,687.0,0.9623853402417988,0.4800418617662744
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,785.5,0.0277791828122847,0.01249763678029475
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,855.5,0.0028124747823627966,0.0027226255407832673
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,822.0,0.008873022601084433,0.012516513044483328
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,734.0,0.11287271257247623,0.1193360469604689
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.DCs,681.0,0.7610671577451767,0.3563491919325046
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Fibroblasts,626.0,0.6879155195469047,0.9665969809058028
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Granulocytes,720.5,0.1368632777338021,0.12486271580951923
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.M1.macrophages,869.5,0.00977792602254757,0.0035516959453046953
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.M2.macrophages,813.5,0.028016439607908995,0.02214699427001586
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Monocytes,700.0,0.08812651155223097,0.04547389563889185
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,544.5,0.043919717533509886,0.3091901393113302
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Tumor.proliferating,686.0,0.29215533838254265,0.4692190876729301
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Vessel,756.0,0.44437849378279337,0.139848103773526
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.Bcells,851.0,0.23767697617650393,0.008856770057805273
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.CD4.T.cells.memory,791.0,0.06120891148035552,0.06437962106023426
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.CD4.T.cells.naive,877.5,0.004994778856110133,0.0036728741633561654
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,887.0,0.004629564905091971,0.0024082983949750116
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.CD8.T.cells.memory,829.5,0.028291170300266337,0.02101159372036409
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.CD8.T.cells.naive,825.5,0.06744377494553343,0.019681266125042684
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.Fibroblasts,598.0,0.28105333965736023,0.7167574602207821
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.Granulocytes,641.0,0.8414098466630443,0.8955899940269025
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.M1.macrophages,805.0,0.07308937117354262,0.043292036960387525
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.M2.macrophages,856.0,0.005752577806354633,0.008597292061181658
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.Tumor.non.proliferating,634.0,0.26406060409787696,0.9550228491572976
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.Vessel,638.0,0.9295617010585866,0.9312266530000359
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Bcells,609.5,0.2557101895627753,0.7789137888756553
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,841.0,0.04945053025207103,0.012454311395557327
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,933.5,0.008995568777684737,9.088807315585034e-05
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,889.5,0.0014889208130004095,0.0013035823332082281
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,879.0,0.0021056142913108283,0.0029503036480987566
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,870.0,0.0001763055329887164,0.000774245177175195
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.DCs,659.5,0.7320129419897354,0.6310921135921956
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Fibroblasts,592.5,0.13269982865760155,0.6673659387370982
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Granulocytes,750.0,0.22400096025703567,0.066276457451258
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.M1.macrophages,827.0,0.031120692476411065,0.022021543834688125
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.M2.macrophages,856.5,0.010191588203717935,0.006855786800760289
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Monocytes,613.5,0.732459456372438,0.7220483177960118
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,519.0,0.030022276063657753,0.1998311188458195
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Tumor.proliferating,711.5,0.8613467801251609,0.31465939212429195
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Vessel,674.0,0.8837730176364564,0.6156968381214459
CD8.T.cells.memory_intratumor_aggregatedNeighbors.CD8.T.cells.memory,873.0,0.0036607312558940806,0.003723675964690852
CD8.T.cells.memory_intratumor_aggregatedNeighbors.CD8.T.cells.naive,881.5,0.03233951978153225,0.0013144845170682108
CD8.T.cells.memory_intratumor_aggregatedNeighbors.DCs,725.5,0.8307209869302425,0.16844578504696883
CD8.T.cells.memory_intratumor_aggregatedNeighbors.M1.macrophages,803.0,0.11680129199421575,0.02985678998218001
CD8.T.cells.memory_intratumor_aggregatedNeighbors.M2.macrophages,769.0,0.30589675794532134,0.08952125112971292
CD8.T.cells.memory_intratumor_aggregatedNeighbors.Monocytes,779.5,0.8228426623776793,0.011061617869098652
CD8.T.cells.memory_intratumor_aggregatedNeighbors.Tumor.non.proliferating,639.0,0.8281936989761579,0.9210966762630597
CD8.T.cells.memory_intratumor_aggregatedNeighbors.Tumor.proliferating,829.0,0.04589368133791549,0.013743033684738446
CD8.T.cells.memory_stromal_aggregatedNeighbors.Bcells,735.0,0.6541281699851116,0.22560474104211437
CD8.T.cells.memory_stromal_aggregatedNeighbors.CD4.T.cells.memory,628.5,0.8130638562202073,0.9907884543808605
CD8.T.cells.memory_stromal_aggregatedNeighbors.CD4.T.cells.naive,743.0,0.14876382269991184,0.19360043366406254
CD8.T.cells.memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,865.0,0.0030061890173559334,0.006379866095781164
CD8.T.cells.memory_stromal_aggregatedNeighbors.CD8.T.cells.memory,859.0,0.007078057606231927,0.008387032076000014
CD8.T.cells.memory_stromal_aggregatedNeighbors.CD8.T.cells.naive,907.0,0.001174759872336824,0.0013978825370406516
CD8.T.cells.memory_stromal_aggregatedNeighbors.Fibroblasts,483.0,0.12851700249853218,0.09191051935101387
CD8.T.cells.memory_stromal_aggregatedNeighbors.Granulocytes,614.0,0.19644435284807354,0.8534932153514191
CD8.T.cells.memory_stromal_aggregatedNeighbors.M1.macrophages,852.0,0.019846403505745507,0.0104811707055461
CD8.T.cells.memory_stromal_aggregatedNeighbors.M2.macrophages,822.0,0.029184782246996787,0.02704084410000302
CD8.T.cells.memory_stromal_aggregatedNeighbors.Tumor.non.proliferating,587.0,0.10016229814819003,0.5713046707294737
CD8.T.cells.memory_stromal_aggregatedNeighbors.Vessel,558.0,0.16538610684291163,0.4107528350175207
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Bcells,784.0,0.9518914982175122,0.05674052263429168
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,825.0,0.28427465155585435,0.023423592520754898
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,816.5,0.051457901484651146,0.02095856438972481
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,797.0,0.045564678728015895,0.045511250104994475
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,865.0,0.004512040811959691,0.006824330034501262
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,899.0,0.0012217970504668628,0.0015903739259470508
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.DCs,669.5,0.565386604142606,0.6259454613509876
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Fibroblasts,411.0,0.01553340442859159,0.011711698740789084
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Granulocytes,809.0,0.12745525853044595,0.022337145862449365
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.M1.macrophages,876.5,0.0157922958424211,0.004588695355529894
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.M2.macrophages,928.0,0.000345981379263143,0.0005705220189584439
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Monocytes,707.0,0.3182492541799988,0.25885707828526494
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,449.0,0.019241388013623816,0.03780388311542344
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Tumor.proliferating,715.0,0.9686083768960704,0.3256622888970231
CD8.T.cells.memory_tumorfront_aggregatedNeighbors.Vessel,667.0,0.657056062316798,0.6743170791753548
CD8.T.cells.naive_intratumor_aggregatedNeighbors.CD8.T.cells.memory,894.5,0.002520929960370469,0.0008054250612923283
CD8.T.cells.naive_intratumor_aggregatedNeighbors.CD8.T.cells.naive,846.0,0.0009865003971297089,0.0003601416105346824
CD8.T.cells.naive_intratumor_aggregatedNeighbors.DCs,729.5,0.6473753072964835,0.05977362341493579
CD8.T.cells.naive_intratumor_aggregatedNeighbors.M1.macrophages,852.5,0.006177775950605856,0.0006453991807620654
CD8.T.cells.naive_intratumor_aggregatedNeighbors.M2.macrophages,952.0,0.00023540464906282693,4.547376587260067e-06
CD8.T.cells.naive_intratumor_aggregatedNeighbors.Monocytes,731.0,0.5464799872014223,0.035259525732256575
CD8.T.cells.naive_intratumor_aggregatedNeighbors.Tumor.non.proliferating,837.0,0.07088322783066081,0.010865430270244015
CD8.T.cells.naive_intratumor_aggregatedNeighbors.Tumor.proliferating,900.0,0.08685460324634592,0.00028040510765343614
CD8.T.cells.naive_stromal_aggregatedNeighbors.Bcells,779.5,0.36332576766223357,0.07971183211979874
CD8.T.cells.naive_stromal_aggregatedNeighbors.CD4.T.cells.memory,699.0,0.6107555245961496,0.4255711746163756
CD8.T.cells.naive_stromal_aggregatedNeighbors.CD4.T.cells.naive,746.0,0.3187452901831481,0.17309303616756677
CD8.T.cells.naive_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,850.0,0.007139080729743044,0.008655661314355355
CD8.T.cells.naive_stromal_aggregatedNeighbors.CD8.T.cells.memory,817.0,0.04476509929984939,0.03129144355144436
CD8.T.cells.naive_stromal_aggregatedNeighbors.CD8.T.cells.naive,878.0,0.00226850942488718,0.003303695326070432
CD8.T.cells.naive_stromal_aggregatedNeighbors.Fibroblasts,586.5,0.21005673592560653,0.6198410296355468
CD8.T.cells.naive_stromal_aggregatedNeighbors.Granulocytes,739.0,0.9026486543945,0.16851780883578338
CD8.T.cells.naive_stromal_aggregatedNeighbors.M1.macrophages,881.0,0.012580061893199858,0.003375823082257859
CD8.T.cells.naive_stromal_aggregatedNeighbors.M2.macrophages,871.5,0.9246667339901214,0.004592543735116244
CD8.T.cells.naive_stromal_aggregatedNeighbors.Tumor.non.proliferating,638.0,0.11416516482892834,0.8910474891582025
CD8.T.cells.naive_stromal_aggregatedNeighbors.Vessel,711.5,0.7245006891396615,0.3503833409909849
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Bcells,769.0,0.3325872529930999,0.055348661814966976
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,748.0,0.14960735305874298,0.14466342219490613
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,720.5,0.9571234539970783,0.191996641424943
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,817.0,0.004121775841266121,0.0050075310182771515
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,932.0,8.548571071263483e-05,0.00036097284977070653
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,839.5,0.007626066252822502,0.006950334952260245
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.DCs,698.0,0.8255418783554811,0.3097365083168342
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Fibroblasts,484.0,0.023683317443539357,0.08612267660577369
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Granulocytes,709.0,0.6088529314651108,0.20586353649359068
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.M1.macrophages,756.0,0.3105560022803788,0.12803334564902238
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.M2.macrophages,795.5,0.10702839837149689,0.04839296276870335
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Monocytes,694.0,0.6709032018287387,0.22726416770437985
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,563.0,0.03291191904560204,0.4353563811829634
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Tumor.proliferating,827.0,0.07260947654621767,0.015368121043835758
CD8.T.cells.naive_tumorfront_aggregatedNeighbors.Vessel,667.0,0.5570960971668335,0.6711246283640377
DCs_intratumor_aggregatedNeighbors.CD8.T.cells.memory,770.5,0.03949146260618145,0.02771474815302829
DCs_intratumor_aggregatedNeighbors.CD8.T.cells.naive,714.0,0.5918881148742272,0.06339267330390289
DCs_intratumor_aggregatedNeighbors.DCs,674.5,0.7030632897016955,0.530428647819408
DCs_intratumor_aggregatedNeighbors.M1.macrophages,715.5,0.1393461736133005,0.25746534870778626
DCs_intratumor_aggregatedNeighbors.M2.macrophages,729.0,0.14942924845642597,0.22435069137582375
DCs_intratumor_aggregatedNeighbors.Monocytes,646.0,0.5630379808839008,0.609046486171758
DCs_intratumor_aggregatedNeighbors.Tumor.non.proliferating,648.0,0.7584930913173638,0.8377113463294655
DCs_intratumor_aggregatedNeighbors.Tumor.proliferating,689.0,0.449533442028926,0.4454858622439193
DCs_tumorfront_aggregatedNeighbors.Bcells,699.0,0.8716946374670629,0.15128704076765426
DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,676.0,0.3117837804253675,0.5165288309325929
DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,707.0,0.07361481325271035,0.17775799156449956
DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,705.5,0.9371792669791422,0.2143477320112387
DCs_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,715.0,0.13158859745165166,0.28344874431815414
DCs_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,714.0,0.08795446581207438,0.20890305792040365
DCs_tumorfront_aggregatedNeighbors.DCs,611.0,0.7902036585066188,0.8171154484779031
DCs_tumorfront_aggregatedNeighbors.Fibroblasts,576.0,0.9835571460186461,0.5219653375661748
DCs_tumorfront_aggregatedNeighbors.Granulocytes,645.0,0.7694376511200186,0.8152439472812707
DCs_tumorfront_aggregatedNeighbors.M1.macrophages,731.5,0.17503195290486864,0.23320033336921142
DCs_tumorfront_aggregatedNeighbors.M2.macrophages,756.5,0.05897436417712801,0.13707189947201104
DCs_tumorfront_aggregatedNeighbors.Monocytes,663.0,0.5039682669685901,0.4959610619082443
DCs_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,394.5,0.006048275391379598,0.0067619042929695115
DCs_tumorfront_aggregatedNeighbors.Tumor.proliferating,749.0,0.19177521982849832,0.15924364222911325
DCs_tumorfront_aggregatedNeighbors.Vessel,725.0,0.7100004397989539,0.2580120134754227
Fibroblasts_stromal_aggregatedNeighbors.Bcells,765.5,0.8695682752708456,0.11875943811622072
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.memory,830.0,0.014557706937221367,0.021752595684770927
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.naive,877.5,0.005439451501473292,0.004481344330156591
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,903.0,0.0009285045433826381,0.0017154963139063247
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells.memory,805.5,0.06091423989824864,0.04413824316852916
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells.naive,878.0,0.010036245324387837,0.004300337510285116
Fibroblasts_stromal_aggregatedNeighbors.Fibroblasts,529.0,0.29859131359206686,0.24773850319774648
Fibroblasts_stromal_aggregatedNeighbors.Granulocytes,642.0,0.3193100305622072,0.893399428109005
Fibroblasts_stromal_aggregatedNeighbors.M1.macrophages,744.5,0.11481782041682248,0.18968198808635517
Fibroblasts_stromal_aggregatedNeighbors.M2.macrophages,918.5,0.0010321954538031522,0.0009233464985634265
Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating,530.0,0.07748226364631941,0.24859043045384377
Fibroblasts_stromal_aggregatedNeighbors.Vessel,590.0,0.30758484269861974,0.6496178385787386
Fibroblasts_tumorfront_aggregatedNeighbors.Bcells,670.0,0.4782884534257027,0.6301722077567966
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,828.0,0.043545208663056285,0.023077351616272616
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,807.0,0.012622537869789112,0.039321535841477254
