"","Tumor.non.proliferating_intratumor_cellfrequency","Tumor.non.proliferating_stromal_cellfrequency","Tumor.non.proliferating_tumorfront_cellfrequency","Tumor.proliferating_intratumor_cellfrequency","Tumor.proliferating_stromal_cellfrequency","Tumor.proliferating_tumorfront_cellfrequency","Vessel_intratumor_cellfrequency","Vessel_stromal_cellfrequency","Vessel_tumorfront_cellfrequency","Fibroblasts_intratumor_cellfrequency","Fibroblasts_stromal_cellfrequency","Fibroblasts_tumorfront_cellfrequency","CD4.T.cells.naive_intratumor_cellfrequency","CD4.T.cells.naive_stromal_cellfrequency","CD4.T.cells.naive_tumorfront_cellfrequency","CD4.T.cells.memory_intratumor_cellfrequency","CD4.T.cells.memory_stromal_cellfrequency","CD4.T.cells.memory_tumorfront_cellfrequency","CD4.T.cells.regulatory_intratumor_cellfrequency","CD4.T.cells.regulatory_stromal_cellfrequency","CD4.T.cells.regulatory_tumorfront_cellfrequency","B.cells_intratumor_cellfrequency","B.cells_stromal_cellfrequency","B.cells_tumorfront_cellfrequency","CD8.T.cells_intratumor_cellfrequency","CD8.T.cells_stromal_cellfrequency","CD8.T.cells_tumorfront_cellfrequency","Myeloid.M1.macrophages_intratumor_cellfrequency","Myeloid.M1.macrophages_stromal_cellfrequency","Myeloid.M1.macrophages_tumorfront_cellfrequency","Myeloid.M2.macrophages_intratumor_cellfrequency","Myeloid.M2.macrophages_stromal_cellfrequency","Myeloid.M2.macrophages_tumorfront_cellfrequency","Myeloid.Granulocytes_intratumor_cellfrequency","Myeloid.Granulocytes_stromal_cellfrequency","Myeloid.Granulocytes_tumorfront_cellfrequency","Myeloid.DCs_intratumor_cellfrequency","Myeloid.DCs_stromal_cellfrequency","Myeloid.DCs_tumorfront_cellfrequency","Myeloid.Monocytes_intratumor_cellfrequency","Myeloid.Monocytes_stromal_cellfrequency","Myeloid.Monocytes_tumorfront_cellfrequency"
"OC01_001",2522.80901837306,929.138248526062,3563.24375715503,105.110859253999,10.150483423996,178.586034777152,3.29526710824943,1179.07497002987,653.971671698569,-1.97099189177219,1221.7289532563,518.430656493676,-0.485599481379436,-131.058300246217,-110.415604026756,-1.04335837681826,-30.864253061724,-44.1604036921757,-0.163034249364631,18.1772713160794,1.68309169080218,-0.0803351173648162,16.3841266154377,19.9231631612586,-46.322573153575,67.7344205738556,-82.254747957065,24.1984669520992,124.338216623111,70.0000326036953,42.0543921793591,225.971423629905,181.472440821121,23.6302827704576,302.4076896801,122.082681730394,16.9358734538244,47.8551646324519,54.7115668454957,26.309904657465,61.4030377413655,26.956855586157
"OC01_002",2174.19291984212,396.992668696516,3178.88960909544,56.1799583242454,10.0727088936736,154.482071169156,3.27828154396231,2614.84854078802,1142.53343587134,-1.9705010248455,1826.47840060086,802.09878089511,-0.495563922768589,-41.3699564119563,-99.2095886955043,-1.05091977194601,37.2919317874198,-25.7012438610905,-0.162233374440457,18.5329791599178,1.8769558619781,-0.0651196903433833,339.454640198183,20.4236244282638,-46.4342741070784,278.483281817963,-10.9335804399869,24.3467158372354,104.560265742962,118.663794682011,42.4474987792978,213.384290495834,184.259094622407,23.6168619746728,200.083507807885,60.5636665918997,17.0363588637102,46.6752599693524,67.1666070338883,26.5985699471675,56.125050245559,21.3664988789405
"OC01_003",3623.16276199548,57.6236717644388,2577.42687655373,61.1846215237723,10.1043435887999,174.045844018515,14.5708529244263,1362.4287929741,1421.13574412925,-1.97070081264141,1105.1663127939,346.416868450033,-0.491510906291147,-36.0040361980908,-91.8358552712803,-1.04784422856859,-32.1442041048341,-54.9725477166474,-0.162559146247493,18.3882951624021,1.79810240362684,-0.0713087207351319,339.846955625391,46.1252977940445,-46.3888467302134,306.278738107676,86.2094715994392,24.2864174544726,261.821147537435,133.835346330167,42.2876058941393,225.707779120997,241.507902120505,23.6223210280933,530.637988885229,136.114379402799,16.9954871839976,57.4818534557329,79.840107470862,26.4811570643818,79.986882458051,40.2938090433138
"OC02_001",8290.3189037823,40.9395093281063,3221.25081772468,232.780459825992,10.0346045843027,207.447275944435,3.26995907938247,595.057184022881,867.367978704135,-1.97026103958024,97.5736552826175,41.8998197836854,-0.500445862590443,472.132731860164,629.474684024619,-1.05462452611605,61.0759054307377,386.879777353017,-0.161841066174499,28.0378723514131,31.8467630004714,-0.0576658379125746,109.373877820221,32.4030168012922,455.744590788278,398.33517305911,676.835985344357,24.4193544551699,89.4682084759742,143.471084561686,42.6401055143073,201.216836264591,203.045870948837,23.6102873203274,119.632911284492,36.683260781521,43.5189408143512,57.8601915768076,115.388763310338,26.7400020146975,113.955522545354,284.222070154577
"OC02_002",9442.20623156077,33.1397335573111,4153.58490534238,341.881792981344,10.1080650371456,250.214477303294,3.28600266213656,399.58560995525,798.96644760007,-1.97072453531595,271.514960388699,326.034600660342,-0.491034130267184,331.484769319614,559.096071586755,-1.04748250412127,-38.6078713609879,-40.9894672405725,-0.162597498457191,18.3712743407368,1.78882717938135,-0.0720370855953677,-41.3292366469969,2.81100204101377,48.0443812342517,269.94134433376,324.078795838489,24.2793269259599,67.3742986739977,103.763868235254,42.2688010899819,186.289300729378,233.185749281317,23.6229634976412,112.981517988652,67.3514704521949,16.9906802075524,48.5018405586603,85.3040185428001,26.4673471763055,54.292822795688,176.893388547246
"OC03_001",7402.90642025175,31.586219622525,4101.756049152,107.992610204957,10.0225646158804,311.373843872737,3.2673297295985,1687.24813381414,1482.29311315935,-1.97018496162725,2407.39152209481,885.179820980599,-0.501988413027423,-24.774358904407,226.761977605897,-1.05579504484707,330.33786107324,1119.18753962324,-0.16171707418078,30.5963844723275,83.9772257348012,-0.0553102771773599,-2.05526680444905,133.642279611355,1468.92073295413,210.472922307038,1113.25131116155,24.442303124784,168.590852083211,611.361138660284,42.7009588982736,249.115829056967,241.809013586105,23.6082095883137,112.566567219481,85.800358620656,17.101147810769,62.8433305029047,121.315707936874,26.7846882013579,82.6299122814307,425.192931049433
"OC03_002",4732.2968991376,29.0151146566979,5109.88600899829,58.2071149247526,9.97927378191939,184.244086283111,3.25787524045,1637.9683191722,1692.56537208242,-1.96991172782128,2429.66786740952,648.203517406662,-0.507534816709164,67.5924941603771,549.895600324498,-1.06000386349954,261.056639972246,959.487710521141,-0.16127129043502,54.4147033894315,65.1218303322034,-0.0468410607668868,-26.2760777904669,77.9295398557,841.64984243644,185.5869322826,1827.91989804271,24.5248212722202,199.218212982158,873.382069023103,42.9197696041292,208.751652144804,295.179649729444,23.6007392997292,105.781599667522,36.3704542543703,17.1570799293078,44.533948259147,182.105950031461,26.9453649003345,30.1256462367554,254.646622301096
"OC03_003",8480.61082623476,95.8988870949573,2205.82092982838,197.649897087263,10.0996370817143,149.179392046305,77.2322506764406,2902.84852911795,2332.983928302,-1.9706711967031,1968.41582264901,1268.85640957102,-0.492113907526048,-66.5748547949819,-110.186293813777,-1.04830183561553,182.014736544412,-48.2421105017359,-0.162510693194192,33.4815923299528,1.80983443243869,-0.0703880832428944,147.468681829112,2.77855159924493,-46.3956110259882,104.692888434713,-93.050497628492,24.2953898558109,552.200605702994,176.193950972286,42.3113965444382,273.189854688714,155.452384568306,23.6215089833482,246.952548517427,43.5137361059237,17.0015684759133,65.5902508564652,68.0442223853719,26.498626523854,122.54387466611,80.1503333131874
"OC04_001",4517.50376862493,31.5409518534772,3428.43511501381,348.804833324406,9.73248933805008,443.381401586488,14.2889778590662,1788.93764276042,1178.06369770573,31.2866446517525,1475.83284032545,708.542464655714,-0.539152771410561,911.820817213825,124.070353925105,-1.083996919255,1482.24713477811,385.057107813805,-0.15873012160551,112.348090807874,38.744946541479,0.00143793926076084,116.875550667621,8.56908571838148,141.52204436475,637.047869685337,330.489672885313,69.3352319460224,1369.48672219874,884.379107378102,44.1671374349496,282.892861902211,190.094905673412,23.5581547481782,379.128187979274,92.6072089231542,17.4759302564539,71.3155569805372,108.485295096432,27.8613270944673,456.797282054655,137.010942430406
"OC04_002",5371.34256932371,100.783028239587,2876.90957381535,226.5264974774,10.1109585942175,284.096661265113,24.6712914978407,3392.20180483898,1507.86018944989,-1.97074250657173,2066.0370164156,1133.2324738792,-0.490663391027647,-151.5257902445,-71.6326693384235,-1.04720108492767,-2.85726966775029,8.66860646670976,-0.162627256166579,36.1446726067003,11.7563771581802,-0.0726027718039538,-21.6482171828068,2.8221341679851,-30.3408507834893,-4.18729217112018,-69.5200661714452,40.3123000016047,137.26176074402,302.691580428726,42.2541695548791,170.568955080079,147.380145200455,45.0081189538761,138.061707731187,201.698512317739,16.9869402571547,41.4656355598958,55.0279411456097,31.8027685641695,28.4470748959354,25.5269938527402
