"","Tumor.non.proliferating_intratumor_cellfrequency","Tumor.non.proliferating_stromal_cellfrequency","Tumor.non.proliferating_tumorfront_cellfrequency","Tumor.proliferating_intratumor_cellfrequency","Tumor.proliferating_stromal_cellfrequency","Tumor.proliferating_tumorfront_cellfrequency","Vessel_intratumor_cellfrequency","Vessel_stromal_cellfrequency","Vessel_tumorfront_cellfrequency","Fibroblasts_intratumor_cellfrequency","Fibroblasts_stromal_cellfrequency","Fibroblasts_tumorfront_cellfrequency","CD4.T.cells.naive_intratumor_cellfrequency","CD4.T.cells.naive_stromal_cellfrequency","CD4.T.cells.naive_tumorfront_cellfrequency","CD4.T.cells.memory_intratumor_cellfrequency","CD4.T.cells.memory_stromal_cellfrequency","CD4.T.cells.memory_tumorfront_cellfrequency","CD4.T.cells.regulatory_intratumor_cellfrequency","CD4.T.cells.regulatory_stromal_cellfrequency","CD4.T.cells.regulatory_tumorfront_cellfrequency","B.cells_intratumor_cellfrequency","B.cells_stromal_cellfrequency","B.cells_tumorfront_cellfrequency","CD8.T.cells_intratumor_cellfrequency","CD8.T.cells_stromal_cellfrequency","CD8.T.cells_tumorfront_cellfrequency","Myeloid.M1.macrophages_intratumor_cellfrequency","Myeloid.M1.macrophages_stromal_cellfrequency","Myeloid.M1.macrophages_tumorfront_cellfrequency","Myeloid.M2.macrophages_intratumor_cellfrequency","Myeloid.M2.macrophages_stromal_cellfrequency","Myeloid.M2.macrophages_tumorfront_cellfrequency","Myeloid.Granulocytes_intratumor_cellfrequency","Myeloid.Granulocytes_stromal_cellfrequency","Myeloid.Granulocytes_tumorfront_cellfrequency","Myeloid.DCs_intratumor_cellfrequency","Myeloid.DCs_stromal_cellfrequency","Myeloid.DCs_tumorfront_cellfrequency","Myeloid.Monocytes_intratumor_cellfrequency","Myeloid.Monocytes_stromal_cellfrequency","Myeloid.Monocytes_tumorfront_cellfrequency"
"OC01_001",2719.12066835691,1485.18326693816,3611.02608432021,98.0172564461807,6.72387527500452,161.519863655951,-1.39872969184666,1312.96771252975,703.577484147218,-0.573784884373136,1307.47402494933,560.102036250482,0,-27.2785187526069,-38.6780031165525,0,32.9080147589651,12.7732934400592,0,7.3380698921009,6.56942675395322,1.12172194231226,7.34248103687014,-6.97322710381601,-25.2713165856613,73.5913799483685,-13.1473491243987,17.1100436794496,140.127483071072,53.4878560379071,50.2315490643083,205.490518031474,164.851782985192,21.9500153174555,285.260728769346,118.22801296749,18.0833014457341,31.9641917963818,34.080979102711,26.0975132495509,80.5452149290028,2.1878168632721
"OC01_002",2385.26354813601,581.641201110543,3227.44912641701,54.5925363969407,6.72387527500452,139.929415775765,-1.39872969184666,2556.67347717132,1141.26058140531,-0.573784884373136,1894.38258509254,830.036529389295,0,47.1259055554759,-29.4698279411353,0,96.1586371318464,28.4624092451649,0,7.3380698921009,6.56942675395322,1.12172194231226,333.706721218057,-5.85110889289463,-25.2713165856613,288.141340980835,51.8404590887832,17.1100436794496,120.651647182123,108.086008297519,50.2315490643083,190.657392393012,168.800907278584,21.9500153174555,192.049081484984,59.2948991972168,18.0833014457341,30.1046984915547,55.7963398964221,26.0975132495509,76.7643074005094,-3.99995661091029
"OC01_003",3761.66901774222,4.76750632999719,2629.71828833964,58.3521528190706,6.72387527500452,158.146801707268,16.3815804962754,1472.32099265031,1390.33829971921,-0.573784884373136,1191.93979002432,394.897787420764,0,51.0543394938307,-24.1344333485793,0,31.3343627667256,3.67288353078919,0,7.3380698921009,6.56942675395322,1.12172194231226,333.718534023217,30.033681526472,-25.2713165856613,316.679434287316,139.59870760355,17.1100436794496,274.215990753027,125.542836821982,50.2315490643083,205.258833148006,290.726275942037,21.9500153174555,497.200852465765,132.018339720907,18.0833014457341,46.2585766850533,79.5198433171978,26.0975132495509,96.1035577251434,17.660110792245
"OC02_001",8188.49002437559,-23.0213613281647,3268.9587956294,220.500740947578,6.72387527500452,191.975561714845,-1.39872969184666,809.223877745686,895.30158655262,-0.573784884373136,206.213273809291,102.630066199042,0,467.252469107576,525.436477891412,0,118.1418886808,377.475711888232,0,20.9316931385504,36.2431013521947,1.12172194231226,102.413152272342,11.1599826922886,447.452300581223,410.1901793214,674.610817391239,17.1100436794496,105.836994248719,135.930486695528,50.2315490643083,176.253028211403,207.59803642051,21.9500153174555,118.339670149515,36.4614450641812,95.5598252826607,46.7328546725458,143.735344517159,26.0975132495509,124.439551521858,298.270382731985
"OC02_002",9284.54977517135,-36.8629027805694,4197.51772188048,320.203197629662,6.72387527500452,231.704671535565,-1.39872969184666,638.985562341654,833.602567915006,-0.573784884373136,378.801619483072,375.471937044907,0,351.271696309479,471.23203680829,0,25.3063015220442,15.4966716821596,0,7.3380698921009,6.56942675395322,1.12172194231226,-50.2769292023092,-30.749979356441,63.6082303644054,279.630841093464,354.894485818825,17.1100436794496,84.4342614857114,91.4589732337301,50.2315490643083,158.367794705141,273.210507023531,21.9500153174555,110.838025771362,65.6513281237377,18.0833014457341,32.873772241476,89.602043806401,26.0975132495509,75.014150403769,174.67048153322
"OC03_001",7345.80134804916,-38.8169312680961,4144.56299282906,104.390267269498,6.72387527500452,292.717025067162,-1.39872969184666,1754.62288254234,1445.61125056232,-0.573784884373136,2459.12654653037,908.649899402825,0,61.4087799839967,219.052712557375,0,370.416555112344,996.900285296765,0,24.5789213037274,87.9927560836363,1.12172194231226,-9.68105165123802,153.248729979839,1401.1129989869,218.470903415589,1069.71477851764,17.1100436794496,183.038129711534,666.607478344355,50.2315490643083,233.24557728969,289.315947550621,21.9500153174555,112.025150755242,83.9183353110557,18.0833014457341,54.1474256733109,154.435786904063,26.0975132495509,98.844179462685,460.353860869429
"OC03_002",4809.51364127191,-42.8383712255797,5146.59744583497,59.1750025402299,6.72387527500452,170.761579690199,-1.39872969184666,1712.60471343134,1634.05184878285,-0.573784884373136,2479.15174759508,681.384760612925,0,137.504720000979,465.355492152819,0,305.130165117888,861.862415922456,0,58.9909706043789,69.1571337373771,1.12172194231226,-33.5535454451067,75.3257983113947,810.757510329562,192.833791495196,1716.86234528994,17.1100436794496,212.836488055898,963.504826768871,50.2315490643083,185.313162235342,401.159599950551,21.9500153174555,106.545059766085,36.4614450641812,18.0833014457341,26.7915363373641,265.363938996713,26.0975132495509,56.1064523836216,264.442862197085
"OC03_003",8371.59455399293,69.8384376882332,2260.02016965952,185.842717441897,6.72387527500452,134.209583998069,115.104836465746,2805.52739205925,2206.28232223489,-0.573784884373136,2033.91414741182,1276.71725324116,0,26.1431050864506,-38.0591026682298,0,232.021843712858,9.37031670927206,0,29.2958776398202,6.56942675395322,1.12172194231226,139.997179781665,-30.749979356441,-25.2713165856613,111.002105867312,-22.639175393104,17.1100436794496,557.630622896909,173.557451599579,50.2315490643083,261.742485408191,108.522658276035,21.9500153174555,234.903955290579,42.6971822763276,18.0833014457341,58.3425011114577,57.8025382829517,26.0975132495509,131.023638856834,63.4897735507279
"OC04_001",4596.16215775865,-36.5680942453436,3470.07974114192,337.479314980636,6.72387527500452,426.731930872883,16.0654405421479,1846.85311803952,1175.34070127282,24.005813587111,1538.88876020874,735.055441393841,0,830.8715249106,143.433249964199,0,1447.72007369472,376.228015174936,0,141.748772114344,42.3468418847393,1.12172194231226,113.630370150547,-20.6438490531737,152.101119417535,651.975488274731,362.768244930352,118.419070705325,1354.53328434915,974.058070292784,50.2315490643083,273.93492127561,172.63109005238,21.9500153174555,363.900163333768,92.06827182686,18.0833014457341,66.4061847283556,126.627819486196,26.0975132495509,407.612108939582,129.976523437183
"OC04_002",5421.08597183992,78.0463055910717,2927.70973272193,212.465513417582,6.72387527500452,264.39824530264,32.2923202979768,3228.86752205925,1467.89395760824,-0.573784884373136,2129.5968258699,1147.23856947939,0,-43.4325479241256,-8.81638811778868,0,58.8378655886136,57.4964762084054,0,33.2511106557696,16.4770296169791,1.12172194231226,-30.4877081114486,-30.749979356441,-10.1752062061903,-0.00809463327971116,-1.40215874448586,53.755151722987,152.654330874754,317.14351346772,50.2315490643083,139.664838282245,91.7259757047117,85.079122013332,133.981759610669,195.261885953215,18.0833014457341,22.3861948456599,34.080979102711,41.133467243082,53.8062164774624,0.66532208764221
