,Fold selected features,Fold nb of features
Fold 36,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.memory_stromal_area']",4
Fold 37,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 38,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 39,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 40,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.memory_stromal_area', 'CD8.T.cells._intratumor_area']",4
Fold 41,"['Tumor.non.proliferating_intratumor_cellfrequency', 'CD4.T.cells.regulatory_stromal_pS6']",2
Fold 42,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 43,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Tumor.non.proliferating_intratumor_area']",3
Fold 44,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'Tumor.proliferating_tumorfront_celldistance']",3
Fold 45,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.memory_stromal_area']",3
Fold 46,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages']",2
Fold 47,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'CD8.T.cells._intratumor_area']",3
Fold 48,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'Tumor.non.proliferating_intratumor_area']",3
Fold 49,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Vessel._tumorfront_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Tumor.non.proliferating_intratumor_area']",5
Fold 50,"['Tumor.non.proliferating_intratumor_cellfrequency', 'CD4.T.cells.regulatory_stromal_pS6', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Tumor.non.proliferating_intratumor_area']",4
Fold 51,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'CD8.T.cells._intratumor_area']",3
Fold 52,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 53,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'CD4.T.cells.memory_stromal_pS6', 'Tumor.non.proliferating_intratumor_area']",5
Fold 54,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.Granulocytes_stromal_GranzymeB', 'Tumor.non.proliferating_intratumor_area']",3
Fold 55,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Tumor.non.proliferating_intratumor_area']",3
Fold 56,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.memory_stromal_area', 'Tumor.proliferating_tumorfront_celldistance']",4
Fold 57,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 58,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 59,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages']",2
Fold 60,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 61,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'CD8.T.cells._intratumor_area']",4
Fold 62,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.M1.macrophages_tumorfront_cellfrequency', 'CD4.T.cells.memory_stromal_area']",3
Fold 63,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'Tumor.non.proliferating_intratumor_area']",3
Fold 64,"['Tumor.non.proliferating_intratumor_cellfrequency', 'CD4.T.cells.regulatory_stromal_pS6', 'Tumor.non.proliferating_intratumor_area']",3
Fold 65,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Tumor.non.proliferating_intratumor_area']",3
Fold 66,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Tumor.non.proliferating_intratumor_area', 'CD8.T.cells._intratumor_area']",4
Fold 67,['Tumor.non.proliferating_intratumor_cellfrequency'],1
Fold 68,['Tumor.non.proliferating_intratumor_cellfrequency'],1
Fold 69,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",3
Fold 70,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'Myeloid.Monocytes_tumorfront_celldistance']",3
Fold 71,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 72,"['Tumor.non.proliferating_intratumor_cellfrequency', 'CD4.T.cells.regulatory_stromal_pS6', 'CD4.T.cells.memory_stromal_area']",3
