,Fold selected features,Fold nb of features
Fold 0,"['Tumor.non.proliferating_intratumor_cellfrequency', 'CD4.T.cells.naive_tumorfront_cellfrequency', 'CD4.T.cells.memory_intratumor_cellfrequency', 'CD4.T.cells.regulatory_tumorfront_cellfrequency', 'CD8.T.cells._tumorfront_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Myeloid.Granulocytes_tumorfront_cellfrequency', 'Myeloid.DCs_intratumor_cellfrequency', 'Myeloid.DCs_tumorfront_cellfrequency', 'Myeloid.Monocytes_intratumor_cellfrequency', 'Myeloid.Monocytes_stromal_cellfrequency', 'Myeloid.Monocytes_tumorfront_cellfrequency', 'Tumor.non.proliferating_stromal_CD44', 'Tumor.non.proliferating_stromal_pS6', 'Tumor.non.proliferating_tumorfront_pERK', 'Tumor.proliferating_tumorfront_CD44', 'Tumor.proliferating_tumorfront_pMAPKAPK2', 'Vessel._stromal_CD44', 'Vessel._stromal_pERK', 'Vessel._tumorfront_CD44', 'Vessel._tumorfront_pERK', 'Fibroblasts._stromal_pERK', 'CD4.T.cells.naive_stromal_GranzymeB', 'CD4.T.cells.naive_stromal_CD44', 'CD4.T.cells.memory_stromal_CD44', 'CD4.T.cells.regulatory_stromal_GranzymeB', 'CD4.T.cells.regulatory_stromal_pS6', 'B.cells._stromal_CD44', 'B.cells._tumorfront_GranzymeB', 'CD8.T.cells._intratumor_CD44', 'CD8.T.cells._stromal_pS6', 'Myeloid.M1.macrophages_stromal_CD44', 'Myeloid.Granulocytes_stromal_GranzymeB', 'Myeloid.Granulocytes_stromal_Ki67', 'Myeloid.Granulocytes_tumorfront_CD44', 'Myeloid.DCs_stromal_CD36', 'Myeloid.DCs_stromal_CD44', 'Myeloid.DCs_tumorfront_CD44', 'Myeloid.Monocytes_stromal_E.Cadherin', 'Myeloid.Monocytes_tumorfront_pS6', 'Tumor.non.proliferating_stromal_aggregatedNeighbors.Tumor.non.proliferating', 'Vessel._stromal_aggregatedNeighbors.Vessel.', 'CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Fibroblasts.', 'CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.', 'CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Vessel.', 'CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells.', 'CD8.T.cells._intratumor_aggregatedNeighbors.CD8.T.cells.', 'CD8.T.cells._stromal_aggregatedNeighbors.Vessel.', 'Myeloid.M2.macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Myeloid.M2.macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells.', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'Myeloid.Granulocytes_tumorfront_aggregatedNeighbors.Fibroblasts.', 'Myeloid.Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes', 'Myeloid.DCs_stromal_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Myeloid.Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.naive_tumorfront_area', 'CD4.T.cells.memory_stromal_area', 'CD8.T.cells._tumorfront_area', 'Myeloid.M1.macrophages_stromal_area', 'CD8.T.cells._tumorfront_eccentricity', 'Tumor.non.proliferating_tumorfront_celldistance', 'Tumor.proliferating_tumorfront_celldistance', 'Myeloid.Granulocytes_tumorfront_celldistance', 'Myeloid.Monocytes_tumorfront_celldistance']",68
Fold 1,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.proliferating_intratumor_cellfrequency', 'Vessel._tumorfront_cellfrequency', 'CD4.T.cells.memory_intratumor_cellfrequency', 'CD8.T.cells._tumorfront_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Myeloid.M1.macrophages_tumorfront_cellfrequency', 'Myeloid.Granulocytes_stromal_cellfrequency', 'Myeloid.Granulocytes_tumorfront_cellfrequency', 'Myeloid.DCs_tumorfront_cellfrequency', 'Myeloid.Monocytes_intratumor_cellfrequency', 'Myeloid.Monocytes_stromal_cellfrequency', 'Myeloid.Monocytes_tumorfront_cellfrequency', 'Tumor.non.proliferating_stromal_CD44', 'Tumor.non.proliferating_stromal_pS6', 'Tumor.non.proliferating_tumorfront_pERK', 'Tumor.proliferating_tumorfront_pCREB', 'Tumor.proliferating_tumorfront_pERK', 'Tumor.proliferating_tumorfront_pMAPKAPK2', 'Vessel._stromal_pNFkB', 'Vessel._stromal_CD44', 'Vessel._stromal_pERK', 'Vessel._tumorfront_CD44', 'Vessel._tumorfront_pERK', 'Fibroblasts._stromal_pS6', 'Fibroblasts._tumorfront_CD44', 'Fibroblasts._tumorfront_pERK', 'CD4.T.cells.naive_stromal_pS6', 'CD4.T.cells.memory_stromal_CD44', 'CD4.T.cells.memory_stromal_pS6', 'CD4.T.cells.memory_tumorfront_pCREB', 'CD4.T.cells.regulatory_stromal_GranzymeB', 'CD4.T.cells.regulatory_stromal_CD44', 'B.cells._stromal_CD44', 'CD8.T.cells._intratumor_CD36', 'CD8.T.cells._stromal_CD44', 'Myeloid.M1.macrophages_stromal_pNFkB', 'Myeloid.M2.macrophages_stromal_CD36', 'Myeloid.Granulocytes_stromal_GranzymeB', 'Myeloid.Granulocytes_stromal_Ki67', 'Myeloid.Granulocytes_stromal_CD44', 'Myeloid.Granulocytes_tumorfront_Ki67', 'Myeloid.Granulocytes_tumorfront_CD44', 'Myeloid.DCs_stromal_GranzymeB', 'Myeloid.DCs_stromal_CD44', 'Myeloid.Monocytes_stromal_pS6', 'Vessel._stromal_aggregatedNeighbors.Vessel.', 'CD4.T.cells.naive_stromal_aggregatedNeighbors.Fibroblasts.', 'CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.', 'CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Vessel.', 'B.cells._tumorfront_aggregatedNeighbors.Vessel.', 'CD8.T.cells._intratumor_aggregatedNeighbors.CD8.T.cells.', 'CD8.T.cells._tumorfront_aggregatedNeighbors.Fibroblasts.', 'Myeloid.M2.macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Myeloid.M2.macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells.', 'Myeloid.Granulocytes_tumorfront_aggregatedNeighbors.Fibroblasts.', 'Myeloid.DCs_stromal_aggregatedNeighbors.Vessel.', 'Myeloid.Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Tumor.non.proliferating_intratumor_area', 'Tumor.non.proliferating_tumorfront_area', 'B.cells._tumorfront_area', 'Myeloid.M1.macrophages_stromal_area', 'Myeloid.Monocytes_tumorfront_eccentricity', 'Tumor.proliferating_tumorfront_celldistance', 'CD4.T.cells.memory_tumorfront_celldistance', 'Myeloid.Monocytes_tumorfront_celldistance']",66
Fold 2,"['Tumor.non.proliferating_intratumor_cellfrequency', 'CD4.T.cells.memory_intratumor_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Myeloid.DCs_stromal_cellfrequency', 'Myeloid.Monocytes_intratumor_cellfrequency', 'Myeloid.Monocytes_stromal_cellfrequency', 'Fibroblasts._stromal_pERK', 'Fibroblasts._stromal_pS6', 'CD4.T.cells.memory_stromal_CD44', 'CD4.T.cells.regulatory_stromal_CD44', 'CD8.T.cells._intratumor_CD36', 'CD8.T.cells._stromal_pS6', 'Myeloid.Granulocytes_stromal_GranzymeB', 'Myeloid.Granulocytes_stromal_Ki67', 'Myeloid.DCs_stromal_CD44', 'Vessel._stromal_aggregatedNeighbors.Vessel.', 'CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.', 'CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Vessel.', 'CD8.T.cells._stromal_aggregatedNeighbors.Vessel.', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.memory_stromal_area', 'CD4.T.cells.memory_tumorfront_celldistance', 'Myeloid.M2.macrophages_tumorfront_celldistance', 'Myeloid.Granulocytes_tumorfront_celldistance', 'Myeloid.Monocytes_tumorfront_celldistance']",26
Fold 3,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Fibroblasts._intratumor_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Myeloid.DCs_tumorfront_cellfrequency', 'Myeloid.Monocytes_intratumor_cellfrequency', 'Myeloid.Monocytes_stromal_cellfrequency', 'Tumor.non.proliferating_tumorfront_pERK', 'Tumor.proliferating_intratumor_CD44', 'Tumor.proliferating_tumorfront_CD44', 'Vessel._stromal_pERK', 'Fibroblasts._stromal_pERK', 'Fibroblasts._stromal_pS6', 'CD4.T.cells.memory_stromal_CD44', 'CD4.T.cells.regulatory_tumorfront_E.Cadherin', 'B.cells._stromal_CD44', 'CD8.T.cells._intratumor_CD36', 'Myeloid.M1.macrophages_stromal_CD36', 'Myeloid.M2.macrophages_tumorfront_pS6', 'Myeloid.Granulocytes_stromal_Ki67', 'Myeloid.Granulocytes_tumorfront_CD44', 'Myeloid.DCs_stromal_CD44', 'Vessel._stromal_aggregatedNeighbors.Vessel.', 'CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Vessel.', 'CD8.T.cells._intratumor_aggregatedNeighbors.Tumor.proliferating', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid.DCs_stromal_aggregatedNeighbors.Vessel.', 'Tumor.non.proliferating_intratumor_area', 'Myeloid.M1.macrophages_stromal_area', 'CD8.T.cells._tumorfront_eccentricity', 'Tumor.proliferating_tumorfront_celldistance', 'CD4.T.cells.memory_tumorfront_celldistance', 'Myeloid.Granulocytes_tumorfront_celldistance']",33
Fold 4,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_tumorfront_cellfrequency', 'Tumor.proliferating_stromal_cellfrequency', 'Vessel._tumorfront_cellfrequency', 'CD4.T.cells.memory_intratumor_cellfrequency', 'CD4.T.cells.regulatory_tumorfront_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Myeloid.Granulocytes_stromal_cellfrequency', 'Myeloid.Granulocytes_tumorfront_cellfrequency', 'Myeloid.DCs_tumorfront_cellfrequency', 'Myeloid.Monocytes_intratumor_cellfrequency', 'Myeloid.Monocytes_stromal_cellfrequency', 'Tumor.non.proliferating_stromal_VEGF', 'Tumor.non.proliferating_stromal_pNFkB', 'Vessel._stromal_pNFkB', 'Vessel._stromal_CD44', 'Vessel._stromal_pERK', 'CD4.T.cells.naive_stromal_CD44', 'CD4.T.cells.naive_tumorfront_GranzymeB', 'CD4.T.cells.memory_stromal_pS6', 'CD4.T.cells.memory_tumorfront_CD44', 'CD4.T.cells.regulatory_tumorfront_pS6', 'B.cells._stromal_CD44', 'B.cells._tumorfront_CD44', 'CD8.T.cells._intratumor_VEGF', 'CD8.T.cells._intratumor_GranzymeB', 'CD8.T.cells._intratumor_CD44', 'CD8.T.cells._stromal_CD44', 'CD8.T.cells._tumorfront_CD44', 'Myeloid.M1.macrophages_stromal_pNFkB', 'Myeloid.M1.macrophages_stromal_GranzymeB', 'Myeloid.M1.macrophages_tumorfront_CD36', 'Myeloid.Granulocytes_stromal_GranzymeB', 'Myeloid.Granulocytes_stromal_Ki67', 'Myeloid.Granulocytes_stromal_CD44', 'Myeloid.Granulocytes_tumorfront_CD44', 'Myeloid.Monocytes_stromal_CD44', 'Tumor.proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating', 'Vessel._stromal_aggregatedNeighbors.Vessel.', 'Vessel._tumorfront_aggregatedNeighbors.Vessel.', 'CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.', 'CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Vessel.', 'CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Fibroblasts.', 'B.cells._stromal_aggregatedNeighbors.B.cells.', 'CD8.T.cells._stromal_aggregatedNeighbors.Vessel.', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'Myeloid.Granulocytes_tumorfront_aggregatedNeighbors.Fibroblasts.', 'Myeloid.DCs_stromal_aggregatedNeighbors.Vessel.', 'Myeloid.DCs_stromal_aggregatedNeighbors.CD4.T.cells.naive', 'Myeloid.Monocytes_tumorfront_aggregatedNeighbors.Vessel.', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.memory_stromal_area', 'CD4.T.cells.regulatory_tumorfront_area', 'B.cells._tumorfront_eccentricity', 'CD8.T.cells._tumorfront_eccentricity', 'CD4.T.cells.memory_tumorfront_celldistance', 'CD8.T.cells._tumorfront_celldistance', 'Myeloid.M1.macrophages_tumorfront_celldistance', 'Myeloid.Granulocytes_tumorfront_celldistance']",60
Fold 5,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.proliferating_intratumor_cellfrequency', 'Vessel._intratumor_cellfrequency', 'CD4.T.cells.naive_intratumor_cellfrequency', 'CD4.T.cells.naive_stromal_cellfrequency', 'CD4.T.cells.naive_tumorfront_cellfrequency', 'CD4.T.cells.memory_intratumor_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Myeloid.M1.macrophages_tumorfront_cellfrequency', 'Myeloid.Granulocytes_stromal_cellfrequency', 'Myeloid.Granulocytes_tumorfront_cellfrequency', 'Myeloid.DCs_intratumor_cellfrequency', 'Myeloid.DCs_tumorfront_cellfrequency', 'Myeloid.Monocytes_intratumor_cellfrequency', 'Myeloid.Monocytes_stromal_cellfrequency', 'Myeloid.Monocytes_tumorfront_cellfrequency', 'Tumor.proliferating_intratumor_CD44', 'Vessel._stromal_pNFkB', 'Vessel._stromal_GranzymeB', 'Vessel._stromal_CD44', 'Vessel._stromal_pERK', 'Vessel._tumorfront_CD44', 'Fibroblasts._stromal_pNFkB', 'Fibroblasts._stromal_pERK', 'Fibroblasts._stromal_pS6', 'Fibroblasts._tumorfront_pNFkB', 'Fibroblasts._tumorfront_CD44', 'CD4.T.cells.naive_stromal_pS6', 'CD4.T.cells.naive_tumorfront_CD44', 'CD4.T.cells.memory_stromal_CD44', 'CD4.T.cells.memory_stromal_pS6', 'CD4.T.cells.memory_tumorfront_CD44', 'CD4.T.cells.regulatory_stromal_GranzymeB', 'CD4.T.cells.regulatory_stromal_CD44', 'CD4.T.cells.regulatory_tumorfront_CD44', 'B.cells._stromal_CD44', 'CD8.T.cells._intratumor_CD44', 'CD8.T.cells._stromal_CD44', 'Myeloid.M1.macrophages_stromal_pNFkB', 'Myeloid.M2.macrophages_stromal_CD36', 'Myeloid.M2.macrophages_stromal_CD44', 'Myeloid.Granulocytes_stromal_Ki67', 'Myeloid.Granulocytes_stromal_CD44', 'Myeloid.Granulocytes_stromal_pS6', 'Myeloid.Granulocytes_tumorfront_CD44', 'Myeloid.DCs_stromal_CD36', 'Myeloid.DCs_stromal_CD44', 'Myeloid.DCs_tumorfront_CD36', 'Myeloid.DCs_tumorfront_CD44', 'Tumor.proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating', 'CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.', 'CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Vessel.', 'B.cells._stromal_aggregatedNeighbors.B.cells.', 'B.cells._tumorfront_aggregatedNeighbors.Vessel.', 'CD8.T.cells._stromal_aggregatedNeighbors.Vessel.', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'Myeloid.DCs_stromal_aggregatedNeighbors.Vessel.', 'Myeloid.DCs_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Tumor.non.proliferating_intratumor_area', 'Vessel._tumorfront_area', 'Fibroblasts._stromal_area', 'CD4.T.cells.memory_stromal_area', 'Myeloid.M1.macrophages_stromal_area', 'Myeloid.Monocytes_tumorfront_eccentricity', 'Tumor.proliferating_tumorfront_celldistance', 'Fibroblasts._tumorfront_celldistance', 'CD4.T.cells.memory_tumorfront_celldistance', 'CD8.T.cells._tumorfront_celldistance', 'Myeloid.Granulocytes_tumorfront_celldistance', 'Myeloid.Monocytes_tumorfront_celldistance']",73
Fold 6,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.proliferating_intratumor_cellfrequency', 'Fibroblasts._intratumor_cellfrequency', 'CD4.T.cells.naive_stromal_cellfrequency', 'CD4.T.cells.naive_tumorfront_cellfrequency', 'CD4.T.cells.memory_stromal_cellfrequency', 'CD8.T.cells._tumorfront_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Myeloid.M2.macrophages_stromal_cellfrequency', 'Myeloid.DCs_intratumor_cellfrequency', 'Myeloid.DCs_tumorfront_cellfrequency', 'Myeloid.Monocytes_intratumor_cellfrequency', 'Myeloid.Monocytes_stromal_cellfrequency', 'Myeloid.Monocytes_tumorfront_cellfrequency', 'Tumor.non.proliferating_stromal_CD44', 'Tumor.proliferating_intratumor_CD44', 'Vessel._stromal_pERK', 'Fibroblasts._stromal_pERK', 'CD4.T.cells.naive_tumorfront_pS6', 'CD4.T.cells.regulatory_stromal_GranzymeB', 'B.cells._stromal_pS6', 'B.cells._tumorfront_CD44', 'CD8.T.cells._intratumor_CD44', 'CD8.T.cells._tumorfront_CD44', 'Myeloid.M2.macrophages_tumorfront_pS6', 'Myeloid.Granulocytes_stromal_GranzymeB', 'Myeloid.Granulocytes_stromal_Ki67', 'Myeloid.Granulocytes_tumorfront_CD44', 'Myeloid.Granulocytes_tumorfront_pMAPKAPK2', 'Myeloid.DCs_stromal_CD44', 'Myeloid.Monocytes_stromal_E.Cadherin', 'Tumor.non.proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Vessel._stromal_aggregatedNeighbors.Vessel.', 'Vessel._tumorfront_aggregatedNeighbors.Vessel.', 'CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.', 'CD4.T.cells.regulatory_stromal_aggregatedNeighbors.Fibroblasts.', 'B.cells._tumorfront_aggregatedNeighbors.Vessel.', 'Myeloid.M2.macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Myeloid.M2.macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells.', 'Myeloid.DCs_stromal_aggregatedNeighbors.Vessel.', 'Myeloid.DCs_tumorfront_aggregatedNeighbors.Vessel.', 'Myeloid.Monocytes_tumorfront_aggregatedNeighbors.Vessel.', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.naive_tumorfront_area', 'CD4.T.cells.memory_stromal_area', 'B.cells._tumorfront_area', 'Myeloid.M1.macrophages_stromal_area', 'Myeloid.Monocytes_tumorfront_eccentricity', 'CD4.T.cells.memory_tumorfront_celldistance', 'Myeloid.M2.macrophages_tumorfront_celldistance', 'Myeloid.Granulocytes_tumorfront_celldistance']",52
Fold 7,"['Tumor.non.proliferating_intratumor_cellfrequency', 'CD4.T.cells.memory_intratumor_cellfrequency', 'CD4.T.cells.memory_stromal_cellfrequency', 'CD4.T.cells.memory_tumorfront_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Myeloid.DCs_tumorfront_cellfrequency', 'Myeloid.Monocytes_intratumor_cellfrequency', 'Myeloid.Monocytes_stromal_cellfrequency', 'Tumor.non.proliferating_intratumor_GranzymeB', 'Tumor.non.proliferating_stromal_CD44', 'Tumor.non.proliferating_stromal_pS6', 'Tumor.proliferating_intratumor_GranzymeB', 'Tumor.proliferating_intratumor_CD44', 'Vessel._stromal_CD44', 'Vessel._tumorfront_CD44', 'Fibroblasts._stromal_pS6', 'CD4.T.cells.naive_stromal_CD44', 'CD4.T.cells.naive_stromal_pS6', 'CD4.T.cells.memory_stromal_pS6', 'CD4.T.cells.memory_tumorfront_pS6', 'CD4.T.cells.regulatory_stromal_CD44', 'B.cells._stromal_GranzymeB', 'B.cells._stromal_pS6', 'B.cells._tumorfront_GranzymeB', 'CD8.T.cells._intratumor_CD36', 'CD8.T.cells._stromal_CD44', 'CD8.T.cells._tumorfront_CD44', 'Myeloid.M1.macrophages_tumorfront_CD44', 'Myeloid.Granulocytes_stromal_GranzymeB', 'Myeloid.Granulocytes_stromal_Ki67', 'Myeloid.Granulocytes_stromal_CD44', 'Myeloid.Granulocytes_tumorfront_CD44', 'Myeloid.DCs_stromal_CD44', 'Myeloid.Monocytes_stromal_CD44', 'Vessel._stromal_aggregatedNeighbors.Vessel.', 'Vessel._tumorfront_aggregatedNeighbors.Vessel.', 'CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.', 'CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Vessel.', 'CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells.', 'CD8.T.cells._intratumor_aggregatedNeighbors.Tumor.proliferating', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'Myeloid.DCs_stromal_aggregatedNeighbors.Vessel.', 'Myeloid.DCs_stromal_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid.Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.memory_stromal_area', 'CD8.T.cells._tumorfront_area', 'CD8.T.cells._tumorfront_eccentricity', 'Myeloid.Monocytes_tumorfront_eccentricity', 'Tumor.proliferating_tumorfront_celldistance', 'CD4.T.cells.memory_tumorfront_celldistance', 'Myeloid.M1.macrophages_tumorfront_celldistance', 'Myeloid.Granulocytes_tumorfront_celldistance', 'Myeloid.Monocytes_tumorfront_celldistance']",55
Fold 8,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Vessel._tumorfront_cellfrequency', 'CD4.T.cells.memory_intratumor_cellfrequency', 'CD4.T.cells.regulatory_tumorfront_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Myeloid.Granulocytes_stromal_cellfrequency', 'Myeloid.Granulocytes_tumorfront_cellfrequency', 'Myeloid.DCs_intratumor_cellfrequency', 'Myeloid.DCs_tumorfront_cellfrequency', 'Myeloid.Monocytes_intratumor_cellfrequency', 'Myeloid.Monocytes_stromal_cellfrequency', 'Myeloid.Monocytes_tumorfront_cellfrequency', 'Tumor.non.proliferating_stromal_pCREB', 'Tumor.non.proliferating_stromal_GranzymeB', 'Tumor.non.proliferating_stromal_pS6', 'Tumor.non.proliferating_tumorfront_pERK', 'Tumor.proliferating_intratumor_pERK', 'Vessel._stromal_CD44', 'Vessel._stromal_pERK', 'Vessel._tumorfront_pERK', 'Fibroblasts._stromal_pERK', 'CD4.T.cells.naive_stromal_CD44', 'CD4.T.cells.naive_tumorfront_pS6', 'CD4.T.cells.memory_stromal_CD44', 'CD4.T.cells.regulatory_stromal_GranzymeB', 'CD4.T.cells.regulatory_tumorfront_E.Cadherin', 'CD4.T.cells.regulatory_tumorfront_pCREB', 'B.cells._stromal_CD44', 'CD8.T.cells._intratumor_E.Cadherin', 'CD8.T.cells._intratumor_CD44', 'Myeloid.Granulocytes_stromal_GranzymeB', 'Myeloid.Granulocytes_stromal_Ki67', 'Myeloid.Granulocytes_stromal_pS6', 'Myeloid.Granulocytes_tumorfront_Ki67', 'Myeloid.Granulocytes_tumorfront_CD44', 'Myeloid.DCs_stromal_CD44', 'Myeloid.DCs_tumorfront_CD44', 'Myeloid.Monocytes_stromal_CD44', 'Vessel._stromal_aggregatedNeighbors.Vessel.', 'CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.', 'B.cells._tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'CD8.T.cells._intratumor_aggregatedNeighbors.CD8.T.cells.', 'CD8.T.cells._stromal_aggregatedNeighbors.Vessel.', 'Myeloid.M2.macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'Myeloid.Granulocytes_tumorfront_aggregatedNeighbors.Fibroblasts.', 'Myeloid.Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes', 'Myeloid.Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid.Monocytes_tumorfront_aggregatedNeighbors.Vessel.', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.memory_stromal_area', 'B.cells._stromal_area', 'Myeloid.M1.macrophages_stromal_area', 'CD8.T.cells._tumorfront_eccentricity', 'Myeloid.Granulocytes_stromal_eccentricity', 'Tumor.non.proliferating_tumorfront_celldistance', 'Tumor.proliferating_tumorfront_celldistance', 'Myeloid.Granulocytes_tumorfront_celldistance', 'Myeloid.Monocytes_tumorfront_celldistance']",60
