"","Tumor non-proliferating_intratumor_area","Tumor non-proliferating_stromal_area","Tumor non-proliferating_tumorfront_area","Tumor proliferating_intratumor_area","Tumor proliferating_tumorfront_area","Vessel_stromal_area","Vessel_tumorfront_area","Fibroblasts_stromal_area","Fibroblasts_tumorfront_area","CD4 T cells naive_stromal_area","CD4 T cells naive_tumorfront_area","CD4 T cells memory_stromal_area","CD4 T cells memory_tumorfront_area","CD4 T cells regulatory_stromal_area","CD4 T cells regulatory_tumorfront_area","B cells_stromal_area","B cells_tumorfront_area","CD8 T cells_intratumor_area","CD8 T cells_stromal_area","CD8 T cells_tumorfront_area","Myeloid M1 macrophages_stromal_area","Myeloid M1 macrophages_tumorfront_area","Myeloid M2 macrophages_stromal_area","Myeloid M2 macrophages_tumorfront_area","Myeloid Granulocytes_stromal_area","Myeloid Granulocytes_tumorfront_area","Myeloid DCs_stromal_area","Myeloid DCs_tumorfront_area","Myeloid Monocytes_stromal_area","Myeloid Monocytes_tumorfront_area","Tumor non-proliferating_intratumor_eccentricity","Tumor non-proliferating_stromal_eccentricity","Tumor non-proliferating_tumorfront_eccentricity","Tumor proliferating_intratumor_eccentricity","Tumor proliferating_tumorfront_eccentricity","Vessel_stromal_eccentricity","Vessel_tumorfront_eccentricity","Fibroblasts_stromal_eccentricity","Fibroblasts_tumorfront_eccentricity","CD4 T cells naive_stromal_eccentricity","CD4 T cells naive_tumorfront_eccentricity","CD4 T cells memory_stromal_eccentricity","CD4 T cells memory_tumorfront_eccentricity","CD4 T cells regulatory_stromal_eccentricity","CD4 T cells regulatory_tumorfront_eccentricity","B cells_stromal_eccentricity","B cells_tumorfront_eccentricity","CD8 T cells_intratumor_eccentricity","CD8 T cells_stromal_eccentricity","CD8 T cells_tumorfront_eccentricity","Myeloid M1 macrophages_stromal_eccentricity","Myeloid M1 macrophages_tumorfront_eccentricity","Myeloid M2 macrophages_stromal_eccentricity","Myeloid M2 macrophages_tumorfront_eccentricity","Myeloid Granulocytes_stromal_eccentricity","Myeloid Granulocytes_tumorfront_eccentricity","Myeloid DCs_stromal_eccentricity","Myeloid DCs_tumorfront_eccentricity","Myeloid Monocytes_stromal_eccentricity","Myeloid Monocytes_tumorfront_eccentricity","Tumor non-proliferating_tumorfront_celldistance","Tumor proliferating_tumorfront_celldistance","Vessel_tumorfront_celldistance","Fibroblasts_tumorfront_celldistance","CD4 T cells naive_tumorfront_celldistance","CD4 T cells memory_tumorfront_celldistance","CD4 T cells regulatory_tumorfront_celldistance","B cells_tumorfront_celldistance","CD8 T cells_tumorfront_celldistance","Myeloid M1 macrophages_tumorfront_celldistance","Myeloid M2 macrophages_tumorfront_celldistance","Myeloid Granulocytes_tumorfront_celldistance","Myeloid DCs_tumorfront_celldistance","Myeloid Monocytes_tumorfront_celldistance"
"S01_1",115,40,99,112,123,55,55,48,57,55,0,57,0,50,0,57,0,0,52,95,60,49,49,47,51,62,50,57.5,54,81,0.68349184353805,0.569081796744374,0.674229779048345,0.664450499066054,0.706103357653961,0.621355900497476,0.653733240391985,0.64571034368965,0.639312276232428,0.637241639192671,0,0.575015093222782,0,0.678723979842724,0,0.529558988010388,0,0,0.614827131967244,0.473093763090449,0.60744151971202,0.60844655675823,0.629216431006437,0.673619343923245,0.617733358919218,0.554101104012805,0.625143661649984,0.636219968581915,0.670185324762921,0.694578632829905,10.3034744551688,8.95207206004951,-10.188558881933,-11.7215003967285,0,0,0,0,11.0248724535892,-9.95245844609029,-15.272911576958,-8.00901999414142,-6.05027464108589,-8.73719617932342
"S01_2",120,83,86,118,105.5,52,53.5,44,63.5,55,29,51.5,45,48,51,43.5,64.5,75.5,43,59,56,62,53,37,52,47.5,49,23,54,60.5,0.651407385461893,0.535259941167693,0.680844056753161,0.657217368686196,0.67270432949877,0.633645053636146,0.655007658876785,0.623625704556403,0.625227194200546,0.590173458926629,0.541774576510122,0.604209690607638,0.508354164139043,0.540406094819482,0.622775676722151,0.615315156798679,0.637389011880326,0.544683391881422,0.585417128633815,0.576014876940617,0.616456036920379,0.625477311688663,0.62209573037135,0.599318405480315,0.618847282923163,0.60857226751117,0.661649317799988,0.599489974806722,0.652962384391736,0.59140139908423,9.04267692894264,8.91196528449772,-10.4214557787137,-7.88017804000116,-8.82302203671686,-9.38139309948438,-13.8922300593633,-1.53359734684111,9.67274310317221,-9.1054277641876,-13.1534882875589,-6.66607547906183,-13.1530598039213,-2.80300218749204
"S01_3",140,71,95,72,124,64,69,62,63,58,68,62,46,39.5,53,56,65.5,128,58,51,64,63,64,70,50,61.5,79,63,65,58,0.652721493570726,0.662538706350059,0.666793112550091,0.647516106698308,0.672927312664528,0.649580153869926,0.656285815266823,0.64077763856178,0.625943231252129,0.681555345027542,0.609712017506415,0.637909407890698,0.662184985082022,0.529347071439149,0.757032228742434,0.644294750103648,0.597498794808971,0.596063010435385,0.61745459430137,0.567367724647392,0.616317212771867,0.660177187649266,0.60641013024826,0.683209919819912,0.602120955067469,0.648104653177817,0.670090634547432,0.707349042977166,0.601978757743482,0.558503899274291,7.96428230105736,7.3107950511113,-10.9987936566109,-9.61681882913802,-18.2183974209954,-15.8770570834364,-16.2914474282946,-12.6811166434061,-7.15544076712735,-10.5486655452336,-10.2448099691476,-2.50480132370709,-11.9645636334052,-16.6217119428847
"S02_1",112,41,93,122,114,75,71,62.5,55,35,0,49.5,75,55,0,0,0,47,98,0,59,88,47.5,0,62,50,69.5,49,42.5,111.5,0.655222922855936,0.84275969436075,0.668541227877197,0.593851102266066,0.693680941751241,0.778085694145716,0.760550825662356,0.718674264739744,0.682628548756836,0.51810938641489,0,0.727281874239562,0.689455893923792,0.639238244573536,0,0,0,0.706611252322078,0.703241366470794,0,0.577150253513235,0.697211582605778,0.571175859060011,0,0.617079176842458,0.550818336411256,0.609318348467992,0.698851531716048,0.504135914312542,0.682447421085257,10.6283999752525,10.1783632351189,-9.89630811397846,-8.26706447353903,0,-14.3032386906942,0,0,0,-11.9658040158889,0,-9.71716649577303,-8.07032216037932,-8.26512642453116
"S02_2",127,36,78,141,118.5,34,50.5,34,41,46,42,39,53,43,53,39.5,52,89,39,55,33,50,37,47,34,35,35,65,40,44.5,0.624208964950954,0.859650991755426,0.698390450990296,0.78031819192448,0.672275951014661,0.685807168288595,0.667839070582388,0.688931804119613,0.655618645421087,0.636135345751877,0.645467261519832,0.594038428505403,0.61426795757884,0.630309985228334,0.745221585142873,0.625943231252129,0.557970558711383,0.606402555542461,0.625943231252129,0.647715356464245,0.677433905939356,0.657116165754438,0.640657111407336,0.621714336135859,0.636136292471512,0.565091878143756,0.568705607599073,0.635545690648501,0.612117237337127,0.546035734820335,7.82820488157726,9.13012486138597,-9.64514523218707,-8.10207059523639,-12.7478682307874,-15.5684550603231,-11.4331388833388,-15.8191665609678,1.25070761717283,-11.7697579206147,-12.1276441846575,-11.1353415125892,-7.11922196241525,-5.05853969115837
"S02_3",148,18,98,89,107,55,54.5,57,53,48.5,67,51,56.5,63,44,42,42,87.5,48,51,47,57.5,50.5,28,46.5,54.5,52,48,29,58,0.660962302229131,0.47692249040608,0.685301358345214,0.668607917256296,0.710900397066806,0.659462768805019,0.697073091301764,0.675079401533238,0.700843150632279,0.619622080127657,0.672751576928343,0.592161558218216,0.705279631343869,0.710723178626507,0.724374625529889,0.620736129609464,0.661214639650506,0.6284534175584,0.610629959589006,0.628115348233426,0.75613684631841,0.618656613132386,0.541703781892166,0.633258212436559,0.498410708362906,0.518551284762078,0.615390780541528,0.653003323031099,0.704936859634319,0.626033204231768,10.274405154629,8.70114157563081,-7.99802909038273,-9.95560026039201,-10.7725987953432,-12.4280110777241,-18.4949772834778,-6.86304412917657,1.89795918367347,-5.16898619776675,-12.7488750049046,-12.2533006712545,-1.42093646887577,5.50724147608902
"S03_1",141,0,103,138,118,56,83,47,66,44,60,56,66.5,51.5,72,35,0,78.5,53.5,69,47,65.5,59,102,68,22,45.5,50,48,77,0.610148890171307,0,0.636691000440338,0.608057182708703,0.622785482881974,0.672720214586696,0.617683880541067,0.675992199740419,0.595930143083948,0.533166034487788,0.621198891708034,0.586905281545998,0.632500791858196,0.470328831907952,0.774916437947076,0.657843376157918,0,0.671262053207141,0.556332298477978,0.581454920141153,0.589241419281309,0.555117283898179,0.590703089184574,0.238990287861979,0.618335531345945,0.428259399823422,0.588323032345848,0.397716591488271,0.62581278271751,0.724493029440635,9.69656126259859,13.594172038284,-9.06659838557243,-6.85480956847851,-8.48828928680349,-8.49206053388785,-17.4403042131,0,-3.74295044938723,-5.93826989408013,2.29345501988542,-2.6855166554451,16.6541382598877,-0.820685822963715
"S03_2",122,0,126,0,175,53,56,45,50,47,64.5,47.5,47.5,47.5,22,50.5,50,0,49,47,51,17.5,40,77,39,0,46,34,52.5,35,0.69419080747279,0,0.588762068664287,0,0.712574686281915,0.63453259692116,0.610645877446324,0.674839236687926,0.671281793957462,0.594599076405856,0.625823427200268,0.563840042742905,0.494428778946917,0.621146141904736,0.689860562364244,0.600095587404219,0.627663772013164,0,0.61121848726942,0.615232161502009,0.666971664776064,0.545907011215085,0.599301493335856,0.820724006383196,0.641412623215081,0,0.618747464938063,0.591263286757198,0.633856582233072,0.732068782671134,9.19965556290391,8.51451531494634,-8.54755596492602,-11.9339750821774,-13.5490720681047,-12.5361420731796,-7.11821322007613,-11.1979052407401,-13.2364734412711,-9.71277644869054,-11.6945755264976,0,-7.70348750220405,-4.70037802968706
"S03_3",90,73,89,85,95,57.5,65,49,57,52,25,53,55,56,65,49,0,57,49,57,55,62.5,45.5,41,50,52,64,63,54,82.5,0.647189244665964,0.706983678960984,0.658374341187841,0.685009852098545,0.678287065920936,0.630146179899522,0.643855399351086,0.673688714137262,0.646214361491184,0.597799203404354,0.682613225475113,0.616027349841883,0.575341211797759,0.611530130072342,0.712953929962579,0.600300717489955,0,0.593536752819753,0.622387456752585,0.613666275883541,0.609552818682557,0.654401005691527,0.635503016456723,0.606796247815641,0.629590822430751,0.62943990332402,0.625309508819175,0.690811636476493,0.628018105618052,0.665519757794529,6.969392,9.18982836034635,-8.580414,-8.56925276544675,-4.90990195274353,-9.08218704243618,-3.814094,0,-3.286334,-3.618592,-5.69507483641307,-3.598527,-6.037587,-6.2838305
"S04_1",125,0,101,111,114,61,67.5,51,58,46.5,93,56,56,0,0,61,0,75,53.5,64,51,93.5,50.5,75.5,52,38.5,66,68,63.5,61.5,0.684610956025125,0,0.678370143594078,0.518951377741189,0.705956990503739,0.621303286701799,0.687325460797809,0.650913088416531,0.641707776881674,0.633190019493559,0.653822104964669,0.591602649849396,0.530956989709604,0,0,0.637909407890698,0,0.746689259155871,0.568860884806958,0.603435433556823,0.664695116678908,0.657129161340908,0.681699399985384,0.753509008210594,0.560898801160328,0.613698820464998,0.560737244114978,0.643005879486317,0.539764428965648,0.691631019518395,8.110569,12.20951,-10.869755,-8.81034,-7.218729,-2.145998,0,0,-9.3987185,-6.829835,-6.156166,-15.606685,6.493071,-4.8697875
"S04_2",88,64,79.5,91,102.5,44,56.5,37,48.5,44,26,42,44,46,100,49,55.5,57,45,52,42.5,66,37.5,46,42,65.5,40.5,77,40,57.5,0.640011487175825,0.799824420383007,0.706801114415807,0.654949090115803,0.632942138433377,0.65298641256797,0.665350348102582,0.647955631965681,0.662287766957674,0.556797785459386,0.72504272039238,0.565896928912059,0.604261256007915,0.620760540625549,0.597573086242464,0.57265017547687,0.745078320239408,0.762319550147434,0.608499267458246,0.595543791540484,0.618056237990962,0.656695208132623,0.626960149416073,0.653108272015233,0.608720857457585,0.685249887214216,0.552239252357833,0.694444849847764,0.565405719995006,0.678142666779573,7.363482,14.71384,-9.8449415,-10.258905,-13.91753,-11.22622,-2.551661,-10.271525,-1.452793,6.4488635,-0.8683942,-3.6434095,7.984749,5.144728
"S04_3",97,0,89,65,90,55,51,43,49,55,28,52,57.5,39,0,54,0,0,53,53,55,72,52.5,43,50,61.5,49,62,57,60,0.672921440762316,0,0.674858898763845,0.710994638028065,0.653897935028374,0.614169587831073,0.655472183756289,0.625143661649984,0.650599766173859,0.579634424285038,0.245689686325933,0.599610518912347,0.41777367181394,0.413211390298109,0,0.61497702129513,0,0,0.600402015693101,0.653481485333397,0.580344532849081,0.610709352761533,0.647597111840676,0.622162311265459,0.593762726969293,0.646154373530303,0.586685734455897,0.753274446449612,0.633191648686386,0.695685357883836,6.5997995,11.34835,-7.761516,-11.9816,-10.61845,-15.96754,0,0,-8.738504,-4.136795,-4.570308,1.8853198,-2.284238,-4.617586
"S05_1",95,0,73,80,75,43,50,38,48,41,36,37,52,39,38.5,41,54,0,37,48,36,57,41,57.5,36,61.5,71,93.5,31,60,0.659007954338099,0,0.687842587184996,0.609292775425284,0.706579732356901,0.638168270197698,0.66994061844442,0.627897220273541,0.677814622172046,0.591170975339921,0.679871155312833,0.6037587653868,0.619541872597258,0.592023288929422,0.556303653218013,0.612372435695794,0.597361014124372,0,0.599835400917256,0.608987160543186,0.612035766324283,0.663395561016177,0.631189384392424,0.608365096332375,0.618272627735534,0.700946729137551,0.570660295936745,0.547470481176503,0.624669522893882,0.61132820694112,9.7186845,8.305221,-11.71296,-9.3070375,-16.61956,-10.72448,-5.13677,-10.6729365,-12.58926,-1.714252,-5.132716,3.9856835,8.11964,1.89593588
"S05_2",58,61,80,0,91,47,59.5,37,54,31,62,40,43,44.5,36.5,39,58,0,34,49,37,52,36,56,29.5,63,57,67,40,52.5,0.700304630687617,0.716527658873019,0.665320954015143,0,0.649044648665866,0.668326405622477,0.645793493328184,0.707508878042221,0.660844246901889,0.502086722151854,0.726819243731914,0.644302334159617,0.637648775914894,0.58048506423319,0.577102444723101,0.576079685167761,0.632923476521817,0,0.562250602945729,0.62155369917659,0.711323357346975,0.634404422245995,0.65887023226873,0.610418388092786,0.707775266910855,0.688783712887051,0.796239411411908,0.521627243363514,0.646414231416827,0.652020693345525,6.721663,6.103048,-8.629284,-6.703002,-6.5709475,-6.477711,-5.9333555,-7.35036,-3.059228,-4.985331,-10.8058485,-4.823734,-4.595433,-4.845687
"S05_3",201,75,119,0,110,60,63.5,53,70,71.5,0,47.5,0,43,0,55,0,43,58,59.5,59,84.5,47.5,62.5,52,112,57,79,63,73,0.582399265914834,0.693477932791385,0.646241887766811,0,0.546270205493943,0.630393293449537,0.697496232024547,0.607850003060172,0.640149704101314,0.464121801813091,0,0.610548783813887,0,0.540601209051828,0,0.578400063868214,0,0.392992004500938,0.5749794695485,0.638402544378697,0.599001642995021,0.602247319075844,0.624682665723141,0.609749530534406,0.600159157548475,0.596002886392696,0.559765871753534,0.689965800024993,0.616418536033379,0.660177348569953,9.301752,7.168564,-11.11603,-9.732481,0,0,0,0,-11.738395,-2.1733875,-10.7355595,-6.782685,-5.307272,-5.246749
"S06_1",101,44,107,93,126,60,64,53.5,59,0,0,0,0,0,0,53.5,0,82.5,65.5,73,80,87,59.5,81.5,62.5,74,65,60,84,79,0.666530975747518,0.947722159908424,0.645899162196345,0.606296266950712,0.507913602912424,0.648108887844078,0.644416107138739,0.63832821639691,0.624189499891813,0,0,0,0,0,0,0.483735947717188,0,0.503846346540983,0.577348058798013,0.579500629827536,0.596768007948993,0.572199089692107,0.527996430974119,0.507844058581393,0.534278132334981,0.579215123660976,0.59630866908618,0.612305527928336,0.661090692193138,0.687622110966258,10.5085,10.27194,-9.43191,-8.227279,0,0,0,0,5.123673,8.985868,-5.844629,-9.548657,-5.325838,-9.601913
"S06_2",110,0,121,48.5,120.5,62,69,56,67,16,0,53,45.5,0,0,48,57,93,60,77,52,65,57,52,56,39.5,62.5,73,70,75.5,0.64575232808815,0,0.636775906442768,0.546573256274064,0.703342555386067,0.637054283936838,0.620880629847682,0.629288982059086,0.647353590943181,0.577350269189626,0,0.433060891235982,0.648560316112264,0,0,0.625390808734663,0.669470271931676,0.577666151055869,0.588842396096353,0.577615811698018,0.665506706678626,0.668041615153034,0.610144498095212,0.599077933017246,0.547115315747662,0.749598973290591,0.717791606215309,0.596808397890986,0.609658855602955,0.580248684945123,11.65377,12.553765,-10.49193,-10.44444,0,-8.959604,0,-13.10242,-5.8318915,10.84098,-11.44018,-12.923355,-2.463767,-9.703347
"S06_3",93,12,81,93,93.5,28,38.5,25,38,20,46,25,32.5,33,21,28,32.5,69,26,34,28,57.5,31,39,25,34,26,22,31,36,0.609387640188808,0.683130051063973,0.614750493137431,0.602747764960651,0.618538952433313,0.75751580225614,0.681787379803167,0.693483744184796,0.693483744184796,0.683130051063973,0.517916058482968,0.616441400296898,0.659159840488866,0.62910935951156,0.747370456240133,0.668808677127339,0.594812449199492,0.542925796140696,0.612372435695794,0.583532030570624,0.708443752635162,0.574935752839317,0.633309652397265,0.644396021573027,0.572412597655759,0.577350269189626,0.775505940720946,0.701188829286731,0.587401619462265,0.734450768182509,11.953915,11.85938,-8.943946,-5.944372,-17.453465,-13.220735,-17.66689,-9.1377445,-6.092086,-3.7650955,-11.37543,-10.67092,-6.511138,-5.755964
"S07_1",94,39,93,132,109.5,51,58.5,49,50,42,64,49.5,52,58,35.5,0,0,0,84,61,41.5,62,39.5,49,0,83,56,64,62,47,0.651630686167828,0.664229742090124,0.679053524725967,0.65973639598901,0.706148010041772,0.648208853331807,0.673829161357003,0.703908360675595,0.665632910346934,0.729415037687742,0.738072588695048,0.626320431644183,0.558650712476313,0.577152242507151,0.531328745416988,0,0,0,0.72952061777105,0.652767910312058,0.67921117541546,0.693483744184796,0.748440323176348,0.625295948961581,0,0.469359399460944,0.754998195942458,0.746669605808835,0.789113547904514,0.606276818365423,6.985155,5.588634,-11.09913,-6.7057415,-15.44956,-9.098514,-6.73743,0,-5.8690885,-4.156119,-7.047649,-4.367455,1.746905,-6.3055125
"S07_2",102.5,37,57,76,69,40,36.5,32,34.5,42,41,39,31,41,23,47,42,0,36,38,46,37,36,43,37,29,56,50,28.5,26,0.751432472463491,0.572308914649411,0.699540859227771,0.743774661410106,0.709226084191627,0.631298389668893,0.662929474053392,0.654511329279049,0.671923934807095,0.630161082774992,0.610593106576531,0.626746277931174,0.638168270197698,0.626464630152355,0.487384722853062,0.62713517966718,0.632637709222439,0,0.601172834597614,0.624482650367904,0.634273877819863,0.645007408771501,0.604961755311485,0.68779191000327,0.745304097828371,0.624190639036861,0.640100165163723,0.755206273559408,0.646172815603216,0.503370032632125,7.503878,6.8301555,-11.697075,-8.0784265,-12.19088,-10.15497,-15.08696,-12.12094,-8.8294315,-1.2620491,-7.177872,-2.894737,2.778504,-2.888367
"S07_3",82,33,57,41,66,65,56.5,60,48,0,0,83,41,0,0,0,0,67.5,65,57,29,0,150,0,0,0,0,0,0,0,0.624161217677751,0.900836748692588,0.674854197143611,0.630875195319539,0.571192402597798,0.659917726835952,0.607176532698295,0.667605007002546,0.618579805832139,0,0,0.542376257794978,0.602488815259346,0,0,0,0,0.571428765112064,0.695757015138055,0.666285128679439,0.694320778866613,0,0.624309351876656,0,0,0,0,0,0,0,9.514934,14.688165,-11.69778,-9.997408,0,-15.04257,0,0,0.20087845,0,0,0,0,0
"S08_1",94,0,72,85,86.5,48,68.5,36,51.5,53,50,54,59,52.5,67,50,52,41,56,58.5,54,58,49,61,29.5,63.5,34.5,48,62,66,0.661182833488916,0,0.669236843338544,0.638065653508906,0.667072942372016,0.651553089457973,0.699042685389664,0.627743371216055,0.698909418924507,0.601478641305062,0.575707574945498,0.633523412921708,0.634015351323165,0.614931802273343,0.593898909656934,0.626100923153513,0.704842932751096,0.638459291272968,0.62367133115277,0.679130187635119,0.623308931123998,0.627914989956541,0.626922308600843,0.689372775738142,0.655698201420779,0.637014911396401,0.708298632914411,0.641434032325542,0.687770374503626,0.702783924822633,10.1627,9.0539725,-10.102155,-7.2174835,-14.48936,-11.82271,-12.76182,-6.159542,-10.19178,-8.268834,-9.532402,-12.272458,-4.4919645,-3.702935
"S08_2",63,14,48,59.5,54,43,38.5,21,32,49,48,47,41,48,47,47,57.5,54,45.5,44,53.5,48,44,39,32,0,41,30,38,46,0.612372435695794,0.90357145807932,0.678874574299834,0.664974448807057,0.660753192299576,0.690818430528701,0.643811530708271,0.709800843062544,0.685822660952585,0.614589817176262,0.626706251699929,0.600973287663732,0.602204514682106,0.686826646359879,0.623688758220966,0.595598976225014,0.648707462101175,0.54744291075784,0.647899515439492,0.639504034550631,0.598520411503584,0.630360686751259,0.603074441085683,0.626241477394608,0.580805908304884,0,0.420562694798789,0.482245475511675,0.615783578459905,0.620320447436836,10.9907,10.65187,-6.442026,-4.856685,-12.59539,-13.01112,-9.258179,-7.8995465,-6.623014,-4.6006,-6.12567,0,2.051016,-3.36646
"S08_3",85,49,67,67,62,36,61,23,36,49,47,50,52,51,66,53,51,0,40.5,43.5,41,43.5,41,49.5,35,38,0,18,36,71,0.605392083740122,0.655435759372237,0.666590114377436,0.692757743735762,0.655542340013083,0.683882222314539,0.689860562364244,0.708443752635162,0.598473346310861,0.620663253163477,0.636188936616247,0.628321296068581,0.677215011226076,0.643175117965463,0.621266429183324,0.64635839234959,0.683621678912411,0,0.629710715711083,0.685044138925976,0.641609019974729,0.647840278942707,0.652445721714584,0.635761848888546,0.694129000851914,0.608803615697622,0,0.584013209243959,0.643859519394147,0.674972544634577,9.685997,8.199743,-8.068452,-6.221679,-16.457575,-14.08481,-12.72656,-9.402235,-4.7885515,-7.177511,-11.27714,-9.1619145,-13.04685,-9.125101
"S09_1",59,64,90,121,116.5,53,60,49.5,56,35,45,49,58,59.5,66,72,29,94.5,45.5,62,39.5,54,54,47,44,38,61,61,36,60,0.672875825935942,0.618249376880028,0.642956074974597,0.646995792517448,0.649028686531312,0.636967485916499,0.639026523154021,0.629570770398958,0.642414067348895,0.638362529820141,0.63385381903666,0.582787548981985,0.622049382986359,0.726666688873152,0.631839332248116,0.537318610054862,0.669217629842102,0.836280838328382,0.629112063849365,0.637427218413169,0.609559124969649,0.628674245889179,0.621257060878741,0.566309191068177,0.564311999183543,0.65277193040849,0.685993902159665,0.612287786073744,0.596981180058084,0.623860227549815,5.474376,6.0066215,-7.644351,-7.057616,-8.767032,-6.9513225,-11.09917,-1.16304965,-1.196528,-3.967533,-7.846529,-10.43778,-4.3503635,-1.782481
"S09_2",101,44,87.5,117,116,45,57,38.5,51.5,44,47.5,43,49,45,53,42,61,68.5,42,56,42.5,56,47,50.5,43,46,28,56.5,39,54.5,0.607604609694293,0.96380213862485,0.654142815122187,0.66330009677545,0.660106660938349,0.620173672946042,0.64475400190137,0.570907831310317,0.658135704638995,0.612035766324283,0.603055712512845,0.605478786131122,0.588012050327414,0.58390150950023,0.641261416160238,0.539129675598036,0.617405150103958,0.699508775358802,0.60223466922125,0.617633651513369,0.625943231252129,0.620872265988971,0.641576847932869,0.613817544112326,0.596682164651103,0.596994861847028,0.508255924068497,0.602138194285511,0.640702923399098,0.643806779556839,6.807499,7.480495,-9.927311,-6.073604,-8.6713535,-8.821011,-9.0126025,-11.70783,-4.8763715,-2.376159,-4.395734,-6.941862,-1.202518,-1.4939935
"S09_3",94.5,64.5,90,169,98,49,56.5,39,49,23,35,44,51,29,55,54,65,83,40,62,64,60,28,49,34.5,34.5,46,55,43,59.5,0.687414173267075,0.643073988986012,0.669210612285715,0.58940361855509,0.653682690847485,0.612372435695794,0.664143757289801,0.685508245376728,0.660844246901889,0.709869782309914,0.577784815196411,0.584348709790777,0.596245200198073,0.348451092920309,0.624262918410154,0.624083770881008,0.525267233457198,0.662725086330002,0.529391543460098,0.615161116202774,0.694601124026623,0.639120412528846,0.599876663587634,0.608336415389131,0.623894236891746,0.603096716614817,0.812448225070878,0.629170834720793,0.580467017314319,0.651246873126843,7.3878085,6.561876,-8.1030235,-5.702104,-9.0211985,-9.264114,-8.3588225,-5.142748,1.046991,-1.766296,-2.860947,-0.193924515,-3.912897,-0.1451033
"S10_1",105,75,89,70,116.5,56,60,33,48,0,0,0,50,0,0,0,0,0,0,0,0,63.5,35,71.5,38,37,0,125,0,79,0.628182181412336,0.709374401567506,0.63409849248099,0.574751108963831,0.634187534464208,0.669185149969901,0.656538007401404,0.521840278493036,0.664912722973274,0,0,0,0.952558508389867,0,0,0,0,0,0,0,0,0.648347438170145,0.610044970541533,0.632942197744409,0.681228944892667,0.570933335682314,0,0.700066461449243,0,0.574901881184292,5.4465955,5.8186515,-6.796309,-6.340069,0,-6.519072,0,0,0,-2.8800645,-1.528414,-1.9776866,-1.732458,8.0295325
"S10_2",86.5,65,81,149,93,67,68,43,46,66,59,42,51,92,68.5,0,0,0,0,0,28,54,56,66.5,59,58,52,50,37.5,60,0.651312781418348,0.726646795615447,0.664457766110565,0.774844136315595,0.668304708059376,0.653172985403834,0.656063783916317,0.645038466873353,0.631154374960614,0.751963401670617,0.596876021108905,0.567972867278531,0.609026205910181,0.789992674533376,0.672020170773621,0,0,0,0,0,0.552682096847216,0.620627410281799,0.629846570626765,0.639915759513377,0.598732914695718,0.629950706965163,0.704005809829585,0.647411034092434,0.795046659150548,0.623307669687609,2.392262,2.490428,-11.05821,-7.736202,-9.838361,-9.8343105,-12.527185,0,0,-5.397383,-6.150754,-6.860067,-3.154072,-4.198783
"S10_3",49,56.5,65,117,79,43,48,31,36.5,37,0,28.5,44.5,34,65.5,0,0,0,44.5,0,33,40,44,56,26,54,49,41,53,41.5,0.625143661649984,0.58162026859567,0.64665867332523,0.788057170539072,0.66281447014451,0.627763673967085,0.64173502207017,0.543863592283698,0.65542338083542,0.703342228126214,0,0.640086344598446,0.817561335337804,0.60005002127562,0.622467565171138,0,0,0,0.524888656005354,0,0.638168270197698,0.612372435695795,0.644992645403126,0.602401961286367,0.565402839031451,0.715321227060877,0.678047984354356,0.662822872533883,0.63659352398092,0.692949949414867,5.646269,6.4485245,-4.958193,-4.093859,0,-13.93255,-12.448499,0,0,-2.030285,-2.645152,-5.028221,4.128791,4.9727745
"S11_1",84,29.5,71,105,74,25,28.5,21,24,28,29.5,22,36,35,62,33.5,0,49,27,0,21,36.5,24.5,39,28.5,30,29,19,27,22,0.725125273774134,0.641471457915422,0.707654378113832,0.709027206649573,0.781998609777815,0.716702617026804,0.72555357151841,0.706471874821803,0.635918532602994,0.585064574714852,0.687269462143199,0.627964142644978,0.581236941982482,0.65897521266789,0.561193382076492,0.597817149442806,0,0.543699454238101,0.625943231252129,0,0.626600751910495,0.727207211055028,0.612372435695794,0.575740622954837,0.614406917996346,0.612372435695795,0.740940590727356,0.520703731881705,0.588650482281353,0.689860562364244,9.762868,13.30612,-8.122286,-7.2082415,-15.264485,-7.1068395,-12.62696,0,0,-4.2357145,1.636523,3.804569,-5.5,-4.242716
"S11_2",96,38,65,121,108.5,33,30,24,26,35,33,37,35,36,39.5,41,25,0,34,41,38,30,33,39,30,34.5,27.5,46,27.5,47,0.685204611183371,0.689321393771277,0.657569555833908,0.6782641967779,0.72095961554139,0.629288982059086,0.708443752635162,0.673105215719175,0.670820393249937,0.600610967473834,0.671165985029295,0.612372435695794,0.643129412523557,0.56967226229631,0.6456928263031,0.585757986891992,0.271465825445326,0,0.591949179922733,0.442131938369271,0.584986617585374,0.654634540371985,0.644655203702052,0.663555764536527,0.595895961215446,0.678590910923132,0.646259485662666,0.715369439165294,0.642745243902425,0.571127170095989,10.05714,12.3287,-8.960016,-14.32574,-12.464,-11.8636,-10.9355505,-12.39413,-9.5539395,2.85879,-12.04705,-14.51864,10.58737,-2.34950515
