"","Tumor non-proliferating_intratumor_area","Tumor non-proliferating_stromal_area","Tumor non-proliferating_tumorfront_area","Tumor proliferating_intratumor_area","Tumor proliferating_tumorfront_area","Vessel_stromal_area","Vessel_tumorfront_area","Fibroblasts_stromal_area","Fibroblasts_tumorfront_area","CD4 T cells naive_stromal_area","CD4 T cells naive_tumorfront_area","CD4 T cells memory_stromal_area","CD4 T cells memory_tumorfront_area","CD4 T cells regulatory_stromal_area","CD4 T cells regulatory_tumorfront_area","B cells_stromal_area","B cells_tumorfront_area","CD8 T cells_intratumor_area","CD8 T cells_stromal_area","CD8 T cells_tumorfront_area","Myeloid M1 macrophages_stromal_area","Myeloid M1 macrophages_tumorfront_area","Myeloid M2 macrophages_stromal_area","Myeloid M2 macrophages_tumorfront_area","Myeloid Granulocytes_stromal_area","Myeloid Granulocytes_tumorfront_area","Myeloid DCs_stromal_area","Myeloid DCs_tumorfront_area","Myeloid Monocytes_stromal_area","Myeloid Monocytes_tumorfront_area","Tumor non-proliferating_intratumor_eccentricity","Tumor non-proliferating_stromal_eccentricity","Tumor non-proliferating_tumorfront_eccentricity","Tumor proliferating_intratumor_eccentricity","Tumor proliferating_tumorfront_eccentricity","Vessel_stromal_eccentricity","Vessel_tumorfront_eccentricity","Fibroblasts_stromal_eccentricity","Fibroblasts_tumorfront_eccentricity","CD4 T cells naive_stromal_eccentricity","CD4 T cells naive_tumorfront_eccentricity","CD4 T cells memory_stromal_eccentricity","CD4 T cells memory_tumorfront_eccentricity","CD4 T cells regulatory_stromal_eccentricity","CD4 T cells regulatory_tumorfront_eccentricity","B cells_stromal_eccentricity","B cells_tumorfront_eccentricity","CD8 T cells_intratumor_eccentricity","CD8 T cells_stromal_eccentricity","CD8 T cells_tumorfront_eccentricity","Myeloid M1 macrophages_stromal_eccentricity","Myeloid M1 macrophages_tumorfront_eccentricity","Myeloid M2 macrophages_stromal_eccentricity","Myeloid M2 macrophages_tumorfront_eccentricity","Myeloid Granulocytes_stromal_eccentricity","Myeloid Granulocytes_tumorfront_eccentricity","Myeloid DCs_stromal_eccentricity","Myeloid DCs_tumorfront_eccentricity","Myeloid Monocytes_stromal_eccentricity","Myeloid Monocytes_tumorfront_eccentricity","Tumor non-proliferating_tumorfront_celldistance","Tumor proliferating_tumorfront_celldistance","Vessel_tumorfront_celldistance","Fibroblasts_tumorfront_celldistance","CD4 T cells naive_tumorfront_celldistance","CD4 T cells memory_tumorfront_celldistance","CD4 T cells regulatory_tumorfront_celldistance","B cells_tumorfront_celldistance","CD8 T cells_tumorfront_celldistance","Myeloid M1 macrophages_tumorfront_celldistance","Myeloid M2 macrophages_tumorfront_celldistance","Myeloid Granulocytes_tumorfront_celldistance","Myeloid DCs_tumorfront_celldistance","Myeloid Monocytes_tumorfront_celldistance"
"S21_3",82,101,77,87,110,41,58,32,53,43,44,41,45,42.5,55,37,45.5,81,39,53,37,53,37,49,33,39.5,30,56.5,32,51,0.599023688796405,0.695119449005419,0.64391947143538,0.625657971819038,0.663747658692823,0.680689028629426,0.628348568330978,0.742184839813976,0.666885550355276,0.642281125404007,0.600357135428174,0.633992150238522,0.582165969421684,0.62952000887672,0.667445598001112,0.632455532033676,0.665970661946164,0.57413782037515,0.638168270197698,0.612372435695795,0.646063567215013,0.599330106369202,0.681915026419029,0.585435043640719,0.632158983511374,0.6557901471202,0.617820834396631,0.65652015859256,0.612372435695795,0.636174922814647,9.51395,9.380051,-10.33514,-6.4583935,-10.0103,-10.984245,-9.361235,-12.02386,-4.189335,-3.32293,-5.5736815,-7.9030495,-4.791408,-0.4201068
"S22_1",144,0,109,164,166,57.5,75,39,55,44,51,48.5,69,64,75,38,0,0,44,34,47,68,45,61,38.5,65.5,44,47,47,72,0.664430899683847,0,0.67729753212864,0.657254838348335,0.704370772086438,0.674207629376938,0.667659437499556,0.694320778866613,0.655546900906093,0.646736807238897,0.677433905939356,0.621079557769552,0.57836687964174,0.443169522988963,0.697766008335959,0.586391027753985,0,0,0.558906574047398,0.625943231252129,0.59545272700554,0.662567739031695,0.662026001180031,0.639318444708684,0.684242800981941,0.680406563808766,0.71845857293628,0.625528227775427,0.667500030026077,0.65417536055542,10.36442,11.79695,-9.801297,-6.872152,-11.71044,-9.7387315,-6.6672425,0,-15.27885,-6.371757,-4.152623,-6.766444,-2.934586,-4.519425
"S22_2",137,34.5,96,113.5,106.5,58.5,67,59,47,11,80.5,62,74,0,75,0,0,0,0,60,47.5,67,53,67,0,62,0,91,34,73,0.699312547508136,0.43502574873629,0.675840738001002,0.702862973599094,0.651657770366185,0.706209424327835,0.692930223935836,0.725502352901883,0.708173388875124,0.708443752635162,0.761950874219944,0.64864226168489,0.722388821543047,0,0.801856268390477,0,0,0,0,0.468772106666311,0.468107800897169,0.664374403649127,0.636650655472583,0.623340160554508,0,0.682199139409239,0,0.674499971554754,0.612124317097261,0.658287933286556,9.093837,10.14247,-9.642002,-6.8450185,-14.72581,-9.679676,-8.8646395,0,6.7272605,-7.5239215,-8.704,-11.152059,-4.094105,-2.031589
"S22_3",90,15,68,100,81,40,43,27,37,39,38.5,37,39.5,28,51,34,36,44,39,43,40,49,45,43.5,33,41,42.5,49,32,55,0.64082097883996,0.736116619360528,0.671489263928797,0.62568016528078,0.707106781186547,0.689860562364244,0.625872616545013,0.693483744184796,0.625943231252129,0.577350269189626,0.548385799942412,0.581399490667694,0.585000519070493,0.582568476116238,0.531340945927257,0.641149791352503,0.488989514474121,0.550125361276043,0.608490139826104,0.594388939944776,0.596430229220131,0.643981147398591,0.601544682124747,0.601577301525416,0.709251775624389,0.543233050967311,0.628146096526699,0.645925285232625,0.660010090255921,0.636435751382995,10.76039,12.95484,-5.919507,-7.474472,-9.3492975,-8.0754575,-10.8941685,-17.2333,-8.352374,-4.406794,-5.6943475,-2.792592,-0.9342201,0.4813693
"S23_1",107,0,95,130,121.5,61,74.5,50,57,54.5,62,51,52,45,70,48,85,82,52,65,50,65,46.5,41,48,62.5,49,70,50.5,73,0.684826497558647,0,0.636117980518055,0.691788915828135,0.694020081535734,0.619205550731912,0.659408736857281,0.620110692627666,0.579266400109986,0.601520496534148,0.649584594382338,0.611142405531597,0.627930512540316,0.620568152083979,0.635419658521803,0.633833178451025,0.58071396316972,0.629168529048454,0.614678556841424,0.610626451345466,0.602197225632799,0.6486151767924,0.662502097357856,0.66605475957864,0.59775347655585,0.633059146143831,0.603853677683399,0.616841336359626,0.621894026404582,0.651492662245355,10.61596,13.001315,-7.126619,-10.76037,-11.87916,-13.35667,-15.03408,-12.0923075,-3.80957,1.15113825,-3.454282,-7.121543,-1.395899,2.68407
"S23_2",84,17,88,103,99,53,67,37,53,51,66,47,71,55,82,41,0,86,44,71.5,49,77,46,76,42,0,0,78,42.5,79.5,0.633921310408429,0.483977514182461,0.635726760242877,0.648023275666937,0.632695039862039,0.670528185927324,0.752980992193621,0.693483744184796,0.646851524361879,0.623070983508162,0.674954527942077,0.608046136283761,0.629937642800985,0.632132831162228,0.641588415053592,0.643668657488121,0,0.681017426885094,0.569413825876752,0.557306409801908,0.65808588059397,0.640686198611118,0.64507149880035,0.654171717526502,0.644958292332511,0,0,0.712179663470891,0.636821414341445,0.664700952527636,11.1938,11.93147,-9.734181,-11.3872765,-11.07056,-11.43328,-11.52606,0,6.5436,-6.708727,-5.553376,0,15.57886,-1.11367335
"S23_3",129,0,79,123,119,56,67,45,54.5,53,76,55,73,56,65,48,129,87,57,72,53,63.5,50.5,63,50,51,81,64,63,71,0.65331607249724,0,0.680519276965298,0.670895954964881,0.643657169419355,0.642558279236367,0.714067494336021,0.626124317770862,0.722041246343313,0.612372435695794,0.678387882249033,0.634592412266296,0.683090585526186,0.605918853089862,0.756415727702662,0.609994281330419,0.745923427082155,0.57855558339767,0.612372435695795,0.673619884355888,0.611155977205428,0.674186247707644,0.630814060652697,0.689271828904957,0.614168193838823,0.629250783179127,0.68666717046203,0.634819121176214,0.680222310289465,0.638318163221268,9.6237755,11.028415,-6.575841,-13.778525,-12.24112,-11.50887,-8.725724,-3.818868,-1.718354,2.4439235,-3.0276895,-10.55955,14.664385,4.571741
"S24_1",127,22,82.5,100,88,45,56,39,60,48,59,48,60,48.5,68.5,47.5,65.5,63,50,58,52,70.5,43,67,40,60.5,48,69,50,59,0.674037512707365,0.298983358071319,0.708027355386636,0.651140541554311,0.696557017040305,0.608705072481702,0.662476128634051,0.652140595517438,0.623749274577951,0.620917210036597,0.595287684446141,0.572335845835443,0.641100706403805,0.587796043070771,0.6260918002859,0.628242372438439,0.517256871710313,0.609847698742089,0.577350269189626,0.6271532800405,0.623461086919197,0.630263161741838,0.61548160533595,0.633340303009846,0.629723529922402,0.650322741693295,0.565685424949238,0.585263456407622,0.588706082402432,0.648196226113807,10.1309,7.2030975,-11.94151,-8.642801,-11.77329,-10.64126,-9.5802425,-12.5152,-5.903608,0.82038901,-5.544118,7.4954305,5.2183675,4.420007
"S24_2",117,19,87,113,119.5,63,66.5,61,57,56.5,54,57,69.5,56,69,75,0,69.5,62,76,58,59,63,50,58,0,54,63,62,87,0.646978301277388,0.708443752635162,0.666485579295819,0.648826065634212,0.676430534526209,0.625013153226384,0.693722989515813,0.728556557240823,0.631787517680073,0.658710779164943,0.601857256084147,0.587937564407218,0.642356913378129,0.674166226558316,0.619420219298331,0.565789338340062,0,0.551383977200323,0.62497489094533,0.577350269189626,0.592118460771249,0.67332088726433,0.597577626320537,0.576190784949863,0.882012009692222,0,0.763868836932513,0.578506064879835,0.696651780537961,0.732937270582642,10.43045,12.288525,-4.9941495,-10.26896,-9.222222,-10.96228,-8.462316,0,7.1775,-1.923081,-12.39666,0,-0.448052,8.3413885
"S24_3",40,16,37,108.5,72,59,27,36,26,53,58,49,45.5,54,54,51,40,74,53,54,61,50,61,48,36,21,53,47,49,58.5,0.690655435483244,0.508354164139043,0.680442520723569,0.571650611414744,0.670820393249937,0.622965767654256,0.633706852820405,0.618304738200879,0.700457257155564,0.586883264527055,0.655235156395105,0.570097018502159,0.62308246510965,0.636048023497302,0.605439810709947,0.595445331918166,0.542934939630843,0.649650927049621,0.573876223002827,0.575779844205503,0.59730718906006,0.590535967423824,0.630027853474627,0.636364687889583,0.606651498452672,0.612522187309503,0.574803041049255,0.652249215378494,0.5958988830675,0.596957463056666,9.635321,10.53418,-13.90909,-9.0481285,-8.844701,-13.284975,-10.731,-14.269405,-6.8158905,-3.067946,-7.956407,-6.862894,2.765198,3.1572975
