,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Myeloid M2 macrophages_tumorfront_eccentricity,757.5,-0.022834793066797032,0.450448675127731,0.1441112390702014,0.6666640391890419
Myeloid Granulocytes_stromal_eccentricity,757.5,-0.017834375465884067,0.6941893793154371,0.14399690523386122,0.8153970487197199
Myeloid Granulocytes_tumorfront_eccentricity,544.0,0.03159666064301758,0.4460823588522993,0.32535731098996834,0.6666640391890419
Myeloid DCs_stromal_eccentricity,692.0,0.006691972296328896,0.9070931415921464,0.4785569732567312,0.9454210208143498
Myeloid DCs_tumorfront_eccentricity,553.0,-0.014288050331111801,0.6446597891145492,0.378945469579121,0.7898669270588383
Myeloid Monocytes_stromal_eccentricity,735.0,-0.0676875759295692,0.07379753624807821,0.22937710618206275,0.22754240343157447
Myeloid Monocytes_tumorfront_eccentricity,491.5,0.01916464947663321,0.5065894160207678,0.1124754848915418,0.7073135242554116
Tumor non-proliferating_tumorfront_celldistance,1013.0,-2.014332476717364,2.7722364665931876e-06,1.0866671108683405e-05,0.00020514549852789586
Tumor proliferating_tumorfront_celldistance,803.0,-1.1076363652254244,0.059120404518501715,0.04726269818947012,0.20832904449376796
Vessel_tumorfront_celldistance,514.0,0.6287613057660781,0.20564491108840427,0.18405385732510526,0.41128982217680854
Fibroblasts_tumorfront_celldistance,481.0,0.7958362824178815,0.15939892251317822,0.08765262409264556,0.34692706664632905
CD4 T cells naive_tumorfront_celldistance,517.0,2.016394555840505,0.10068313576501606,0.19525932394361056,0.2759463720967107
CD4 T cells memory_tumorfront_celldistance,486.0,1.2114303742270227,0.12784680984834382,0.09884844975272723,0.326229790647498
CD4 T cells regulatory_tumorfront_celldistance,344.0,3.7896045442954502,0.001138105292345726,0.00098903187515918,0.04210989581679186
B cells_tumorfront_celldistance,435.5,2.977433174005605,0.04611367188147696,0.023506773813052533,0.2010319958060852
CD8 T cells_tumorfront_celldistance,698.0,-1.7886723015718369,0.21580451881331025,0.4374233373203048,0.42025090505749896
Myeloid M1 macrophages_tumorfront_celldistance,496.0,2.421144453811602,0.04618302606356011,0.12468661770537769,0.2010319958060852
Myeloid M2 macrophages_tumorfront_celldistance,571.5,0.6810878771143036,0.5534677352009114,0.5047280817953472,0.7309261598708335
Myeloid Granulocytes_tumorfront_celldistance,724.0,-2.118263125601252,0.13297590887648872,0.28213638252232054,0.3280072418953388
Myeloid DCs_tumorfront_celldistance,527.0,1.5708437653408787,0.30134748167806896,0.2384491963190456,0.518597991725049
Myeloid Monocytes_tumorfront_celldistance,709.5,-0.05291465626182812,0.965776554528706,0.3635645080562795,0.965776554528706
