,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,647.5,-0.005555555555555556,0.3276682563819421,0.33814269473405,0.5891727302252228
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.DCs,630.0,0.0,1.0,1.0,1.0
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,630.0,0.0,1.0,1.0,1.0
Vessel_stromal_aggregatedNeighbors.Tumor.non.proliferating,612.0,0.011428571428571429,0.3139381343932999,0.32412658775761916,0.5891727302252228
Vessel_stromal_aggregatedNeighbors.Vessel,536.5,0.048075396825396965,0.18743553087701254,0.27035181122774965,0.5608071083840215
Vessel_stromal_aggregatedNeighbors.Fibroblasts,574.5,0.014126984126984127,0.5358833680406674,0.3940002494471456,0.8655529934406726
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.naive,630.0,0.0,1.0,1.0,1.0
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.memory,630.0,0.0,1.0,1.0,1.0
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,630.0,0.0,1.0,1.0,1.0
Vessel_stromal_aggregatedNeighbors.B.cells,630.0,0.0,1.0,1.0,1.0
Vessel_stromal_aggregatedNeighbors.CD8.T.cells,629.5,0.0001587301587301585,0.9841642577091284,1.0,1.0
Vessel_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,630.0,0.0,1.0,1.0,1.0
Vessel_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,630.0,0.0,1.0,1.0,1.0
Vessel_stromal_aggregatedNeighbors.Myeloid.Granulocytes,629.5,0.0001587301587301585,0.9841642577091284,1.0,1.0
Vessel_stromal_aggregatedNeighbors.Myeloid.DCs,630.0,0.0,1.0,1.0,1.0
Vessel_stromal_aggregatedNeighbors.Myeloid.Monocytes,630.0,0.0,1.0,1.0,1.0
Vessel_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,413.0,0.08396825396825401,0.005015177142620796,0.0027369868315489463,0.08252187892066919
Vessel_tumorfront_aggregatedNeighbors.Tumor.proliferating,612.0,0.005714285714285714,0.3139381343932999,0.32412658775761916,0.5891727302252228
Vessel_tumorfront_aggregatedNeighbors.Vessel,601.5,0.005972222222222379,0.8396009178018862,0.7359667843127475,1.0
Vessel_tumorfront_aggregatedNeighbors.Fibroblasts,532.0,0.037777777777777785,0.07672436147905173,0.09537957081910074,0.40992730275950495
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,630.0,0.0,1.0,1.0,1.0
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,630.0,0.0,1.0,1.0,1.0
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,630.0,0.0,1.0,1.0,1.0
Vessel_tumorfront_aggregatedNeighbors.B.cells,647.5,-0.011111111111111112,0.3276682563819421,0.33814269473405,0.5891727302252228
Vessel_tumorfront_aggregatedNeighbors.CD8.T.cells,682.0,-0.01650793650793651,0.1790467188318039,0.1814109915599328,0.5534171309346666
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,647.5,-0.005555555555555556,0.3276682563819421,0.33814269473405,0.5891727302252228
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,630.0,0.0,1.0,1.0,1.0
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,630.0,0.0,1.0,1.0,1.0
Vessel_tumorfront_aggregatedNeighbors.Myeloid.DCs,630.0,0.0,1.0,1.0,1.0
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,630.0,0.0,1.0,1.0,1.0
Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating,594.0,0.02857142857142857,0.15831770122648992,0.1543247669616372,0.5418861177582686
Fibroblasts_stromal_aggregatedNeighbors.Vessel,485.0,0.09367724867724864,0.0326585714128826,0.08090782585041947,0.25446470225871026
Fibroblasts_stromal_aggregatedNeighbors.Fibroblasts,561.0,0.037162698412698425,0.37818523677788696,0.41285399894652197,0.6640435612907499
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.naive,630.0,0.0,1.0,1.0,1.0
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.memory,682.5,-0.013888888888888888,0.09623325846563868,0.08618027865041475,0.46448765830993255
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,630.0,0.0,1.0,1.0,1.0
Fibroblasts_stromal_aggregatedNeighbors.B.cells,612.0,0.005714285714285714,0.3139381343932999,0.32412658775761916,0.5891727302252228
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells,646.0,-0.005079365079365079,0.7243324438820975,0.7299346691143734,1.0
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,630.0,0.0,1.0,1.0,1.0
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,630.0,0.0,1.0,1.0,1.0
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Granulocytes,612.0,0.0031746031746031737,0.7809954313801574,0.6498787161918129,1.0
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.DCs,630.0,0.0,1.0,1.0,1.0
