,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.memory,656.0,-0.010256410256410256,0.19911037668399717,0.20404399368024828,
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,624.0,0.0,,1.0,
Vessel_stromal_aggregatedNeighbors.B.cells,624.0,0.0,,1.0,
Vessel_stromal_aggregatedNeighbors.CD8.T.cells,656.0,-0.015384615384615387,0.22410825383512978,0.20409015890039084,
Vessel_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,624.0,0.0,,1.0,
Vessel_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,624.0,0.0,,1.0,
Vessel_stromal_aggregatedNeighbors.Myeloid.Granulocytes,565.5,0.025,0.06769119560119563,0.05447147882826403,
Vessel_stromal_aggregatedNeighbors.Myeloid.DCs,624.0,0.0,,1.0,
Vessel_stromal_aggregatedNeighbors.Myeloid.Monocytes,624.0,0.0,,1.0,
Vessel_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,603.5,0.0050881410256410214,0.8574186027536888,0.7957229333231094,
Vessel_tumorfront_aggregatedNeighbors.Tumor.proliferating,604.5,0.00625,0.27268637868955536,0.28207791905653623,
Vessel_tumorfront_aggregatedNeighbors.Vessel,450.0,0.07790464743589737,0.024081025939928488,0.03435568294217522,
Vessel_tumorfront_aggregatedNeighbors.Fibroblasts,573.0,0.01822916666666667,0.35463784106950613,0.41072239206794725,
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,634.5,-0.006009615384615386,0.6001606872177379,0.7943755058659834,
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,656.0,-0.010256410256410256,0.19911037668399703,0.20404399368024828,
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,624.0,0.0,,1.0,
Vessel_tumorfront_aggregatedNeighbors.B.cells,624.0,0.0,,1.0,
Vessel_tumorfront_aggregatedNeighbors.CD8.T.cells,736.0,-0.0391025641025641,0.013118962407079906,0.012646670471870358,
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,624.0,0.0,,1.0,
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,624.0,0.0,,1.0,
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,624.0,0.0,,1.0,
Vessel_tumorfront_aggregatedNeighbors.Myeloid.DCs,624.0,0.0,,1.0,
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,624.0,0.0,,1.0,
Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating,624.0,0.0,,1.0,
Fibroblasts_stromal_aggregatedNeighbors.Vessel,506.5,0.038341346153846184,0.2634294152482616,0.1381664841186296,
Fibroblasts_stromal_aggregatedNeighbors.Fibroblasts,654.0,-0.01891025641025651,0.7043631479094792,0.7288879453981907,
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.naive,616.0,0.0014823717948717827,0.9461291129617104,0.9107454455083069,
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.memory,703.5,-0.027644230769230768,0.04056860888776069,0.07727135278849119,
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,624.0,0.0,,1.0,
Fibroblasts_stromal_aggregatedNeighbors.B.cells,624.0,0.0,,1.0,
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells,652.5,-0.009134615384615387,0.4135096799517498,0.41785727103270687,
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,624.0,0.0,,1.0,
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,624.0,0.0,,1.0,
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Granulocytes,585.0,0.015364583333333345,0.12312137177915433,0.12061359820423907,
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.DCs,624.0,0.0,,1.0,
