,ROC AUC,Average Precision,N features,CVS
STABL,"0.808 [0.692, 0.898]","0.802 [0.660, 0.916]","8.000 [6.000, 11.000]","0.286 [0.222, 0.375]"
SS 03,"0.885 [0.797, 0.958] (p=0.038)","0.889 [0.786, 0.957] (p=0.022)","71.000 [67.750, 73.000] (p=2.238e-34)","0.448 [0.412, 0.482] (p=0.000e+00)"
SS 05,"0.855 [0.757, 0.935] (p=0.137)","0.824 [0.683, 0.938] (p=0.404)","19.000 [18.000, 22.000] (p=1.865e-28)","0.357 [0.308, 0.414] (p=2.501e-217)"
SS 08,"0.760 [0.641, 0.875] (p=0.134)","0.739 [0.571, 0.888] (p=0.137)","3.000 [2.000, 3.000] (p=1.907e-30)","0.500 [0.333, 0.667] (p=0.000e+00)"
EF Lasso,"0.914 [0.837, 0.976] (p=0.001)","0.921 [0.846, 0.976] (p=0.001)","58.500 [50.000, 64.000] (p=3.084e-34)","0.333 [0.292, 0.377] (p=2.671e-104)"
